id,eta_f_SAEM,eta_h_SAEM,eta_s_SAEM,eta_L_gap_SAEM,eta_f_mode,eta_h_mode,eta_s_mode,eta_L_gap_mode,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,-1.64487e-08,0,1.26811,0.231513,7.54952e-15,0,1.26031,-0.00962395,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,-1.02727e-08,0,1.59659,0.226336,-1.75415e-14,0,1.61635,0.0577956,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,4.05271e-09,0,1.20237,-0.846041,-8.65974e-15,0,1.20744,-0.00899746,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,-5.71443e-09,0,1.13107,-0.826212,0,0,1.15185,0.0072158,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,-2.06997e-08,0,1.39989,0.322078,7.99361e-15,0,1.42266,-0.0384886,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,-8.19886e-09,0,1.46999,-1.19646,8.43769e-15,0,1.47251,-0.00392415,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,5.58753e-09,0,1.25291,0.449615,-6.21725e-15,0,1.24573,0.00546869,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,1.81909e-09,0,1.17805,-0.296615,4.21885e-15,0,1.16844,-0.00976286,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,9.28286e-09,0,1.46137,-0.448527,-8.88178e-15,0,1.4747,0.008173,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,2.96918e-09,0,1.4141,-0.078518,-1.5099e-14,0,1.40702,0.0288421,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,-5.5549e-10,0,-0.0171037,-0.0331979,2.88658e-15,0,-2.4413e-08,-2.58639e-07,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,-2.35169e-09,0,-0.0723205,0.0574687,7.88258e-15,0,1.66056e-07,-1.004e-08,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,-8.10374e-09,0,0.110404,0.10044,4.66294e-15,0,2.13848e-07,9.9793e-08,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,1.42763e-09,0,0.0696653,-0.184032,-3.33067e-15,0,2.71585e-07,-3.17043e-08,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,-5.68944e-09,0,0.19037,-0.602371,-1.45439e-14,0,-9.62876e-08,-1.85461e-07,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,-1.53504e-09,0,0.184303,-0.0824029,-1.22125e-15,0,3.70459e-07,2.99274e-07,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,-3.34783e-10,0,-0.203218,-0.392726,-7.10543e-15,0,-4.31715e-07,-6.87759e-08,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,2.98075e-09,0,0.0420378,-0.060095,1.11022e-14,0,1.75258e-07,2.01617e-08,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,1.16624e-09,0,0.00930756,-0.0223507,1.55431e-15,0,6.99643e-08,-3.72612e-07,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,-1.93847e-09,0,-0.0363643,0.292149,1.24345e-14,0,1.11283e-07,-2.47563e-07,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,-4.65252e-09,0,0.0474121,0.0133027,-3.21965e-15,0,-1.713e-07,-6.42805e-07,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,7.33905e-09,0,0.0523253,0.184061,3.44169e-15,0,-2.25989e-07,5.83873e-08,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,8.14628e-09,0,-0.140205,0.0468826,-1.88738e-15,0,1.89575e-07,1.08868e-07,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,8.6513e-09,0,0.343257,-0.660263,-1.04361e-14,0,3.73154e-07,-1.01099e-07,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,-7.79729e-09,0,0.116088,0.453152,-7.10543e-15,0,2.3602e-07,2.49317e-07,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,-1.52495e-09,0,-0.169466,-0.305375,-1.13243e-14,0,5.13999e-08,2.07621e-07,69.0|274,411
8|152|8|152|sample|8|322|8|322|65.0,1.58871e-08,0,0.807699,-0.950935,1.87628e-14,0,0.804704,-0.042117,65.0|322,152
8|152|8|152|sample|7|322|7|322|65.0,1.13058e-08,0,0.761233,0.172383,2.57572e-14,0,0.755429,-0.0128002,65.0|322,152
8|152|8|152|sample|6|322|6|322|65.0,7.16165e-10,0,0.731487,0.176882,-3.06422e-14,0,0.741554,0.0510383,65.0|322,152
8|152|8|152|sample|5|322|5|322|65.0,-1.16089e-08,0,0.779091,0.330081,-4.15223e-14,0,0.787721,0.0767023,65.0|322,152
8|152|8|152|sample|12|322|12|322|28.0,-1.49401e-08,0,1.18246,-0.554345,-2.13163e-14,0,1.16358,0.00570294,28.0|322,152
8|152|8|152|sample|11|322|11|322|28.0,4.24619e-09,0,1.07598,-0.611105,-1.75415e-14,0,1.09877,-0.0332321,28.0|322,152
8|152|8|152|sample|10|322|10|322|28.0,-1.00469e-08,0,1.09476,-0.45164,1.06581e-14,0,1.10884,0.0545441,28.0|322,152
8|152|8|152|sample|9|322|9|322|28.0,8.94193e-10,0,1.01624,0.036658,1.31006e-14,0,1.03132,-0.0172489,28.0|322,152
8|152|8|152|sample|3|322|3|322|22.0,-1.56921e-08,0,0.711369,0.507511,-2.36478e-14,0,0.704713,0.170108,22.0|322,152
8|152|8|152|sample|4|322|4|322|22.0,-5.16143e-10,0,0.66429,0.613764,2.04281e-14,0,0.661007,0.0544561,22.0|322,152
8|152|8|152|cc|1|1|322|1|322|69.0,-2.10946e-09,0,-0.282431,-0.0283665,-2.34257e-14,0,7.85881e-08,-2.36189e-07,69.0|322,152
8|152|8|152|cc|2|1|322|1|322|69.0,2.97361e-09,0,-0.0925333,0.115075,-7.10543e-15,0,-2.75476e-08,-2.67892e-07,69.0|322,152
8|152|8|152|cc|3|1|322|1|322|69.0,1.92206e-09,0,-0.0205129,0.209975,-5.88418e-15,0,2.33428e-07,9.47535e-08,69.0|322,152
8|152|8|152|cc|4|1|322|1|322|69.0,7.7512e-10,0,-0.176306,-0.0926766,-1.42109e-14,0,-5.40728e-07,3.04963e-07,69.0|322,152
8|152|8|152|cc|5|1|322|1|322|69.0,1.12643e-08,0,0.0544984,0.528595,-2.66454e-15,0,-1.12335e-07,-4.71312e-07,69.0|322,152
8|152|8|152|cc|6|1|322|1|322|69.0,-9.16654e-10,0,-0.127376,0.0607714,6.21725e-15,0,2.65106e-07,3.04025e-08,69.0|322,152
8|152|8|152|cc|7|1|322|1|322|69.0,5.09205e-09,0,0.190259,0.151693,6.43929e-15,0,-4.5757e-07,-1.00139e-07,69.0|322,152
8|152|8|152|cc|8|1|322|1|322|69.0,5.80161e-09,0,-0.150705,-0.144671,9.76996e-15,0,-6.08384e-07,3.61795e-08,69.0|322,152
8|152|8|152|vc|1|2|322|2|322|69.0,-2.54714e-10,0,-0.124595,0.0256012,4.44089e-15,0,-5.69926e-08,-2.52389e-07,69.0|322,152
8|152|8|152|vc|2|2|322|2|322|69.0,-2.23326e-09,0,0.175914,-0.24039,-1.23235e-14,0,1.88896e-07,-8.01457e-08,69.0|322,152
