rep,id,eta_f,eta_h,eta_L_gap,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,-0.520677,0,-9.79344e-09,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,-1.13156,0,2.76506e-08,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,-0.488366,0,1.3881e-08,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,-0.255189,0,-1.01314e-08,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,-0.710527,0,-9.25438e-09,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,-0.981783,0,-3.22299e-08,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,-0.519184,0,-5.93032e-09,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,-0.348788,0,-4.24505e-08,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,-0.725071,0,1.42302e-08,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,-0.670452,0,-4.05014e-08,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,-1.75808,0,1.89582e-08,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,3.97742,0,-1.52709e-09,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,-0.112131,0,-5.14467e-09,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,-0.860131,0,5.2902e-09,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,-1.93432,0,-1.30825e-09,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,3.0039,0,-2.29249e-08,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,1.48371,0,2.21506e-08,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,-5.35566,0,1.97642e-08,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,-3.39128,0,5.92345e-08,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,3.94332,0,-1.27879e-08,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,2.80423,0,-3.43578e-08,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,-2.90585,0,1.0147e-08,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,-5.50718,0,-2.92571e-08,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,3.80012,0,-1.617e-08,69.0|274,411
1,9|411|9|411|vc|7|2|274|2|274|69.0,3.25577,0,1.12827e-08,69.0|274,411
1,9|411|9|411|vc|8|2|274|2|274|69.0,1.2939,0,-8.13457e-09,69.0|274,411
1,8|152|8|152|sample|8|322|8|322|65.0,-1.20843,0,-4.62895e-08,65.0|322,152
1,8|152|8|152|sample|7|322|7|322|65.0,-1.01244,0,2.05004e-08,65.0|322,152
1,8|152|8|152|sample|6|322|6|322|65.0,-0.688231,0,-3.42844e-09,65.0|322,152
1,8|152|8|152|sample|5|322|5|322|65.0,-1.11459,0,-8.35251e-09,65.0|322,152
1,8|152|8|152|sample|12|322|12|322|28.0,-1.8116,0,-2.04742e-08,28.0|322,152
1,8|152|8|152|sample|11|322|11|322|28.0,-1.85163,0,-5.23901e-09,28.0|322,152
1,8|152|8|152|sample|10|322|10|322|28.0,-1.95384,0,-6.17483e-08,28.0|322,152
1,8|152|8|152|sample|9|322|9|322|28.0,-1.78557,0,-1.98178e-09,28.0|322,152
1,8|152|8|152|sample|3|322|3|322|22.0,-1.29384,0,3.11874e-08,22.0|322,152
1,8|152|8|152|sample|4|322|4|322|22.0,-1.19806,0,3.31574e-08,22.0|322,152
1,8|152|8|152|cc|1|1|322|1|322|69.0,3.9526,0,-4.13124e-08,69.0|322,152
1,8|152|8|152|cc|2|1|322|1|322|69.0,4.34241,0,-7.45023e-09,69.0|322,152
1,8|152|8|152|cc|3|1|322|1|322|69.0,-1.59132,0,-2.84094e-08,69.0|322,152
1,8|152|8|152|cc|4|1|322|1|322|69.0,3.35868,0,2.25931e-08,69.0|322,152
1,8|152|8|152|cc|5|1|322|1|322|69.0,-2.10933,0,-3.78273e-09,69.0|322,152
1,8|152|8|152|cc|6|1|322|1|322|69.0,-2.95467,0,3.49545e-08,69.0|322,152
1,8|152|8|152|cc|7|1|322|1|322|69.0,-1.95931,0,1.04922e-08,69.0|322,152
1,8|152|8|152|cc|8|1|322|1|322|69.0,2.82532,0,-2.9361e-08,69.0|322,152
1,8|152|8|152|vc|1|2|322|2|322|69.0,1.10747,0,5.06832e-08,69.0|322,152
1,8|152|8|152|vc|2|2|322|2|322|69.0,-1.79889,0,-4.87341e-08,69.0|322,152
1,8|152|8|152|vc|3|2|322|2|322|69.0,-1.62636,0,3.29512e-08,69.0|322,152
1,8|152|8|152|vc|4|2|322|2|322|69.0,-4.70253,0,2.94061e-08,69.0|322,152
1,8|152|8|152|vc|5|2|322|2|322|69.0,-0.667263,0,1.45143e-08,69.0|322,152
1,8|152|8|152|vc|6|2|322|2|322|69.0,-1.88034,0,1.97912e-08,69.0|322,152
1,8|152|8|152|vc|7|2|322|2|322|69.0,-2.22279,0,3.23186e-08,69.0|322,152
1,8|152|8|152|vc|8|2|322|2|322|69.0,3.30133,0,4.69364e-09,69.0|322,152
1,8|1056|8|1056|sample|8|276|8|276|65.0,-2.06735,0,1.55108e-08,65.0|276,1056
1,8|1056|8|1056|sample|7|276|7|276|65.0,-2.23175,0,2.72698e-08,65.0|276,1056
1,8|1056|8|1056|sample|6|276|6|276|65.0,-2.0946,0,-3.22173e-08,65.0|276,1056
1,8|1056|8|1056|sample|5|276|5|276|65.0,-2.05834,0,-2.87094e-08,65.0|276,1056
1,8|1056|8|1056|sample|12|276|12|276|28.0,-3.62805,0,5.64701e-08,28.0|276,1056
1,8|1056|8|1056|sample|11|276|11|276|28.0,-3.28241,0,1.94012e-09,28.0|276,1056
1,8|1056|8|1056|sample|10|276|10|276|28.0,-2.8171,0,1.03568e-08,28.0|276,1056
1,8|1056|8|1056|sample|9|276|9|276|28.0,-2.79947,0,-8.93436e-09,28.0|276,1056
1,8|1056|8|1056|sample|4|276|4|276|22.0,-2.14751,0,-5.34619e-08,22.0|276,1056
1,8|1056|8|1056|sample|3|276|3|276|22.0,-2.2926,0,2.65319e-08,22.0|276,1056
1,8|1056|8|1056|cc|1|1|276|1|276|69.0,-1.41664,0,3.16026e-08,69.0|276,1056
1,8|1056|8|1056|cc|2|1|276|1|276|69.0,-3.21253,0,3.81806e-08,69.0|276,1056
