id,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_s_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_mode,eta_m_mode,eta_e_mode,eta_s_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
8|84|cc|1|1|162,-0.120867,0,0,-0.0913233,0,0,3.76334e-07,0,0,1.14329e-07,0,0,False,69.0|162,84
8|84|cc|2|1|162,0.0149963,0,0,0.00911703,0,0,5.53193e-07,0,0,5.44216e-08,0,0,False,69.0|162,84
8|84|cc|3|1|162,0.386276,0,0,0.184045,0,0,-1.7697e-07,0,0,4.86245e-08,0,0,False,69.0|162,84
8|84|cc|4|1|162,0.139109,0,0,0.00845555,0,0,-2.00595e-07,0,0,1.21286e-07,0,0,False,69.0|162,84
8|84|cc|5|1|162,0.0771768,0,0,-0.114477,0,0,4.12166e-07,0,0,9.90769e-08,0,0,False,69.0|162,84
8|84|cc|6|1|162,-0.283719,0,0,0.171919,0,0,1.43959e-07,0,0,-2.01647e-07,0,0,False,69.0|162,84
8|84|cc|7|1|162,-0.118678,0,0,0.0820348,0,0,-2.95232e-07,0,0,1.47603e-07,0,0,False,69.0|162,84
8|84|cc|8|1|162,-0.670339,0,0,0.0836108,0,0,3.3597e-07,0,0,2.09028e-07,0,0,False,69.0|162,84
8|84|sample|10|162,-0.991683,0,0,-0.786867,0,0,-0.00543305,0,0,-0.778274,0,0,True,32.0|162,84
8|84|sample|11|162,0.545312,0,0,-0.966801,0,0,-0.0281203,0,0,-0.979366,0,0,True,22.0|162,84
8|84|sample|12|162,0.951895,0,0,-0.87792,0,0,-0.0152583,0,0,-0.874333,0,0,True,22.0|162,84
8|84|sample|3|162,-2.23126,0,0,-1.69559,0,0,-0.000254362,0,0,-1.66381,0,0,True,55.0|162,84
8|84|sample|4|162,0.129763,0,0,-1.64118,0,0,0.000246289,0,0,-1.60522,0,0,True,55.0|162,84
8|84|sample|5|162,0.985377,0,0,-1.76332,0,0,0.0325431,0,0,-1.76199,0,0,True,55.0|162,84
8|84|sample|6|162,0.978949,0,0,-1.79767,0,0,0.0105922,0,0,-1.81219,0,0,True,55.0|162,84
8|84|sample|7|162,-1.25178,0,0,-0.866689,0,0,-0.0116713,0,0,-0.894374,0,0,True,32.0|162,84
8|84|sample|8|162,1.11735,0,0,-0.873086,0,0,-0.00372048,0,0,-0.859111,0,0,True,32.0|162,84
8|84|sample|9|162,0.596357,0,0,-0.788656,0,0,-0.0138621,0,0,-0.781648,0,0,True,32.0|162,84
8|84|vc|1|2|162,0.304532,0,0,-0.0805009,0,0,2.11322e-07,0,0,-1.88956e-10,0,0,False,69.0|162,84
8|84|vc|2|2|162,0.21344,0,0,0.106547,0,0,2.33484e-07,0,0,-3.20746e-08,0,0,False,69.0|162,84
8|84|vc|3|2|162,-0.246218,0,0,-0.0581173,0,0,1.74229e-07,0,0,-6.61993e-08,0,0,False,69.0|162,84
8|84|vc|4|2|162,0.0116443,0,0,-0.113793,0,0,-3.25506e-07,0,0,-7.3203e-08,0,0,False,69.0|162,84
8|84|vc|5|2|162,0.355281,0,0,-0.0413313,0,0,1.6526e-07,0,0,1.57415e-07,0,0,False,69.0|162,84
8|84|vc|6|2|162,-0.0856675,0,0,0.158411,0,0,2.09485e-07,0,0,-2.76879e-07,0,0,False,69.0|162,84
8|84|vc|7|2|162,-0.177491,0,0,-0.0222995,0,0,4.49306e-07,0,0,-8.28879e-08,0,0,False,69.0|162,84
8|84|vc|8|2|162,-0.371342,0,0,-0.0537999,0,0,2.41912e-07,0,0,2.17404e-07,0,0,False,69.0|162,84
8|719|cc|1|1|274,0.315736,0,0,-0.0214424,0,0,-7.75509e-07,0,0,-2.40094e-07,0,0,False,69.0|274,719
8|719|cc|2|1|274,-0.132966,0,0,-0.0591048,0,0,-2.21794e-07,0,0,-1.35395e-07,0,0,False,69.0|274,719
8|719|cc|3|1|274,-0.294054,0,0,-0.0398757,0,0,3.36453e-08,0,0,-1.20428e-07,0,0,False,69.0|274,719
8|719|cc|4|1|274,0.276453,0,0,-0.0412591,0,0,3.2613e-08,0,0,-1.85733e-07,0,0,False,69.0|274,719
8|719|cc|5|1|274,-0.090325,0,0,0.123327,0,0,2.51052e-07,0,0,5.48609e-08,0,0,False,69.0|274,719
8|719|cc|6|1|274,-0.168002,0,0,0.165195,0,0,-4.97082e-07,0,0,-1.21812e-08,0,0,False,69.0|274,719
8|719|cc|7|1|274,-1.22702,0,0,-0.00276385,0,0,6.41379e-07,0,0,-3.25449e-08,0,0,False,69.0|274,719
8|719|cc|8|1|274,-0.0619107,0,0,-0.0304712,0,0,2.501e-09,0,0,1.18849e-07,0,0,False,69.0|274,719
8|719|sample|10|274,1.5486,0,0,-0.207845,0,0,-0.0111942,0,0,-0.223062,0,0,True,32.0|274,719
8|719|sample|11|274,0.0539149,0,0,-0.0129839,0,0,-0.0128157,0,0,-0.0358711,0,0,True,22.0|274,719
8|719|sample|12|274,-0.867405,0,0,0.0333186,0,0,-0.0229871,0,0,0.0151046,0,0,True,22.0|274,719
8|719|sample|3|274,0.411796,0,0,-1.5436,0,0,-0.00467619,0,0,-1.5388,0,0,True,55.0|274,719
8|719|sample|4|274,0.148295,0,0,-1.54795,0,0,-0.00419519,0,0,-1.55018,0,0,True,55.0|274,719
8|719|sample|5|274,0.200206,0,0,-1.45109,0,0,-0.0297483,0,0,-1.44181,0,0,True,55.0|274,719
8|719|sample|6|274,0.87634,0,0,-1.42116,0,0,-0.035494,0,0,-1.40296,0,0,True,55.0|274,719
8|719|sample|7|274,0.577109,0,0,-0.225172,0,0,-0.00168946,0,0,-0.232402,0,0,True,32.0|274,719
8|719|sample|8|274,0.100474,0,0,-0.215946,0,0,-0.000517569,0,0,-0.221426,0,0,True,32.0|274,719
8|719|sample|9|274,-0.979937,0,0,-0.214766,0,0,-0.00710233,0,0,-0.209084,0,0,True,32.0|274,719
8|719|vc|1|2|274,0.2677,0,0,0.0983634,0,0,3.25425e-07,0,0,-1.98282e-07,0,0,False,69.0|274,719
