rep,id,eta_U_offset,eta_L,eta_m,eta_e,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,9|411|sample|4|274,5.474e-05,7.62255e-07,0,0,0,0,True,70.0|274,411
1,9|411|sample|3|274,-1.20716e-05,9.69105e-07,0,0,0,0,True,70.0|274,411
1,9|411|sample|5|274,0.000222369,2.26661e-06,0,0,0,0,True,70.0|274,411
1,9|411|sample|6|274,-0.000513398,1.95849e-06,0,0,0,0,True,70.0|274,411
1,9|411|sample|8|274,0.00017022,-2.73511e-06,0,0,0,0,True,70.0|274,411
1,9|411|sample|7|274,0.000455078,-7.1197e-08,0,0,0,0,True,70.0|274,411
1,9|411|sample|9|274,0.000184687,1.68247e-06,0,0,0,0,True,70.0|274,411
1,9|411|sample|10|274,-0.000359351,-2.45987e-06,0,0,0,0,True,70.0|274,411
1,9|411|sample|12|274,-0.000114307,-6.20172e-07,0,0,0,0,True,70.0|274,411
1,9|411|sample|11|274,9.62211e-05,-4.56486e-06,0,0,0,0,True,70.0|274,411
1,9|411|cc|1|1|274,0.000143092,-2.8921e-06,0,0,0,0,False,69.0|274,411
1,9|411|cc|2|1|274,0.000288876,-9.05372e-07,0,0,0,0,False,69.0|274,411
1,9|411|cc|3|1|274,-0.000248936,1.11766e-06,0,0,0,0,False,69.0|274,411
1,9|411|cc|4|1|274,-3.88236e-05,-4.72638e-06,0,0,0,0,False,69.0|274,411
1,9|411|cc|5|1|274,0.000230803,-3.74111e-06,0,0,0,0,False,69.0|274,411
1,9|411|cc|6|1|274,-4.46437e-05,3.19749e-06,0,0,0,0,False,69.0|274,411
1,9|411|cc|7|1|274,-7.73919e-05,-4.14417e-06,0,0,0,0,False,69.0|274,411
1,9|411|cc|8|1|274,-0.000838449,-3.60869e-06,0,0,0,0,False,69.0|274,411
1,9|411|vc|1|2|274,-0.000320805,6.03399e-06,0,0,0,0,False,69.0|274,411
1,9|411|vc|2|2|274,-0.000493138,7.84908e-07,0,0,0,0,False,69.0|274,411
1,9|411|vc|3|2|274,0.000274261,-1.13284e-06,0,0,0,0,False,69.0|274,411
1,9|411|vc|4|2|274,0.00041601,-7.49241e-07,0,0,0,0,False,69.0|274,411
1,9|411|vc|5|2|274,-5.04281e-05,4.89753e-06,0,0,0,0,False,69.0|274,411
1,9|411|vc|6|2|274,0.000123825,-1.30169e-06,0,0,0,0,False,69.0|274,411
1,9|411|vc|7|2|274,0.000191559,-5.55043e-06,0,0,0,0,False,69.0|274,411
1,9|411|vc|8|2|274,0.000161243,-3.15349e-06,0,0,0,0,False,69.0|274,411
1,14|783|sample|3|71,-9.41912e-05,-4.02813e-06,0,0,0,0,True,6.0|71,783
1,14|783|sample|4|71,0.000166823,2.13234e-06,0,0,0,0,True,6.0|71,783
1,14|783|sample|5|71,0.000117627,-1.13033e-06,0,0,0,0,True,6.0|71,783
1,14|783|sample|6|71,-0.000175142,3.12898e-06,0,0,0,0,True,6.0|71,783
1,14|783|sample|7|71,0.000512003,5.53926e-06,0,0,0,0,True,6.0|71,783
1,14|783|sample|8|71,0.000185709,4.13014e-06,0,0,0,0,True,6.0|71,783
1,14|783|sample|10|71,-0.000181787,1.29785e-06,0,0,0,0,True,6.0|71,783
1,14|783|sample|9|71,0.000223562,5.15062e-06,0,0,0,0,True,6.0|71,783
