id,importanceSampling
411|4,100.913436
411|3,145.346092
411|5,158.810658
411|6,161.990687
411|8,135.528647
411|7,137.055627
411|9,154.051082
411|10,161.432692
411|12,136.032602
411|11,132.956547
411|1,51.125530
411|2,147.605449
152|8,111.413870
152|7,143.416589
152|6,150.041381
152|5,148.926960
152|12,139.964767
152|11,137.042381
152|10,142.809614
152|9,146.449606
152|3,145.080237
152|4,144.492013
152|1,77.877972
152|2,151.183529
1056|8,140.460374
1056|7,142.210194
1056|6,146.086757
1056|5,146.443096
1056|12,152.636644
1056|11,145.153489
1056|10,145.964889
1056|9,150.982798
1056|4,163.843830
1056|3,166.055460
1056|1,77.071623
1056|2,163.735784
462|6,165.217870
462|5,166.731017
462|4,171.432547
462|3,170.731066
462|9,138.937891
462|10,141.990833
462|7,151.214356
462|8,85.092969
462|11,162.375213
462|12,169.112702
462|1,90.811158
462|2,128.973769
1159|8,153.007982
1159|7,153.605417
1159|5,158.711424
1159|6,158.063187
1159|11,151.025389
1159|12,161.529922
1159|9,154.464094
1159|10,155.870399
1159|4,150.292916
1159|3,115.035823
1159|1,81.566603
1159|2,159.132776
1197|7,99.656789
1197|8,131.756388
1197|6,137.727319
1197|5,138.099148
1197|12,135.380094
1197|10,141.300599
1197|9,138.783821
1197|3,130.471312
1197|4,131.828713
1197|11,136.961240
1197|1,81.440634
1197|2,159.787398
