rep,id,eta_U,eta_L,eta_alpha
1,411,-23.9023,200.666,1.80095
2,411,-36.2826,215.559,2.2038
3,411,4.05646,214.399,1.68771
4,411,9.19832,189.323,2.16378
5,411,53.0692,212.963,1.81312
6,411,-26.2331,174.502,1.68127
7,411,-25.7637,202.629,1.49079
8,411,5.18086,163.048,2.03564
9,411,-47.7402,211.036,1.74454
10,411,4.61359,222.822,1.92493
1,152,-71.1823,10.4994,0.358625
2,152,37.5606,-36.4326,0.887668
3,152,-30.6417,-11.967,0.57251
4,152,-65.4718,3.31556,0.360901
5,152,0.309455,-8.64781,0.232905
6,152,-19.861,-22.9322,0.503669
7,152,7.62648,8.55919,0.307631
8,152,-9.53048,-5.50944,0.42731
9,152,-47.5611,-5.37674,0.242822
10,152,36.9882,-13.0846,-0.0226439
1,1056,-4.55516,1.71567,-0.636096
2,1056,11.8357,4.45579,-0.565801
3,1056,-14.045,15.9348,-1.04928
4,1056,-23.1243,-2.25248,-0.883131
5,1056,-37.0432,6.68871,-0.563597
6,1056,-1.93126,-0.78698,-1.20064
7,1056,-0.290068,13.4629,-0.697042
8,1056,67.9062,-10.2675,-0.946842
9,1056,-40.2345,-34.0361,-0.627887
10,1056,34.691,8.98504,-0.670179
1,462,-37.0899,-71.076,-0.943367
2,462,79.0915,-56.3063,-0.697652
3,462,-32.1371,-44.646,-0.289004
4,462,-12.5722,-53.218,-1.57523
5,462,-56.8024,-93.3779,-0.679233
6,462,-32.9603,-67.1112,-0.826359
7,462,34.6351,-80.937,-0.222882
8,462,-38.9612,-52.166,-1.3158
9,462,21.8414,-70.7348,-0.442855
10,462,-1.68222,-66.1145,-0.217634
1,1159,53.2707,-69.7442,-1.03092
2,1159,-77.2697,-92.1665,-1.12846
3,1159,-38.9803,-65.2995,-1.0161
4,1159,38.4941,-57.5502,-1.28371
5,1159,9.50275,-41.645,-0.773231
6,1159,-32.6199,-45.1481,-1.31847
7,1159,-33.6866,-76.6262,-0.68565
8,1159,-35.4397,-80.8582,-1.20541
9,1159,7.75828,-49.5328,-0.854259
10,1159,-18.8053,-58.5964,-0.851916
1,1197,9.63249,-72.5783,0.497746
2,1197,-0.330464,-41.3758,-0.0976937
3,1197,-84.2468,-105.87,0.0938807
4,1197,17.4786,-69.0242,-0.110843
5,1197,-45.078,-40.1084,0.102523
6,1197,67.3131,-76.8661,0.482446
7,1197,-3.91548,-90.7386,0.221211
8,1197,-64.3469,-75.3411,0.384205
9,1197,-28.5508,-86.289,0.294821
10,1197,61.9382,-61.1275,0.348254
