rep,id,U,L,alpha
1,411,119948,909.698,2.45943
2,411,119935,924.592,2.86227
3,411,119976,923.431,2.34619
4,411,119981,898.356,2.82226
5,411,120025,921.996,2.4716
6,411,119946,883.535,2.33975
7,411,119946,911.661,2.14927
8,411,119977,872.08,2.69411
9,411,119924,920.069,2.40302
10,411,119976,931.855,2.58341
1,152,119901,719.532,1.0171
2,152,120009,672.6,1.54615
3,152,119941,697.066,1.23099
4,152,119906,712.348,1.01938
5,152,119972,700.385,0.891383
6,152,119952,686.1,1.16215
7,152,119979,717.592,0.966109
8,152,119962,703.523,1.08579
9,152,119924,703.656,0.9013
10,152,120009,695.948,0.635834
1,1056,119967,710.748,0.0223817
2,1056,119984,713.488,0.0926768
3,1056,119958,724.967,-0.390802
4,1056,119949,706.78,-0.224653
5,1056,119935,715.721,0.0948813
6,1056,119970,708.246,-0.542159
7,1056,119971,722.496,-0.0385636
8,1056,120040,698.765,-0.288363
9,1056,119931,674.997,0.0305914
10,1056,120006,718.018,-0.0117005
1,462,119935,637.957,-0.284889
2,462,120051,652.726,-0.0391735
3,462,119940,664.387,0.369474
4,462,119959,655.815,-0.916749
5,462,119915,615.655,-0.0207551
6,462,119939,641.921,-0.167881
7,462,120006,628.096,0.435596
8,462,119933,656.867,-0.657322
9,462,119994,638.298,0.215623
10,462,119970,642.918,0.440844
1,1159,120025,639.288,-0.372442
2,1159,119894,616.866,-0.469982
3,1159,119933,643.733,-0.357623
4,1159,120010,651.482,-0.625228
5,1159,119981,667.388,-0.114753
6,1159,119939,663.885,-0.659996
7,1159,119938,632.406,-0.027172
8,1159,119936,628.174,-0.546929
9,1159,119979,659.5,-0.195781
10,1159,119953,650.436,-0.193438
1,1197,119981,636.454,1.15622
2,1197,119971,667.657,0.560784
3,1197,119887,603.162,0.752359
4,1197,119989,640.008,0.547635
5,1197,119927,668.924,0.761001
6,1197,120039,632.167,1.14092
7,1197,119968,618.294,0.879689
8,1197,119907,633.692,1.04268
9,1197,119943,622.744,0.953299
10,1197,120034,647.905,1.00673
