parameter,value,CV,se_sa,rse_sa,P2.5_sa,P97.5_sa
f_pop,1,,217128187.680918,21712818768.0918,0.000186471,5362.78
beta_f_mab_virus_22_0_276,0,,4.72334742579198,inf,-9.25759,9.25759
beta_f_mab_virus_22_0_292,0,,4.52204479444434,inf,-8.86304,8.86304
beta_f_mab_virus_22_0_322,0,,4.83086491012948,inf,-9.46832,9.46832
beta_f_mab_virus_28_0_103,0,,4.5816976563619,inf,-8.97996,8.97996
beta_f_mab_virus_28_0_276,0,,4.56136208470048,inf,-8.94011,8.94011
beta_f_mab_virus_28_0_292,0,,nan,nan,nan,nan
beta_f_mab_virus_28_0_322,0,,4.59985262776372,inf,-9.01555,9.01555
beta_f_mab_virus_32_0_292,0,,4.59400266728393,inf,-9.00408,9.00408
beta_f_mab_virus_55_0_292,0,,4.43191196451411,inf,-8.68639,8.68639
beta_f_mab_virus_65_0_103,0,,4.54254644033082,inf,-8.90323,8.90323
beta_f_mab_virus_65_0_276,0,,4.59555833595323,inf,-9.00713,9.00713
beta_f_mab_virus_65_0_292,0,,4.45157074199678,inf,-8.72492,8.72492
beta_f_mab_virus_65_0_322,0,,4.51817998327973,inf,-8.85547,8.85547
beta_f_mab_virus_69_0_103,0,,nan,nan,nan,nan
beta_f_mab_virus_69_0_274,0,,nan,nan,nan,nan
beta_f_mab_virus_69_0_276,0,,nan,nan,nan,nan
beta_f_mab_virus_69_0_292,0,,nan,nan,nan,nan
beta_f_mab_virus_69_0_322,0,,nan,nan,nan,nan
beta_f_mab_virus_70_0_274,0,,4.45145613752624,inf,-8.72469,8.72469
h_pop,1.64829160380726,,1.97975510497987e-07,1.20109518267701e-05,1.64829,1.64829
beta_h_mab_virus_22_0_276,0.116277169353365,,nan,nan,nan,nan
beta_h_mab_virus_22_0_292,0.139606662344644,,nan,nan,nan,nan
beta_h_mab_virus_22_0_322,-0.584589455629091,,3.10113418506683e-07,5.30480691227935e-05,-0.58459,-0.584589
beta_h_mab_virus_28_0_103,0.153529172720214,,1.50627008587606e-07,9.81096985796329e-05,0.153529,0.153529
beta_h_mab_virus_28_0_276,-0.0162238512379993,,2.90536369279842e-07,0.00179079778911773,-0.0162244,-0.0162233
beta_h_mab_virus_28_0_292,0.104318159398099,,nan,nan,nan,nan
beta_h_mab_virus_28_0_322,-0.519674973945733,,nan,nan,nan,nan
beta_h_mab_virus_32_0_292,0.346990401919157,,nan,nan,nan,nan
beta_h_mab_virus_55_0_292,-1.20886770918986,,2.51101807555701e-07,2.07716531467268e-05,-1.20887,-1.20887
beta_h_mab_virus_65_0_103,-0.021405991243781,,2.02766421100611e-07,0.000947241446525025,-0.0214064,-0.0214056
beta_h_mab_virus_65_0_276,0.197811136383272,,2.25221038493532e-07,0.000113856602116248,0.197811,0.197812
beta_h_mab_virus_65_0_292,0.00499025198171221,,9.73201964442233e-08,0.00195020605774764,0.00499006,0.00499044
beta_h_mab_virus_65_0_322,-0.454204530694008,,nan,nan,nan,nan
beta_h_mab_virus_69_0_103,-1.73871918486173,,1.84834330448874e-07,1.06304877784835e-05,-1.73872,-1.73872
beta_h_mab_virus_69_0_274,-1.31747580206421,,1.36881124528767e-07,1.03896499893435e-05,-1.31748,-1.31748
beta_h_mab_virus_69_0_276,-0.044880894909304,,1.62327651116496e-07,0.000361685415240783,-0.0448812,-0.0448806
beta_h_mab_virus_69_0_292,-1.66536492355022,,3.12331381304375e-07,1.87545310272627e-05,-1.66537,-1.66536
beta_h_mab_virus_69_0_322,0.823708749082305,,1.9946857383445e-07,2.42159105456484e-05,0.823708,0.823709
beta_h_mab_virus_70_0_274,-0.217253039098546,,1.3112586162747e-07,6.03562841613419e-05,-0.217253,-0.217253
L_gap_pop,2.16575059365339,,nan,nan,nan,nan
beta_L_gap_mab_virus_22_0_276,0.337211181702965,,6.02175446251705e-08,1.78575171561818e-05,0.337211,0.337211
beta_L_gap_mab_virus_22_0_292,1.00965266450888,,nan,nan,nan,nan
beta_L_gap_mab_virus_22_0_322,-0.568164806294709,,nan,nan,nan,nan
beta_L_gap_mab_virus_28_0_103,0.0885296951966437,,nan,nan,nan,nan
beta_L_gap_mab_virus_28_0_276,-2.02514993204231,,nan,nan,nan,nan
beta_L_gap_mab_virus_28_0_292,0.645566401479809,,nan,nan,nan,nan
beta_L_gap_mab_virus_28_0_322,-2.32340247799867,,9.78366869509085e-08,4.2109228976627e-06,-2.3234,-2.3234
beta_L_gap_mab_virus_32_0_292,-5.33156304814324,,4.71968516469323e-07,8.85234803016518e-06,-5.33156,-5.33156
beta_L_gap_mab_virus_55_0_292,4.7143206515845,,8.48653135042836e-08,1.80015997587606e-06,4.71432,4.71432
beta_L_gap_mab_virus_65_0_103,1.07980883948624,,nan,nan,nan,nan
beta_L_gap_mab_virus_65_0_276,-1.75936473595237,,1.09159651501344e-07,6.20449240971368e-06,-1.75936,-1.75936
beta_L_gap_mab_virus_65_0_292,-1.10816541981536,,nan,nan,nan,nan
beta_L_gap_mab_virus_65_0_322,0.679423822177347,,nan,nan,nan,nan
beta_L_gap_mab_virus_69_0_103,5.64317830829331,,9.6188756314641e-08,1.7045138583213e-06,5.64318,5.64318
beta_L_gap_mab_virus_69_0_274,2.4293331545011,,nan,nan,nan,nan
beta_L_gap_mab_virus_69_0_276,3.552484382651,,nan,nan,nan,nan
beta_L_gap_mab_virus_69_0_292,1.42272679474878,,2.58424605552403e-07,1.81640358856132e-05,1.42273,1.42273
beta_L_gap_mab_virus_69_0_322,2.73290091752259,,nan,nan,nan,nan
