rep,id,L,m,e,alpha,k,goes_down,mab_virus,run_id
1,8|488|sample|4|322,279.033,-0.27206,3062.73,2414810.0,55.9561,True,55.0|322,488
1,8|488|sample|5|322,273.529,-0.272052,3062.68,2414810.0,55.9561,True,55.0|322,488
1,8|488|sample|6|322,271.365,-0.27207,3062.71,2414810.0,55.9561,True,55.0|322,488
1,8|488|sample|7|322,267.223,-0.111016,77011.5,2414810.0,55.9561,True,32.0|322,488
1,8|488|sample|8|322,263.545,-0.111012,77007.8,2414810.0,55.9561,True,32.0|322,488
1,8|488|sample|9|322,271.864,-0.110989,77010.4,2414810.0,55.9561,True,32.0|322,488
1,8|488|vc|1|2|322,257.967,1.43066,2.28729,2414810.0,55.9561,False,69.0|322,488
1,8|488|vc|2|2|322,278.843,1.43067,2.28729,2414810.0,55.9561,False,69.0|322,488
1,8|488|vc|3|2|322,260.401,1.43067,2.28729,2414810.0,55.9561,False,69.0|322,488
1,8|488|vc|4|2|322,268.258,1.43067,2.28728,2414810.0,55.9561,False,69.0|322,488
1,8|488|vc|5|2|322,274.511,1.43068,2.2873,2414810.0,55.9561,False,69.0|322,488
1,8|488|vc|6|2|322,265.696,1.43066,2.28731,2414810.0,55.9561,False,69.0|322,488
1,8|488|vc|7|2|322,274.048,1.43067,2.28728,2414810.0,55.9561,False,69.0|322,488
1,8|488|vc|8|2|322,269.956,1.43067,2.28729,2414810.0,55.9561,False,69.0|322,488
1,8|847|cc|1|1|69,267.997,1.49644,1.26835,2414810.0,105.021,False,69.0|69,847
1,8|847|cc|2|1|69,277.891,1.49644,1.26836,2414810.0,105.021,False,69.0|69,847
1,8|847|cc|3|1|69,283.606,1.49644,1.26835,2414810.0,105.021,False,69.0|69,847
1,8|847|cc|4|1|69,273.448,1.49644,1.26837,2414810.0,105.021,False,69.0|69,847
1,8|847|cc|5|1|69,269.638,1.49645,1.26836,2414810.0,105.021,False,69.0|69,847
1,8|847|cc|6|1|69,269.716,1.49645,1.26835,2414810.0,105.021,False,69.0|69,847
1,8|847|cc|7|1|69,272.566,1.49642,1.26833,2414810.0,105.021,False,69.0|69,847
1,8|847|cc|8|1|69,274.378,1.49642,1.26836,2414810.0,105.021,False,69.0|69,847
1,8|847|sample|10|69,272.234,1.09345,37.3965,2414810.0,105.021,True,32.0|69,847
1,8|847|sample|11|69,261.209,1.30737,4.53177,2414810.0,105.021,True,22.0|69,847
1,8|847|sample|12|69,270.388,1.30738,4.53169,2414810.0,105.021,True,22.0|69,847
1,8|847|sample|3|69,276.101,0.00200813,3604.23,2414810.0,105.021,True,55.0|69,847
1,8|847|sample|4|69,261.444,0.00200381,3604.19,2414810.0,105.021,True,55.0|69,847
1,8|847|sample|5|69,268.377,0.00201393,3604.24,2414810.0,105.021,True,55.0|69,847
1,8|847|sample|6|69,263.321,0.0020193,3604.23,2414810.0,105.021,True,55.0|69,847
1,8|847|sample|7|69,279.095,1.09346,37.3965,2414810.0,105.021,True,32.0|69,847
1,8|847|sample|8|69,273.829,1.09348,37.3965,2414810.0,105.021,True,32.0|69,847
1,8|847|sample|9|69,279.824,1.09347,37.3956,2414810.0,105.021,True,32.0|69,847
1,8|847|vc|1|2|69,267.265,1.49643,1.26834,2414810.0,105.021,False,69.0|69,847
1,8|847|vc|2|2|69,276.311,1.49643,1.26838,2414810.0,105.021,False,69.0|69,847
1,8|847|vc|3|2|69,270.209,1.49646,1.26835,2414810.0,105.021,False,69.0|69,847
1,8|847|vc|4|2|69,277.622,1.49644,1.26834,2414810.0,105.021,False,69.0|69,847
1,8|847|vc|5|2|69,278.142,1.49644,1.26834,2414810.0,105.021,False,69.0|69,847
1,8|847|vc|6|2|69,274.081,1.49643,1.26837,2414810.0,105.021,False,69.0|69,847
1,8|847|vc|7|2|69,281.514,1.49645,1.26836,2414810.0,105.021,False,69.0|69,847
1,8|847|vc|8|2|69,262.84,1.49645,1.26835,2414810.0,105.021,False,69.0|69,847
1,8|474|cc|1|1|276,265.775,2.37553,1.90422,2414810.0,57.762,False,69.0|276,474
1,8|474|cc|2|1|276,271.537,2.37553,1.90424,2414810.0,57.762,False,69.0|276,474
1,8|474|cc|3|1|276,270.291,2.37552,1.90421,2414810.0,57.762,False,69.0|276,474
1,8|474|cc|4|1|276,278.347,2.37553,1.90422,2414810.0,57.762,False,69.0|276,474
1,8|474|cc|5|1|276,266.984,2.37552,1.90424,2414810.0,57.762,False,69.0|276,474
1,8|474|cc|6|1|276,275.876,2.37552,1.90421,2414810.0,57.762,False,69.0|276,474
1,8|474|cc|7|1|276,273.351,2.37552,1.90424,2414810.0,57.762,False,69.0|276,474
1,8|474|cc|8|1|276,271.256,2.37552,1.90421,2414810.0,57.762,False,69.0|276,474
1,8|474|sample|10|276,267.161,1.18857,88.0595,2414810.0,57.762,True,32.0|276,474
