rep,id,U,L,m,e,s,alpha,k,goes_down,mab_virus,run_id
1,8|488|cc|3|1|322,1,0.106089,1.86002,0.00168736,11.7514,0.325642,0.591259,False,69.0|322,488
1,8|488|cc|4|1|322,1,0.106089,1.86002,0.00168736,11.7514,0.325642,0.591259,False,69.0|322,488
1,8|488|cc|5|1|322,1,0.106089,1.86002,0.00168736,11.7514,0.325642,0.591259,False,69.0|322,488
1,8|488|cc|6|1|322,1,0.106089,1.86002,0.00168736,11.7514,0.325642,0.591259,False,69.0|322,488
1,8|488|cc|7|1|322,1,0.106089,1.86002,0.00168736,11.7514,0.325642,0.591259,False,69.0|322,488
1,8|488|cc|8|1|322,1,0.106089,1.86002,0.00168736,11.7514,0.325642,0.591259,False,69.0|322,488
1,8|488|sample|10|322,1,0.106089,0.723637,0.332939,16.4769,0.325642,0.591259,True,32.0|322,488
1,8|488|sample|11|322,1,0.106089,0.955451,0.743062,10.0837,0.325642,0.591259,True,22.0|322,488
1,8|488|sample|12|322,1,0.106089,0.955451,0.743062,10.0837,0.325642,0.591259,True,22.0|322,488
1,8|488|sample|3|322,1,0.106089,1.56789,0.0655818,11.504,0.325642,0.591259,True,55.0|322,488
1,8|488|sample|4|322,1,0.106089,1.56789,0.0655818,11.504,0.325642,0.591259,True,55.0|322,488
1,8|488|sample|5|322,1,0.106089,1.56789,0.0655818,11.504,0.325642,0.591259,True,55.0|322,488
1,8|488|sample|6|322,1,0.106089,1.56789,0.0655818,11.504,0.325642,0.591259,True,55.0|322,488
1,8|488|sample|7|322,1,0.106089,0.723637,0.332939,16.4769,0.325642,0.591259,True,32.0|322,488
1,8|488|sample|8|322,1,0.106089,0.723637,0.332939,16.4769,0.325642,0.591259,True,32.0|322,488
1,8|488|sample|9|322,1,0.106089,0.723637,0.332939,16.4769,0.325642,0.591259,True,32.0|322,488
1,8|488|vc|1|2|322,1,0.106089,1.86002,0.00168736,11.7514,0.325642,0.591259,False,69.0|322,488
1,8|488|vc|2|2|322,1,0.106089,1.86002,0.00168736,11.7514,0.325642,0.591259,False,69.0|322,488
1,8|488|vc|3|2|322,1,0.106089,1.86002,0.00168736,11.7514,0.325642,0.591259,False,69.0|322,488
1,8|488|vc|4|2|322,1,0.106089,1.86002,0.00168736,11.7514,0.325642,0.591259,False,69.0|322,488
1,8|488|vc|5|2|322,1,0.106089,1.86002,0.00168736,11.7514,0.325642,0.591259,False,69.0|322,488
