id,eta_U_SAEM,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_s_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_mode,eta_L_mode,eta_m_mode,eta_e_mode,eta_s_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
8|84|cc|1|1|162,0,0,-0.0142522,0.0375325,-1.52273e-09,0,0,0,0,-2.78165e-08,2.90323e-07,-7.10543e-15,0,0,False,69.0|162,84
8|84|cc|2|1|162,0,0,-0.0115016,0.458017,4.71483e-09,0,0,0,0,2.9369e-08,-2.63494e-07,-1.77636e-15,0,0,False,69.0|162,84
8|84|cc|3|1|162,0,0,-0.0362168,-0.247215,-2.21828e-09,0,0,0,0,1.01513e-08,3.92696e-07,1.77636e-15,0,0,False,69.0|162,84
8|84|cc|4|1|162,0,0,-0.0333259,-0.186024,3.90783e-09,0,0,0,0,1.69152e-08,-5.21914e-07,-1.77636e-15,0,0,False,69.0|162,84
8|84|cc|5|1|162,0,0,0.0274039,0.193377,7.89898e-10,0,0,0,0,-4.19355e-08,1.61118e-07,-3.55271e-15,0,0,False,69.0|162,84
8|84|cc|6|1|162,0,0,-0.00630149,-0.2221,-8.90721e-09,0,0,0,0,-2.58356e-08,-8.24857e-08,-5.32907e-15,0,0,False,69.0|162,84
8|84|cc|7|1|162,0,0,0.0275281,0.191666,2.35824e-09,0,0,0,0,-1.2413e-08,2.79556e-07,-1.77636e-15,0,0,False,69.0|162,84
8|84|cc|8|1|162,0,0,-0.00404622,-0.628699,-2.34011e-09,0,0,0,0,1.80932e-08,-1.09291e-07,1.77636e-15,0,0,False,69.0|162,84
8|84|sample|10|162,0,0,0.0151219,-2.34937,5.52167e-09,0,0,0,0,-0.00695795,-2.41666,4.44089e-14,0,0,True,32.0|162,84
8|84|sample|11|162,0,0,0.103467,-2.26432,-2.86212e-09,0,0,0,0,0.0930246,-2.30027,-1.88294e-13,0,0,True,22.0|162,84
8|84|sample|12|162,0,0,-0.0359379,-2.30804,-2.63525e-09,0,0,0,0,-0.0386459,-2.31451,-1.13687e-13,0,0,True,22.0|162,84
8|84|sample|3|162,0,0,0.0470232,-3.47554,8.25424e-09,0,0,0,0,0.0259605,-3.49437,-3.19744e-14,0,0,True,55.0|162,84
8|84|sample|4|162,0,0,0.0215602,-3.51576,-1.30808e-09,0,0,0,0,-0.0104,-3.5236,3.19744e-14,0,0,True,55.0|162,84
8|84|sample|5|162,0,0,-0.315428,-5.77441,-8.73772e-10,0,0,0,0,-0.286134,-5.59063,2.61124e-13,0,0,True,55.0|162,84
8|84|sample|6|162,0,0,-0.230254,-5.23436,-9.64936e-09,0,0,0,0,-0.248224,-5.38388,-6.03961e-14,0,0,True,55.0|162,84
