id,importanceSampling
411|4,141.189199
411|3,136.737240
411|5,162.259554
411|6,160.880551
411|8,140.089735
411|7,139.112462
411|9,160.177447
411|10,161.935501
411|12,138.042302
411|11,138.872271
411|1,83.994237
411|2,143.695881
783|3,175.523763
783|4,177.074899
783|5,179.073667
783|6,179.433625
783|7,143.935992
783|8,143.661774
783|10,176.068677
783|9,176.218754
783|12,144.467507
783|11,143.645848
783|1,81.767801
783|2,147.182736
491|10,148.491794
491|9,147.632638
491|12,146.219576
491|11,148.402575
491|4,156.716287
491|3,155.220761
491|6,173.809096
491|5,174.289213
491|7,138.127474
491|8,136.712257
491|1,64.224981
491|2,156.003499
433|4,162.868672
433|3,146.226818
433|6,162.862404
433|5,171.514296
433|8,138.205865
433|7,144.843958
433|10,151.687411
433|9,147.355754
433|11,155.186031
433|12,180.395861
433|1,64.688308
433|2,148.377449
297|3,174.602869
297|4,177.480428
297|5,140.965371
297|6,140.481199
297|8,151.161126
297|7,151.032346
297|9,148.137766
297|10,143.497748
297|12,182.344452
297|11,172.825353
297|1,67.947722
297|2,146.306324
183|4,134.658441
183|3,142.247339
183|6,128.695369
183|5,129.359394
183|7,133.623836
183|8,135.196683
183|10,130.297532
183|9,130.919742
183|12,134.110552
183|11,134.016817
183|1,88.138463
183|2,120.846297
705|3,142.752612
705|4,142.502463
705|5,143.080069
705|6,142.733596
705|7,145.100423
705|8,143.184975
705|10,128.626966
705|9,133.198878
705|12,128.164364
705|11,128.366098
705|1,67.303413
705|2,125.782627
555|4,158.936475
555|3,160.486406
555|5,159.932720
555|6,162.596983
555|7,137.816653
555|8,138.140432
555|9,158.825382
555|10,159.338498
555|12,134.540009
555|11,132.791980
555|1,80.116331
555|2,132.091672
394|5,150.730952
394|6,150.363551
394|7,161.205836
394|8,163.247589
394|10,148.317346
394|9,146.354908
394|12,150.209433
394|11,151.563955
394|3,206.545144
394|4,203.310729
394|1,63.418926
394|2,137.329336
1099|3,126.001002
1099|4,124.872965
1099|5,139.364621
1099|6,140.025553
1099|8,139.936197
1099|7,137.577693
1099|9,124.927468
1099|10,126.229761
1099|11,133.843720
1099|12,135.067558
1099|1,67.594839
1099|2,120.305981
611|4,138.155987
611|3,138.255385
611|5,138.078299
611|6,138.000153
611|7,138.153501
611|8,141.672286
611|9,143.931676
611|10,141.606421
611|12,144.277731
611|11,141.255120
611|1,67.798585
611|2,125.010856
84|5,192.785933
84|6,185.200098
84|4,174.893644
84|3,173.705998
84|9,159.250987
84|10,159.111100
84|7,169.564539
84|8,167.467907
84|12,159.608085
84|11,162.571811
84|1,76.871301
84|2,148.755472
1042|8,154.199750
1042|7,156.900843
1042|6,160.256650
1042|5,159.780803
1042|12,152.959790
1042|11,154.116024
1042|9,162.370124
1042|10,160.870198
1042|4,156.980303
1042|3,155.219211
1042|1,82.948247
1042|2,148.928304
719|5,161.979888
719|6,162.468879
719|3,172.037018
719|4,172.203746
719|10,155.831698
719|9,155.259842
719|8,163.083540
719|7,163.275005
719|12,157.884328
719|11,155.421411
719|1,80.398549
719|2,144.940316
863|7,147.153171
863|8,145.307142
863|6,156.138005
863|5,153.723743
863|11,144.619261
863|12,143.843692
863|9,153.002472
863|10,150.958483
863|3,145.823717
863|4,148.703617
863|1,79.877410
863|2,143.698531
488|6,170.660967
488|5,170.434198
488|4,175.332597
488|3,175.148425
488|10,211.695539
488|9,209.274533
488|8,194.069244
