id,eta_U_SAEM,eta_L_SAEM,eta_h_SAEM,eta_f_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_mode,eta_L_mode,eta_h_mode,eta_f_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,0,-1.20073e-09,-6.16895e-09,-5.67847,0,0,0,0,1.09912e-14,-3.82168,0,0,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,0,-2.26623e-09,-8.04783e-10,-6.95365,0,0,0,-3.41061e-13,-2.33147e-15,-4.29487,0,0,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,0,-1.98727e-09,3.5671e-10,2.48458,0,0,0,0,1.36557e-14,-2.36344,0,0,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,0,-6.64436e-10,1.10036e-09,4.15863,0,0,0,0,-4.996e-15,-1.60308,0,0,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,0,2.84884e-09,-1.94156e-09,-8.28889,0,0,0,0,-1.83187e-14,-4.34885,0,0,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,0,2.52618e-11,-2.29582e-09,-7.37182,0,0,0,0,-5.32907e-15,-4.21648,0,0,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,0,6.13801e-09,1.2329e-09,2.87892,0,0,0,-1.13687e-13,2.33147e-15,-2.03591,0,0,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,0,-1.18639e-08,1.93365e-09,3.58634,0,0,0,1.13687e-13,-1.77636e-15,-1.98225,0,0,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,0,-1.51817e-09,2.82284e-09,-8.791,0,0,0,-1.13687e-13,3.44169e-15,-5.13904,0,0,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,0,-4.75029e-09,-1.6233e-10,-7.34182,0,0,0,1.13687e-13,2.498e-15,-4.21439,0,0,True,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,0,-4.53978e-09,3.33796e-09,0.115018,0,0,0,0,1.77636e-14,5.38359e-06,0,0,False,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,0,5.42832e-09,-2.66714e-09,0.538326,0,0,0,0,1.9762e-14,-1.0901e-05,0,0,False,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,0,1.34958e-09,1.18087e-09,0.284766,0,0,0,-1.13687e-13,3.10862e-15,5.15707e-07,0,0,False,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,0,1.18748e-08,-1.72707e-09,-1.46632,0,0,0,0,-8.43769e-15,5.15974e-06,0,0,False,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,0,-1.49622e-09,-1.11202e-09,-0.728175,0,0,0,0,-1.36557e-14,1.36202e-05,0,0,False,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,0,2.91379e-09,1.98014e-11,1.28113,0,0,0,0,2.10942e-15,1.14088e-06,0,0,False,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,0,-5.52814e-09,2.42507e-09,-1.00843,0,0,0,0,2.33147e-14,-1.75289e-05,0,0,False,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,0,-4.59645e-09,3.95628e-10,1.34757,0,0,0,0,3.33067e-14,9.71575e-06,0,0,False,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,0,5.4235e-10,-6.51977e-11,-0.0290157,0,0,0,0,-3.33067e-15,-2.34703e-06,0,0,False,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,0,-3.68095e-10,-3.49526e-09,0.0373925,0,0,0,0,0,-6.80362e-07,0,0,False,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,0,2.29359e-09,3.68842e-10,0.0534534,0,0,0,0,3.39728e-14,6.08843e-06,0,0,False,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,0,6.95119e-09,-2.85299e-09,0.648495,0,0,0,0,5.55112e-15,-7.23134e-07,0,0,False,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,0,-1.02814e-08,2.97882e-09,-0.141798,0,0,0,0,1.4877e-14,6.29671e-07,0,0,False,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,0,-6.26037e-09,-1.0537e-09,-1.70947,0,0,0,0,-1.35447e-14,2.07599e-05,0,0,False,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,0,2.25681e-09,-2.0687e-09,-0.404589,0,0,0,0,-1.13243e-14,-3.52151e-06,0,0,False,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,0,1.19135e-08,1.78626e-09,-0.283979,0,0,0,0,-8.43769e-15,9.51942e-06,0,0,False,69.0|274,411
14|783|14|783|sample|3|71|3|71|6.0,0,9.74913e-09,1.0015e-09,7.45897,0,0,0,1.13687e-13,4.44089e-16,1.36149,0,0,True,6.0|71,783
14|783|14|783|sample|4|71|4|71|6.0,0,-1.01875e-09,1.38225e-09,5.09978,0,0,0,0,-1.15463e-14,1.20533,0,0,True,6.0|71,783
14|783|14|783|sample|5|71|5|71|6.0,0,4.4831e-09,-4.05766e-09,4.13387,0,0,0,0,2.06501e-14,0.0444594,0,0,True,6.0|71,783
14|783|14|783|sample|6|71|6|71|6.0,0,5.9304e-09,-2.77781e-09,5.05088,0,0,0,-1.13687e-13,-3.77476e-15,-0.0424846,0,0,True,6.0|71,783
14|783|14|783|sample|7|71|7|71|6.0,0,1.10327e-08,-2.92049e-09,-3.95036,0,0,0,0,3.33067e-14,-4.15799,0,0,True,6.0|71,783
14|783|14|783|sample|8|71|8|71|6.0,0,-3.8034e-09,6.01887e-10,-4.35876,0,0,0,0,-7.10543e-15,-4.02885,0,0,True,6.0|71,783
14|783|14|783|sample|10|71|10|71|6.0,0,-3.91391e-09,-2.39987e-09,7.48654,0,0,0,0,-3.25295e-14,1.31935,0,0,True,6.0|71,783
14|783|14|783|sample|9|71|9|71|6.0,0,-6.07549e-09,7.20472e-10,7.73466,0,0,0,0,-1.24345e-14,1.37681,0,0,True,6.0|71,783
14|783|14|783|sample|12|71|12|71|6.0,0,-6.10613e-09,9.08257e-10,-8.25822,0,0,0,1.13687e-13,-3.33067e-15,-5.36958,0,0,True,6.0|71,783
14|783|14|783|sample|11|71|11|71|6.0,0,-3.76866e-09,1.16985e-09,-5.35084,0,0,0,0,-8.88178e-16,-5.00194,0,0,True,6.0|71,783
14|783|14|783|cc|1|1|71|1|71|69.0,0,5.64925e-09,3.65502e-09,-0.39432,0,0,0,0,8.88178e-16,5.82148e-07,0,0,False,69.0|71,783
14|783|14|783|cc|2|1|71|1|71|69.0,0,-3.37303e-09,7.97231e-10,0.315462,0,0,0,0,8.88178e-16,4.39243e-07,0,0,False,69.0|71,783
14|783|14|783|cc|3|1|71|1|71|69.0,0,4.46895e-09,2.14707e-10,1.30276,0,0,0,0,-1.77636e-15,5.6416e-07,0,0,False,69.0|71,783
14|783|14|783|cc|4|1|71|1|71|69.0,0,-2.89823e-09,1.13186e-10,0.293228,0,0,0,0,1.33227e-15,-1.06263e-07,0,0,False,69.0|71,783
