id,eta_U_SAEM,eta_L_SAEM,eta_L_gap_SAEM,eta_h_SAEM,eta_f_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_mode,eta_L_mode,eta_L_gap_mode,eta_h_mode,eta_f_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
14|783|14|783|sample|8|71|8|71|6.0,0,0,-2.58181e-09,1.13964,-6.8486e-09,0,0,0,0,5.29354e-13,1.14077,7.90479e-14,0,0,True,6.0|71,783
14|783|14|783|sample|10|71|10|71|6.0,0,0,6.1186e-09,0.0971894,-7.38038e-09,0,0,0,0,1.47438e-13,0.0900427,-3.59712e-13,0,0,True,6.0|71,783
14|783|14|783|sample|9|71|9|71|6.0,0,0,-7.51253e-09,0.067858,-4.63695e-09,0,0,0,0,-6.80345e-13,0.0872903,5.12923e-13,0,0,True,6.0|71,783
14|783|14|783|sample|12|71|12|71|6.0,0,0,-1.56537e-09,2.012,8.98244e-09,0,0,0,0,-5.15143e-14,2.11697,-1.85629e-13,0,0,True,6.0|71,783
14|783|14|783|sample|11|71|11|71|6.0,0,0,2.20576e-08,2.19006,1.29943e-09,0,0,0,0,3.37508e-14,2.20574,-7.72715e-14,0,0,True,6.0|71,783
14|783|14|783|cc|1|1|71|1|71|69.0,0,0,-1.76309e-09,-0.103878,2.68165e-09,0,0,0,0,-7.10543e-15,-5.25131e-07,-1.09912e-14,0,0,False,69.0|71,783
14|783|14|783|cc|2|1|71|1|71|69.0,0,0,9.69426e-09,0.143349,-2.88044e-09,0,0,0,0,-8.88178e-15,-6.45846e-08,-3.86358e-14,0,0,False,69.0|71,783
14|783|14|783|cc|3|1|71|1|71|69.0,0,0,-6.57723e-09,0.0407849,-5.64374e-09,0,0,0,0,1.42109e-14,-8.6682e-08,-5.44009e-15,0,0,False,69.0|71,783
14|783|14|783|cc|4|1|71|1|71|69.0,0,0,7.79403e-09,0.0695334,-1.10278e-09,0,0,0,0,-3.55271e-15,2.03947e-07,1.93734e-14,0,0,False,69.0|71,783
14|783|14|783|cc|5|1|71|1|71|69.0,0,0,-1.10331e-08,0.112478,-1.47636e-09,0,0,0,0,-3.55271e-15,-4.57715e-07,8.54872e-15,0,0,False,69.0|71,783
14|783|14|783|cc|6|1|71|1|71|69.0,0,0,7.74709e-09,0.109322,2.40789e-09,0,0,0,0,-3.55271e-15,-3.73774e-07,2.16493e-15,0,0,False,69.0|71,783
14|783|14|783|cc|7|1|71|1|71|69.0,0,0,2.08922e-09,-0.060655,-1.90378e-09,0,0,0,0,-2.4869e-14,-3.78998e-07,-1.11022e-15,0,0,False,69.0|71,783
14|783|14|783|cc|8|1|71|1|71|69.0,0,0,3.26315e-09,-0.122951,2.8882e-09,0,0,0,0,7.10543e-15,5.00045e-08,-1.5099e-14,0,0,False,69.0|71,783
14|783|14|783|vc|1|2|71|2|71|69.0,0,0,-8.36104e-09,-0.102505,9.72158e-10,0,0,0,0,-1.42109e-14,2.26426e-07,-4.10783e-15,0,0,False,69.0|71,783
14|783|14|783|vc|2|2|71|2|71|69.0,0,0,5.8052e-09,0.0161289,-6.64865e-10,0,0,0,0,1.06581e-14,-2.67919e-07,-1.44329e-15,0,0,False,69.0|71,783
14|783|14|783|vc|3|2|71|2|71|69.0,0,0,-7.26802e-09,-0.0148641,3.22255e-09,0,0,0,0,0,-1.45034e-08,1.42664e-14,0,0,False,69.0|71,783
14|783|14|783|vc|4|2|71|2|71|69.0,0,0,7.09503e-09,-0.060371,6.33962e-10,0,0,0,0,-7.10543e-15,1.29899e-07,-1.06581e-14,0,0,False,69.0|71,783
14|783|14|783|vc|5|2|71|2|71|69.0,0,0,1.96575e-10,-0.00305245,2.50493e-09,0,0,0,0,-2.80309e-12,-0.00307638,3.23364e-12,0,0,False,69.0|71,783
14|783|14|783|vc|6|2|71|2|71|69.0,0,0,8.88188e-11,-0.061712,-2.49629e-09,0,0,0,0,2.4869e-14,1.1777e-07,2.27596e-15,0,0,False,69.0|71,783
14|783|14|783|vc|7|2|71|2|71|69.0,0,0,-1.02876e-08,0.0601884,-3.81795e-09,0,0,0,0,-1.77636e-14,-4.03876e-07,-1.249e-14,0,0,False,69.0|71,783
14|783|14|783|vc|8|2|71|2|71|69.0,0,0,-4.147e-09,0.182152,-5.94655e-09,0,0,0,0,1.24345e-14,2.73316e-07,-1.18794e-14,0,0,False,69.0|71,783
14|491|14|491|sample|10|99|10|99|6.0,0,0,-9.79355e-09,2.96116,1.08916e-09,0,0,0,0,2.4869e-14,2.935,4.92939e-14,0,0,True,6.0|99,491
14|491|14|491|sample|9|99|9|99|6.0,0,0,-1.38796e-08,2.75047,-2.1602e-09,0,0,0,0,-2.66454e-14,2.82783,-3.24185e-14,0,0,True,6.0|99,491
14|491|14|491|sample|12|99|12|99|6.0,0,0,8.26132e-09,1.07014,-1.18591e-08,0,0,0,0,9.23706e-14,1.06671,4.20108e-13,0,0,True,6.0|99,491
14|491|14|491|sample|11|99|11|99|6.0,0,0,5.49211e-09,1.00956,-4.41859e-09,0,0,0,0,2.35367e-13,1.00677,6.79456e-14,0,0,True,6.0|99,491
14|491|14|491|sample|4|99|4|99|44.0,0,0,4.56712e-09,1.39786,-3.48316e-09,0,0,0,0,-1.22569e-13,1.40209,2.07834e-13,0,0,True,44.0|99,491
14|491|14|491|sample|3|99|3|99|44.0,0,0,1.11373e-09,1.31179,-3.60959e-09,0,0,0,0,2.60236e-13,1.35318,-2.04281e-14,0,0,True,44.0|99,491
14|491|14|491|sample|6|99|6|99|44.0,0,0,-3.57732e-09,0.929001,4.19679e-09,0,0,0,0,2.01617e-13,0.93578,1.32339e-13,0,0,True,44.0|99,491
14|491|14|491|sample|5|99|5|99|44.0,0,0,7.99781e-09,0.943445,-2.70261e-09,0,0,0,0,-7.78044e-13,0.950871,-4.04121e-13,0,0,True,44.0|99,491
14|491|14|491|sample|7|99|7|99|63.0,0,0,3.8808e-09,1.68242,1.50168e-09,0,0,0,0,2.35145e-13,1.66608,6.75016e-14,0,0,True,63.0|99,491
14|491|14|491|sample|8|99|8|99|63.0,0,0,-1.08381e-08,1.6118,1.84984e-09,0,0,0,0,-1.94733e-13,1.66722,-1.66978e-13,0,0,True,63.0|99,491
14|491|14|491|cc|1|1|99|1|99|69.0,0,0,5.03789e-09,-0.134235,-6.41017e-09,0,0,0,0,-3.55271e-15,-3.48263e-07,1.33227e-15,0,0,False,69.0|99,491
14|491|14|491|cc|2|1|99|1|99|69.0,0,0,6.61365e-10,-0.101234,-4.25457e-09,0,0,0,0,3.55271e-15,-2.94655e-07,-1.77636e-15,0,0,False,69.0|99,491
14|491|14|491|cc|3|1|99|1|99|69.0,0,0,7.33616e-09,0.0256985,1.6348e-09,0,0,0,0,1.06581e-14,-3.57442e-07,9.88098e-15,0,0,False,69.0|99,491
14|491|14|491|cc|4|1|99|1|99|69.0,0,0,-1.89056e-09,0.0737202,6.19237e-09,0,0,0,0,-2.66454e-15,-7.06592e-09,-2.58682e-14,0,0,False,69.0|99,491
14|491|14|491|cc|5|1|99|1|99|69.0,0,0,4.42912e-09,-0.102657,-1.80641e-09,0,0,0,0,-2.39808e-14,-1.44909e-07,1.4988e-14,0,0,False,69.0|99,491
14|491|14|491|cc|6|1|99|1|99|69.0,0,0,2.29777e-09,0.0363798,2.80658e-09,0,0,0,0,-2.84217e-14,4.12232e-08,-1.11022e-15,0,0,False,69.0|99,491
14|491|14|491|cc|7|1|99|1|99|69.0,0,0,3.85962e-09,-0.0598515,3.42729e-09,0,0,0,0,-2.66454e-15,-2.75938e-07,-4.21885e-15,0,0,False,69.0|99,491
14|491|14|491|cc|8|1|99|1|99|69.0,0,0,-4.98195e-09,-0.0676384,2.47546e-10,0,0,0,0,1.77636e-14,-1.70881e-07,-1.33227e-15,0,0,False,69.0|99,491
14|491|14|491|vc|1|2|99|2|99|69.0,0,0,-6.09501e-09,-0.0716614,1.97729e-09,0,0,0,0,-1.95399e-14,-7.15484e-08,1.4877e-14,0,0,False,69.0|99,491
14|491|14|491|vc|2|2|99|2|99|69.0,0,0,-1.71877e-09,-0.055701,-1.19062e-10,0,0,0,0,-1.5099e-14,2.85148e-07,-1.09912e-14,0,0,False,69.0|99,491
14|491|14|491|vc|3|2|99|2|99|69.0,0,0,-2.22172e-09,-0.0176831,-5.42662e-09,0,0,0,0,-8.88178e-15,-2.32505e-07,-2.77556e-15,0,0,False,69.0|99,491
14|491|14|491|vc|4|2|99|2|99|69.0,0,0,-2.79323e-09,-0.0338236,-1.92822e-09,0,0,0,0,-3.55271e-14,2.52753e-07,9.99201e-16,0,0,False,69.0|99,491
14|491|14|491|vc|5|2|99|2|99|69.0,0,0,6.58971e-09,-0.00753713,5.5287e-09,0,0,0,0,4.63451e-12,-0.00766512,2.89258e-12,0,0,False,69.0|99,491
14|491|14|491|vc|6|2|99|2|99|69.0,0,0,2.56089e-09,0.0479545,3.85991e-09,0,0,0,0,1.59872e-14,-7.77309e-07,-1.79856e-14,0,0,False,69.0|99,491
14|491|14|491|vc|7|2|99|2|99|69.0,0,0,-1.03648e-08,-0.0131561,-5.95915e-10,0,0,0,0,-1.95399e-14,2.87233e-07,4.21885e-15,0,0,False,69.0|99,491
14|491|14|491|vc|8|2|99|2|99|69.0,0,0,5.69591e-09,0.0394787,6.31214e-10,0,0,0,0,9.76996e-15,3.10478e-07,-3.21965e-14,0,0,False,69.0|99,491
14|433|14|433|sample|4|99|4|99|6.0,0,0,-6.52448e-09,1.30262,-4.38294e-09,0,0,0,0,-3.75699e-13,1.28313,8.65974e-14,0,0,True,6.0|99,433
14|433|14|433|sample|3|99|3|99|6.0,0,0,1.03467e-09,1.38611,6.40418e-10,0,0,0,0,-5.50671e-14,1.43063,-1.31006e-13,0,0,True,6.0|99,433
14|433|14|433|sample|6|99|6|99|6.0,0,0,1.16699e-09,0.388576,-5.46103e-09,0,0,0,0,-4.10338e-13,0.394136,-2.64233e-13,0,0,True,6.0|99,433
14|433|14|433|sample|5|99|5|99|6.0,0,0,-1.31725e-08,0.406267,-3.59831e-09,0,0,0,0,-7.81597e-13,0.421579,1.4877e-13,0,0,True,6.0|99,433
14|433|14|433|sample|8|99|8|99|6.0,0,0,3.85856e-09,2.86893,6.29519e-09,0,0,0,0,-7.28306e-14,2.52763,-7.50511e-14,0,0,True,6.0|99,433
