id,eta_f_SAEM,eta_h_SAEM,eta_s_SAEM,eta_L_gap_SAEM,eta_f_mode,eta_h_mode,eta_s_mode,eta_L_gap_mode,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,0,0,0.94064,-1.09899e-09,0,0,0.905262,4.4853e-14,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,0,0,1.24605,-4.15326e-09,0,0,1.25603,3.63265e-13,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,0,0,0.832969,-9.32362e-09,0,0,0.847517,8.9706e-14,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,0,0,0.783642,2.69014e-09,0,0,0.796441,-2.78888e-13,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,0,0,1.02699,1.12377e-08,0,0,1.06303,-1.24789e-13,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,0,0,1.13191,-1.33917e-08,0,0,1.11214,1.33227e-15,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,0,0,0.889317,6.22126e-09,0,0,0.889477,-8.9484e-13,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,0,0,0.800376,-4.67007e-09,0,0,0.809203,-9.05942e-14,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,0,0,1.11291,-2.17035e-09,0,0,1.11428,3.2685e-13,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,0,0,1.03946,1.25105e-08,0,0,1.04576,1.67422e-13,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,0,0,0.0366626,8.16516e-09,0,0,1.52287e-07,-8.88178e-15,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,0,0,0.180922,8.30106e-10,0,0,5.56675e-07,-7.10543e-15,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,0,0,-0.0547048,-6.7046e-10,0,0,-2.78048e-07,6.66134e-15,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,0,0,0.160042,2.11334e-09,0,0,-3.988e-07,-4.44089e-16,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,0,0,-0.0316521,-4.09721e-09,0,0,-2.10734e-07,0,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,0,0,0.171613,-3.05607e-09,0,0,2.58404e-07,3.9968e-15,69.0|274,411
