rep,id,U_offset,L,m,e,alpha,k,goes_down,mab_virus,run_id
1,9|411|sample|4|274,6.58555,770.884,1.38222,1.77606,12882.3,12.86,True,70.0|274,411
1,9|411|sample|3|274,5.46461,770.164,1.38242,3.01449,12882.3,12.86,True,70.0|274,411
1,9|411|sample|5|274,5.65143,768.985,1.3824,1.60694,12882.3,12.86,True,70.0|274,411
1,9|411|sample|6|274,4.16939,770.536,1.38242,1.38871,12882.3,12.86,True,70.0|274,411
1,9|411|sample|8|274,5.65999,770.264,1.38237,2.53899,12882.3,12.86,True,70.0|274,411
1,9|411|sample|7|274,4.33293,769.579,1.38243,2.22888,12882.3,12.86,True,70.0|274,411
1,9|411|sample|9|274,5.22086,769.955,1.38245,1.808,12882.3,12.86,True,70.0|274,411
1,9|411|sample|10|274,4.5708,769.669,1.38236,1.46839,12882.3,12.86,True,70.0|274,411
1,9|411|sample|12|274,5.54735,770.323,1.3824,2.5363,12882.3,12.86,True,70.0|274,411
1,9|411|sample|11|274,3.44631,769.575,1.38234,2.54924,12882.3,12.86,True,70.0|274,411
1,9|411|cc|1|1|274,1.62021,770.068,1.70299,0.000613576,12882.3,12.86,False,69.0|274,411
1,9|411|cc|2|1|274,2.04907,771.144,1.70301,0.00468882,12882.3,12.86,False,69.0|274,411
1,9|411|cc|3|1|274,1.70123,769.064,1.70303,0.00891731,12882.3,12.86,False,69.0|274,411
1,9|411|cc|4|1|274,1.1864,770.45,1.70305,8.82915e-05,12882.3,12.86,False,69.0|274,411
1,9|411|cc|5|1|274,1.20425,770.211,1.70294,0.00153447,12882.3,12.86,False,69.0|274,411
1,9|411|cc|6|1|274,1.76467,769.626,1.70307,0.00285951,12882.3,12.86,False,69.0|274,411
1,9|411|cc|7|1|274,2.45932,771.198,1.70293,0.000200027,12882.3,12.86,False,69.0|274,411
1,9|411|cc|8|1|274,2.05285,769.689,1.70296,0.00112061,12882.3,12.86,False,69.0|274,411
1,9|411|vc|1|2|274,1.04283,771.312,1.70297,0.0945707,12882.3,12.86,False,69.0|274,411
1,9|411|vc|2|2|274,1.84225,771.051,1.70294,0.00182311,12882.3,12.86,False,69.0|274,411
1,9|411|vc|3|2|274,1.13356,770.629,1.70293,0.00194467,12882.3,12.86,False,69.0|274,411
1,9|411|vc|4|2|274,2.15985,769.641,1.70298,0.0204783,12882.3,12.86,False,69.0|274,411
1,9|411|vc|5|2|274,1.55725,770.981,1.70305,0.00432202,12882.3,12.86,False,69.0|274,411
1,9|411|vc|6|2|274,1.37838,771.74,1.70296,0.00459726,12882.3,12.86,False,69.0|274,411
1,9|411|vc|7|2|274,1.86079,770.401,1.70302,0.000700574,12882.3,12.86,False,69.0|274,411
1,9|411|vc|8|2|274,1.61442,771.088,1.70297,0.000584081,12882.3,12.86,False,69.0|274,411
1,14|783|sample|3|71,4.55869,770.299,1.14217,0.0569664,12882.3,12.86,True,6.0|71,783
1,14|783|sample|4|71,5.74734,767.997,1.1421,0.0442069,12882.3,12.86,True,6.0|71,783
1,14|783|sample|5|71,5.84756,769.727,1.14237,0.129233,12882.3,12.86,True,6.0|71,783
1,14|783|sample|6|71,6.2526,769.274,1.1422,0.106362,12882.3,12.86,True,6.0|71,783
