id,U_offset_SAEM,L_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,U_offset_mode,L_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
9|411|sample|4|274,5.80159,770.059,1.38239,1.88252,12782.9,12.8637,5.84225,769.689,1.38237,1.84609,12882.3,12.86,True,70.0|274,411
9|411|sample|3|274,5.25721,769.519,1.38239,3.24628,12782.9,12.8637,5.58857,769.689,1.38237,3.2499,12882.3,12.86,True,70.0|274,411
9|411|sample|5|274,5.71199,769.584,1.38238,1.70919,12782.9,12.8637,6.87004,769.69,1.38237,1.6598,12882.3,12.86,True,70.0|274,411
9|411|sample|6|274,5.28211,769.654,1.38239,1.64554,12782.9,12.8637,5.47301,769.691,1.38237,1.66174,12882.3,12.86,True,70.0|274,411
9|411|sample|8|274,5.99018,769.609,1.38238,2.37599,12782.9,12.8637,5.89144,769.689,1.38237,2.40194,12882.3,12.86,True,70.0|274,411
9|411|sample|7|274,5.66858,769.742,1.38237,2.47463,12782.9,12.8637,5.76584,769.689,1.38237,2.55188,12882.3,12.86,True,70.0|274,411
9|411|sample|9|274,5.57135,769.735,1.38238,1.84809,12782.9,12.8637,5.85222,769.69,1.38237,1.88076,12882.3,12.86,True,70.0|274,411
9|411|sample|10|274,5.85874,769.548,1.38237,1.54626,12782.9,12.8637,5.92779,769.69,1.38237,1.5965,12882.3,12.86,True,70.0|274,411
9|411|sample|12|274,6.06665,769.73,1.38238,2.6461,12782.9,12.8637,6.01112,769.689,1.38237,2.76104,12882.3,12.86,True,70.0|274,411
9|411|sample|11|274,5.52996,769.838,1.38236,2.4161,12782.9,12.8637,5.79182,769.69,1.38237,2.45022,12882.3,12.86,True,70.0|274,411
9|411|cc|1|1|274,1.64487,771.068,1.70299,0.0309186,12782.9,12.8637,1.52812,771.07,1.70298,0.00505021,12882.3,12.86,False,69.0|274,411
9|411|cc|2|1|274,1.67315,770.987,1.70298,0.0835129,12782.9,12.8637,1.52812,771.07,1.70298,0.00505021,12882.3,12.86,False,69.0|274,411
9|411|cc|3|1|274,1.656,771.102,1.70299,0.0667208,12782.9,12.8637,1.52812,771.07,1.70298,0.00505021,12882.3,12.86,False,69.0|274,411
9|411|cc|4|1|274,1.61173,771.079,1.70298,0.0584274,12782.9,12.8637,1.52812,771.07,1.70298,0.00505021,12882.3,12.86,False,69.0|274,411
9|411|cc|5|1|274,1.59116,771.151,1.70299,0.0434623,12782.9,12.8637,1.52812,771.07,1.70298,0.00505021,12882.3,12.86,False,69.0|274,411
