id,importanceSampling
411|4,140.632738
411|3,137.543764
411|5,162.335452
411|6,162.782991
411|8,137.853622
411|7,137.093367
411|9,162.455446
411|10,163.005560
411|12,136.982885
411|11,136.641853
411|1,51.771420
411|2,147.209503
152|8,120.444655
152|7,153.973393
152|6,159.923007
152|5,162.276228
152|12,142.995766
152|11,144.867997
152|10,154.417840
152|9,152.755171
152|3,155.514427
152|4,153.979408
152|1,77.995976
152|2,150.391501
1056|8,147.957828
1056|7,151.365277
1056|6,155.981109
1056|5,156.632198
1056|12,144.783745
1056|11,143.769796
1056|10,151.380814
1056|9,152.225168
1056|4,149.461911
1056|3,148.598679
1056|1,45.876222
1056|2,163.682374
462|6,234.372098
462|5,232.857372
462|4,210.688746
462|3,210.187953
462|9,148.792984
462|10,152.243005
462|7,163.225450
462|8,161.293418
462|11,163.457153
462|12,171.507291
462|1,90.811394
462|2,161.571181
1159|8,125.055844
1159|7,156.851821
1159|5,164.954875
1159|6,163.085767
1159|11,144.419001
1159|12,151.118975
1159|9,157.831416
1159|10,160.574126
1159|4,157.863341
1159|3,156.281241
1159|1,81.403486
1159|2,127.218636
1197|7,140.538404
1197|8,138.614207
1197|6,147.006457
1197|5,146.200707
1197|12,145.285496
1197|10,151.746933
1197|9,117.309118
1197|3,107.099955
1197|4,139.420584
1197|11,142.219101
1197|1,81.705827
1197|2,159.461589
