rep,id,eta_L,eta_m,eta_e,eta_s,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,8|84|cc|1|1|162,2.74947,-0.0215915,0,-1.45825,0,0,False,69.0|162,84
1,8|84|cc|2|1|162,5.71513,-0.0551155,0,-1.78415,0,0,False,69.0|162,84
1,8|84|cc|3|1|162,-2.56829,0.00218572,0,-0.186111,0,0,False,69.0|162,84
1,8|84|cc|4|1|162,-1.77075,0.0657681,0,0.249688,0,0,False,69.0|162,84
1,8|84|cc|5|1|162,-0.0298163,-0.100821,0,-1.86624,0,0,False,69.0|162,84
1,8|84|cc|6|1|162,1.91998,0.0606347,0,0.875567,0,0,False,69.0|162,84
1,8|84|cc|7|1|162,4.58817,-0.156637,0,1.85007,0,0,False,69.0|162,84
1,8|84|cc|8|1|162,0.246128,-0.021434,0,1.71366,0,0,False,69.0|162,84
1,8|84|sample|10|162,1.65052,-0.0214877,0,-0.83149,0,0,True,32.0|162,84
1,8|84|sample|11|162,-0.428921,0.0327694,0,-0.951234,0,0,True,22.0|162,84
1,8|84|sample|12|162,2.47767,-0.0698403,0,-1.13283,0,0,True,22.0|162,84
1,8|84|sample|3|162,-0.570879,-0.0481932,0,-1.81583,0,0,True,55.0|162,84
1,8|84|sample|4|162,-0.608145,0.0554781,0,-1.61332,0,0,True,55.0|162,84
1,8|84|sample|5|162,-0.866396,-0.206326,0,-2.48044,0,0,True,55.0|162,84
1,8|84|sample|6|162,-0.58439,-0.235306,0,-2.51314,0,0,True,55.0|162,84
1,8|84|sample|7|162,0.420477,0.00078515,0,-0.907204,0,0,True,32.0|162,84
1,8|84|sample|8|162,0.573601,0.0108438,0,-0.720906,0,0,True,32.0|162,84
1,8|84|sample|9|162,-0.644775,0.157147,0,-0.166472,0,0,True,32.0|162,84
1,8|84|vc|1|2|162,5.04694,0.00826046,0,0.385754,0,0,False,69.0|162,84
1,8|84|vc|2|2|162,1.90472,0.0475446,0,1.13444,0,0,False,69.0|162,84
1,8|84|vc|3|2|162,2.08826,-0.0416252,0,1.12511,0,0,False,69.0|162,84
1,8|84|vc|4|2|162,-0.538532,-0.0311959,0,-0.0343725,0,0,False,69.0|162,84
1,8|84|vc|5|2|162,1.00278,0.00684847,0,-0.390251,0,0,False,69.0|162,84
1,8|84|vc|6|2|162,-0.205566,0.0696924,0,-1.53236,0,0,False,69.0|162,84
1,8|84|vc|7|2|162,0.91038,-0.162945,0,-3.21613,0,0,False,69.0|162,84
1,8|84|vc|8|2|162,-2.54627,0.218581,0,-0.523448,0,0,False,69.0|162,84
1,8|719|cc|1|1|274,-3.29504,-0.186564,0,-0.488724,0,0,False,69.0|274,719
1,8|719|cc|2|1|274,-3.09089,0.0642246,0,-0.51694,0,0,False,69.0|274,719
1,8|719|cc|3|1|274,-0.923342,-0.0117219,0,0.435429,0,0,False,69.0|274,719
1,8|719|cc|4|1|274,1.84534,-0.0553936,0,-0.164054,0,0,False,69.0|274,719
1,8|719|cc|5|1|274,-1.83498,-0.112521,0,-0.457678,0,0,False,69.0|274,719
1,8|719|cc|6|1|274,-0.257821,0.197524,0,2.33968,0,0,False,69.0|274,719
1,8|719|cc|7|1|274,-0.481769,-0.0618945,0,0.214956,0,0,False,69.0|274,719
1,8|719|cc|8|1|274,1.24019,0.246156,0,2.23992,0,0,False,69.0|274,719
1,8|719|sample|10|274,-3.58843,0.108529,0,0.3042,0,0,True,32.0|274,719
1,8|719|sample|11|274,2.04171,0.0102098,0,0.0600071,0,0,True,22.0|274,719
1,8|719|sample|12|274,-2.97973,0.153206,0,0.812732,0,0,True,22.0|274,719
1,8|719|sample|3|274,0.0952037,0.144894,0,-1.06067,0,0,True,55.0|274,719
1,8|719|sample|4|274,0.862536,0.11785,0,-1.36779,0,0,True,55.0|274,719
1,8|719|sample|5|274,-0.264176,-0.108466,0,-1.85231,0,0,True,55.0|274,719
1,8|719|sample|6|274,-4.12602,0.0492036,0,-1.41595,0,0,True,55.0|274,719
1,8|719|sample|7|274,-0.391515,0.0153286,0,-0.0768644,0,0,True,32.0|274,719
1,8|719|sample|8|274,-2.15589,-0.0572788,0,-0.384041,0,0,True,32.0|274,719
1,8|719|sample|9|274,-0.866626,0.0973448,0,0.246812,0,0,True,32.0|274,719
1,8|719|vc|1|2|274,-1.16532,-0.19099,0,2.36646,0,0,False,69.0|274,719
1,8|719|vc|2|2|274,-4.89797,-0.0967633,0,-1.05738,0,0,False,69.0|274,719
1,8|719|vc|3|2|274,1.90952,-0.121673,0,-1.63969,0,0,False,69.0|274,719
1,8|719|vc|4|2|274,-1.69142,0.280853,0,-1.63986,0,0,False,69.0|274,719
1,8|719|vc|5|2|274,0.174999,0.248976,0,0.622828,0,0,False,69.0|274,719
1,8|719|vc|6|2|274,-4.11953,-0.0652316,0,-0.835249,0,0,False,69.0|274,719
1,8|719|vc|7|2|274,-1.84372,0.139395,0,-0.638266,0,0,False,69.0|274,719
1,8|719|vc|8|2|274,-1.66367,0.0266135,0,-2.71624,0,0,False,69.0|274,719
1,8|488|cc|1|1|322,0.584445,-0.16667,0,-0.07272,0,0,False,69.0|322,488
1,8|488|cc|2|1|322,-1.47661,-0.0857753,0,0.283455,0,0,False,69.0|322,488
1,8|488|cc|3|1|322,2.61276,0.15182,0,-0.524925,0,0,False,69.0|322,488
1,8|488|cc|4|1|322,1.55478,0.0888956,0,-0.892902,0,0,False,69.0|322,488
1,8|488|cc|5|1|322,-0.964983,0.0969761,0,3.0272,0,0,False,69.0|322,488
1,8|488|cc|6|1|322,0.825919,-0.237323,0,0.643163,0,0,False,69.0|322,488
1,8|488|cc|7|1|322,-1.98205,0.0915936,0,0.0287164,0,0,False,69.0|322,488
1,8|488|cc|8|1|322,-0.497446,0.0598638,0,-0.739425,0,0,False,69.0|322,488
1,8|488|sample|10|322,0.568032,-0.403572,0,-2.44371,0,0,True,32.0|322,488
1,8|488|sample|11|322,-1.88974,-0.146552,0,-0.96726,0,0,True,22.0|322,488
1,8|488|sample|12|322,1.34051,-0.188758,0,-1.14295,0,0,True,22.0|322,488
1,8|488|sample|3|322,-1.41201,0.131444,0,-2.00789,0,0,True,55.0|322,488
1,8|488|sample|4|322,-0.985532,0.0874667,0,-2.07472,0,0,True,55.0|322,488
1,8|488|sample|5|322,-1.89702,0.00696803,0,-2.47763,0,0,True,55.0|322,488
1,8|488|sample|6|322,-0.0223783,0.0617075,0,-2.4784,0,0,True,55.0|322,488
1,8|488|sample|7|322,0.0272765,-0.331207,0,-2.16859,0,0,True,32.0|322,488
1,8|488|sample|8|322,-2.86972,-0.316756,0,-2.06725,0,0,True,32.0|322,488
1,8|488|sample|9|322,1.07106,-0.365688,0,-2.31795,0,0,True,32.0|322,488
1,8|488|vc|1|2|322,0.223014,-0.0710455,0,0.0137397,0,0,False,69.0|322,488
1,8|488|vc|2|2|322,-2.79565,-0.217677,0,-1.41399,0,0,False,69.0|322,488
1,8|488|vc|3|2|322,2.75902,-0.112137,0,-2.15245,0,0,False,69.0|322,488
1,8|488|vc|4|2|322,2.5204,0.0949009,0,1.31778,0,0,False,69.0|322,488
1,8|488|vc|5|2|322,0.55856,0.0134977,0,0.398019,0,0,False,69.0|322,488
1,8|488|vc|6|2|322,1.20051,-0.106557,0,-0.620094,0,0,False,69.0|322,488
1,8|488|vc|7|2|322,-4.41853,-0.104321,0,-0.759858,0,0,False,69.0|322,488
1,8|488|vc|8|2|322,-0.191544,-0.22899,0,-0.750117,0,0,False,69.0|322,488
1,8|847|cc|1|1|69,-1.43267,0.0198656,0,1.82858,0,0,False,69.0|69,847
1,8|847|cc|2|1|69,-2.77371,-0.0152797,0,-0.12969,0,0,False,69.0|69,847
1,8|847|cc|3|1|69,-1.46735,0.118105,0,-2.25526,0,0,False,69.0|69,847
1,8|847|cc|4|1|69,-3.44951,0.0674844,0,0.483081,0,0,False,69.0|69,847
1,8|847|cc|5|1|69,-0.370474,0.0706159,0,1.20861,0,0,False,69.0|69,847
1,8|847|cc|6|1|69,-1.75896,-0.00463166,0,-2.36287,0,0,False,69.0|69,847
1,8|847|cc|7|1|69,-1.78444,-0.0475364,0,1.0239,0,0,False,69.0|69,847
1,8|847|cc|8|1|69,-0.458066,0.108101,0,-0.758307,0,0,False,69.0|69,847
1,8|847|sample|10|69,-0.789075,0.147475,0,1.52889,0,0,True,32.0|69,847
1,8|847|sample|11|69,-1.71093,-0.0161833,0,-0.804635,0,0,True,22.0|69,847
1,8|847|sample|12|69,0.0358857,0.0315626,0,-0.428173,0,0,True,22.0|69,847
1,8|847|sample|3|69,1.82593,-0.166508,0,-1.90964,0,0,True,55.0|69,847
1,8|847|sample|4|69,-1.20232,-0.234993,0,-2.07598,0,0,True,55.0|69,847
1,8|847|sample|5|69,2.21668,-0.365533,0,-2.65842,0,0,True,55.0|69,847
1,8|847|sample|6|69,0.779937,-0.37218,0,-2.63191,0,0,True,55.0|69,847
1,8|847|sample|7|69,0.921072,0.101351,0,0.956791,0,0,True,32.0|69,847
1,8|847|sample|8|69,-4.36014,0.129082,0,1.16888,0,0,True,32.0|69,847
1,8|847|sample|9|69,-1.19924,-0.0128308,0,0.441113,0,0,True,32.0|69,847
1,8|847|vc|1|2|69,-0.203069,0.0950934,0,-1.01563,0,0,False,69.0|69,847
1,8|847|vc|2|2|69,-0.479691,-0.037565,0,-0.0423928,0,0,False,69.0|69,847
1,8|847|vc|3|2|69,2.01125,-0.00776233,0,-0.304572,0,0,False,69.0|69,847
1,8|847|vc|4|2|69,0.586254,0.191006,0,1.69302,0,0,False,69.0|69,847
1,8|847|vc|5|2|69,3.80716,0.13851,0,1.21832,0,0,False,69.0|69,847
1,8|847|vc|6|2|69,1.14189,0.0498377,0,-0.0318557,0,0,False,69.0|69,847
