rep,id,L_gap,m,e,alpha,k,goes_down,mab_virus,run_id
1,14|783|14|783|vc|1|2|71|2|71|69.0,0.79073,0.965287,0.59986,0.0326267,0.172961,False,69.0|71,783
1,14|783|14|783|vc|2|2|71|2|71|69.0,1.09074,0.965287,0.0204032,0.0326267,0.172961,False,69.0|71,783
1,14|783|14|783|vc|3|2|71|2|71|69.0,5.05975,0.965287,0.744921,0.0326267,0.172961,False,69.0|71,783
1,14|783|14|783|vc|4|2|71|2|71|69.0,0.353838,0.965287,0.542089,0.0326267,0.172961,False,69.0|71,783
1,14|783|14|783|vc|5|2|71|2|71|69.0,4.15597,0.965287,0.0308026,0.0326267,0.172961,False,69.0|71,783
1,14|783|14|783|vc|6|2|71|2|71|69.0,0.166517,0.965287,0.00325394,0.0326267,0.172961,False,69.0|71,783
1,14|783|14|783|vc|7|2|71|2|71|69.0,0.74152,0.965287,0.267862,0.0326267,0.172961,False,69.0|71,783
1,14|783|14|783|vc|8|2|71|2|71|69.0,4.15295,0.965287,0.00768686,0.0326267,0.172961,False,69.0|71,783
1,14|491|14|491|sample|10|99|10|99|6.0,0.537474,1.1236,0.00465458,0.0326267,0.172961,True,6.0|99,491
1,14|491|14|491|sample|9|99|9|99|6.0,2.7137,1.1236,0.00554456,0.0326267,0.172961,True,6.0|99,491
1,14|491|14|491|sample|12|99|12|99|6.0,4.09764,1.1236,0.022709,0.0326267,0.172961,True,6.0|99,491
1,14|491|14|491|sample|11|99|11|99|6.0,1.53592,1.1236,0.0370068,0.0326267,0.172961,True,6.0|99,491
1,14|491|14|491|sample|4|99|4|99|44.0,3.2299,1.16675,0.055847,0.0326267,0.172961,True,44.0|99,491
1,14|491|14|491|sample|3|99|3|99|44.0,0.617878,1.16675,0.0739989,0.0326267,0.172961,True,44.0|99,491
1,14|491|14|491|sample|6|99|6|99|44.0,1.67181,1.16675,0.124557,0.0326267,0.172961,True,44.0|99,491
1,14|491|14|491|sample|5|99|5|99|44.0,0.339084,1.16675,0.124809,0.0326267,0.172961,True,44.0|99,491
1,14|491|14|491|sample|7|99|7|99|63.0,0.8223,1.60013,0.00398587,0.0326267,0.172961,True,63.0|99,491
1,14|491|14|491|sample|8|99|8|99|63.0,4.51404,1.60013,0.00298848,0.0326267,0.172961,True,63.0|99,491
1,14|491|14|491|cc|1|1|99|1|99|69.0,0.450884,2.68779,0.0833562,0.0326267,0.172961,False,69.0|99,491
1,14|491|14|491|cc|2|1|99|1|99|69.0,1.38414,2.68779,0.120754,0.0326267,0.172961,False,69.0|99,491
1,14|491|14|491|cc|3|1|99|1|99|69.0,2.68778,2.68779,0.548674,0.0326267,0.172961,False,69.0|99,491
1,14|491|14|491|cc|4|1|99|1|99|69.0,1.11742,2.68779,0.00065758,0.0326267,0.172961,False,69.0|99,491
1,14|491|14|491|cc|5|1|99|1|99|69.0,0.476158,2.68779,0.103931,0.0326267,0.172961,False,69.0|99,491
1,14|491|14|491|cc|6|1|99|1|99|69.0,0.219634,2.68779,2.88442,0.0326267,0.172961,False,69.0|99,491
1,14|491|14|491|cc|7|1|99|1|99|69.0,0.558136,2.68779,0.383475,0.0326267,0.172961,False,69.0|99,491
1,14|491|14|491|cc|8|1|99|1|99|69.0,3.48801,2.68779,0.0352563,0.0326267,0.172961,False,69.0|99,491
1,14|491|14|491|vc|1|2|99|2|99|69.0,0.607227,2.68779,0.0615859,0.0326267,0.172961,False,69.0|99,491
1,14|491|14|491|vc|2|2|99|2|99|69.0,0.724951,2.68779,0.0072827,0.0326267,0.172961,False,69.0|99,491
1,14|491|14|491|vc|3|2|99|2|99|69.0,1.48078,2.68779,8.83319,0.0326267,0.172961,False,69.0|99,491
1,14|491|14|491|vc|4|2|99|2|99|69.0,0.557056,2.68779,20835.2,0.0326267,0.172961,False,69.0|99,491
1,14|491|14|491|vc|5|2|99|2|99|69.0,2.17121,2.68779,16.0671,0.0326267,0.172961,False,69.0|99,491
1,14|491|14|491|vc|6|2|99|2|99|69.0,0.475243,2.68779,1.48093,0.0326267,0.172961,False,69.0|99,491
1,14|491|14|491|vc|7|2|99|2|99|69.0,0.217815,2.68779,2.35251,0.0326267,0.172961,False,69.0|99,491
1,14|491|14|491|vc|8|2|99|2|99|69.0,3.80537,2.68779,3.32235,0.0326267,0.172961,False,69.0|99,491
1,14|433|14|433|sample|4|99|4|99|6.0,1.85688,1.1236,0.0284285,0.0326267,0.172961,True,6.0|99,433
1,14|433|14|433|sample|3|99|3|99|6.0,0.255617,1.1236,0.0236536,0.0326267,0.172961,True,6.0|99,433
