rep,id,U,L,alpha,mean_cc
1,411,84166.7,862.852,0.904126,910.0
2,411,84166.7,862.852,0.904126,910.0
1,783,84166.7,545.372,0.904115,572.0039999999999
2,783,84166.7,545.372,0.904115,572.0039999999999
1,491,84166.7,545.372,0.904126,254.219875
2,491,84166.7,545.372,0.904126,254.219875
1,433,84166.7,545.372,0.904126,335.306375
2,433,84166.7,545.372,0.904126,335.306375
1,297,84166.7,545.372,0.904124,362.242
2,297,84166.7,545.372,0.904124,362.242
1,183,84166.7,545.372,0.904126,363.422375
2,183,84166.7,545.372,0.904126,363.422375
1,705,84166.7,545.372,1.92978,377.072125
2,705,84166.7,545.372,1.92978,377.072125
1,555,84166.7,545.372,1.59614,503.381125
2,555,84166.7,545.372,1.59614,503.381125
1,394,84166.7,545.372,1.36801,266.9225
2,394,84166.7,545.372,1.36801,266.9225
1,1099,84166.7,280.118,0.904126,295.221875
2,1099,84166.7,280.118,0.904126,295.221875
1,611,84166.7,545.372,1.9308,389.553125
2,611,84166.7,545.372,1.9308,389.553125
1,84,84166.7,545.372,0.904126,670.5
2,84,84166.7,545.372,0.904126,670.5
1,1042,84166.7,545.372,0.904126,697.25
2,1042,84166.7,545.372,0.904126,697.25
1,719,84166.7,545.372,0.422477,701.5
2,719,84166.7,545.372,0.422477,701.5
1,863,84166.7,636.629,0.614042,671.0
2,863,84166.7,636.629,0.614042,671.0
1,488,84166.7,545.372,0.261162,687.0
2,488,84166.7,545.372,0.261162,687.0
1,152,84166.7,545.372,0.221,695.25
2,152,84166.7,545.372,0.221,695.25
1,847,84166.7,700.807,2.15773e-14,737.5
2,847,84166.7,700.807,2.15773e-14,737.5
1,1241,84166.7,545.372,0,744.25
2,1241,84166.7,545.372,0,744.25
1,474,84166.7,702.543,0,740.5
2,474,84166.7,702.543,0,740.5
1,1056,84166.7,545.372,0,713.75
2,1056,84166.7,545.372,0,713.75
1,462,84166.7,545.372,0.904127,643.5
2,462,84166.7,545.372,0.904127,643.5
1,1159,84166.7,545.372,1.41965e-08,654.75
2,1159,84166.7,545.372,1.41965e-08,654.75
1,75,84166.7,545.372,1.90066,523.5
2,75,84166.7,545.372,1.90066,523.5
1,1017,84166.7,545.372,1.8574,553.0
2,1017,84166.7,545.372,1.8574,553.0
1,291,84166.7,576.309,0.207987,607.0
2,291,84166.7,576.309,0.207987,607.0
1,1197,84166.7,545.372,0.904127,636.5
2,1197,84166.7,545.372,0.904127,636.5
1,77,84166.7,453.21,0.904126,476.5
2,77,84166.7,453.21,0.904126,476.5
1,745,84166.7,545.372,0.904126,468.5
2,745,84166.7,545.372,0.904126,468.5
1,322,84166.7,545.372,0.904126,489.0
2,322,84166.7,545.372,0.904126,489.0
1,1043,84166.7,459.679,0.904123,485.0
2,1043,84166.7,459.679,0.904123,485.0
1,963,84166.7,425.683,0.904126,445.75
2,963,84166.7,425.683,0.904126,445.75
1,1260,84166.7,545.372,1.3823,528.25
2,1260,84166.7,545.372,1.3823,528.25
