id,U_SAEM,L_SAEM,alpha_SAEM,U_mode,L_mode,alpha_mode,mean_cc
411,84167.3,862.859,0.904126,84166.7,862.852,0.904126,910.0
783,84167.3,545.363,0.904114,84166.7,545.372,0.904115,572.0039999999999
491,84167.3,545.363,0.904126,84166.7,545.372,0.904126,254.219875
433,84167.3,545.363,0.904126,84166.7,545.372,0.904126,335.306375
297,84167.3,545.363,0.904124,84166.7,545.372,0.904124,362.242
183,84167.3,545.363,0.904126,84166.7,545.372,0.904126,363.422375
705,84167.3,545.363,1.92978,84166.7,545.372,1.92978,377.072125
555,84167.3,545.363,1.59615,84166.7,545.372,1.59614,503.381125
394,84167.3,545.363,1.36802,84166.7,545.372,1.36801,266.9225
1099,84167.3,280.123,0.904126,84166.7,280.118,0.904126,295.221875
611,84167.3,545.363,1.9308,84166.7,545.372,1.9308,389.553125
84,84167.3,545.363,0.904126,84166.7,545.372,0.904126,670.5
1042,84167.3,545.363,0.904126,84166.7,545.372,0.904126,697.25
719,84167.3,545.363,0.422517,84166.7,545.372,0.422477,701.5
863,84167.3,636.626,0.614084,84166.7,636.629,0.614042,671.0
488,84167.3,545.363,0.261238,84166.7,545.372,0.261162,687.0
152,84167.3,545.363,0.221034,84166.7,545.372,0.221,695.25
847,84167.3,700.806,2.16357e-14,84166.7,700.807,2.15773e-14,737.5
1241,84167.3,545.363,0,84166.7,545.372,0,744.25
474,84167.3,702.539,0,84166.7,702.543,0,740.5
1056,84167.3,545.363,0,84166.7,545.372,0,713.75
462,84167.3,545.363,0.904126,84166.7,545.372,0.904127,643.5
1159,84167.3,545.363,4.68681e-08,84166.7,545.372,1.41965e-08,654.75
75,84167.3,545.363,1.90066,84166.7,545.372,1.90066,523.5
1017,84167.3,545.363,1.8574,84166.7,545.372,1.8574,553.0
291,84167.3,576.308,0.208024,84166.7,576.309,0.207987,607.0
1197,84167.3,545.363,0.904127,84166.7,545.372,0.904127,636.5
77,84167.3,453.2,0.904126,84166.7,453.21,0.904126,476.5
745,84167.3,545.363,0.904126,84166.7,545.372,0.904126,468.5
322,84167.3,545.363,0.904126,84166.7,545.372,0.904126,489.0
1043,84167.3,459.682,0.904123,84166.7,459.679,0.904123,485.0
963,84167.3,425.684,0.904126,84166.7,425.683,0.904126,445.75
1260,84167.3,545.363,1.38229,84166.7,545.372,1.3823,528.25
