id,importanceSampling
411|4,98.851690
411|3,146.490293
411|5,158.629709
411|6,161.992129
411|8,135.349312
411|7,136.879425
411|9,153.152846
411|10,161.537274
411|12,137.000696
411|11,132.941480
411|1,82.967718
411|2,146.990430
152|8,142.949542
152|7,142.856488
152|6,149.078948
152|5,148.016242
152|12,139.143310
152|11,136.321049
152|10,142.156017
152|9,146.526516
152|3,144.546282
152|4,143.881213
152|1,77.898057
152|2,151.898495
1056|8,140.049066
1056|7,141.524283
1056|6,145.124328
1056|5,145.539694
1056|12,155.584625
1056|11,114.812370
1056|10,146.054930
1056|9,151.491587
1056|4,142.592731
1056|3,106.177588
1056|1,77.155615
1056|2,163.357471
462|6,164.162606
462|5,165.330634
462|4,170.360072
462|3,169.708385
462|9,138.868252
462|10,142.542600
462|7,150.995497
462|8,149.727627
462|11,161.975759
462|12,167.817427
462|1,90.984072
462|2,161.395736
1159|8,119.435112
1159|7,120.886995
1159|5,158.845126
1159|6,157.969158
1159|11,152.419573
1159|12,164.151745
1159|9,155.061409
1159|10,156.766535
1159|4,149.623004
1159|3,147.529915
1159|1,48.026792
1159|2,159.394445
1197|7,132.063528
1197|8,97.282691
1197|6,138.080861
1197|5,105.654063
1197|12,134.286818
1197|10,142.013203
1197|9,139.279101
1197|3,130.589606
1197|4,131.029793
1197|11,136.747751
1197|1,81.391127
1197|2,127.825562
