f_pop,-6.95221e+11,6.95221e+11,-1.04429e+11,-5.45552e+11,-0.00176783,6.95221e+11,-1.04429e+11,-5.45552e+11,-1.04429e+11,-1.04429e+11,0.000244444,6.95221e+11,-1.04429e+11,-5.45552e+11,nan,nan,nan,nan,nan,nan,7.99649e+11,6.95221e+11,1.24077e+12,6.95221e+11,7.99649e+11,nan,-0.0219395,-0.0019773,nan,-0.0159493,nan,nan,nan,nan,nan,0.00042971,-0.00497577,nan,-0.0347586,nan,0.00556515,0.00287384,-0.00432041,nan,-0.00605331,0.00526473,-0.00401833,-0.00126726,-0.00336971,-0.00199738,-0.0142602,0.000420733,2.32683e-07,-2.13689e-05,0.000503834,0.000364395,-0.000472418,nan,0.000166437,-6.56606e-09,7.40403e-12,0.363481,-0.000518884,-4.44208,-4.84993e-05
beta_f_mab_virus_22_0_276,6.95221e+11,-6.95221e+11,1.04429e+11,5.45552e+11,0.00176049,-6.95221e+11,1.04429e+11,5.45552e+11,1.04429e+11,1.04429e+11,-0.000248892,-6.95221e+11,1.04429e+11,5.45552e+11,nan,nan,nan,nan,nan,nan,-7.99649e+11,-6.95221e+11,-1.24077e+12,-6.95221e+11,-7.99649e+11,nan,0.0219395,0.0019773,nan,0.0159493,nan,nan,nan,nan,nan,-0.00042971,0.00497577,nan,0.0347586,nan,-0.00556515,-0.00287384,0.00432041,nan,0.00605331,-0.00526473,0.00401833,0.00126726,0.00336971,0.00199738,0.0142602,-0.000361774,-3.93779e-05,-2.1162e-05,-0.000556737,-0.000421015,0.000425594,nan,-0.000166437,6.56606e-09,-7.40403e-12,-0.348443,0.000503941,4.34193,5.1343e-05
beta_f_mab_virus_22_0_292,-1.04429e+11,1.04429e+11,2.58731e+12,-1.04253e+12,-0.00633929,-2.39132e+11,2.58731e+12,-1.04253e+12,2.58731e+12,2.58731e+12,0.00767412,-2.39132e+11,2.58731e+12,-1.04253e+12,nan,nan,nan,nan,nan,nan,-2.82644e+12,-2.39132e+11,8.03398e+11,-2.39132e+11,-2.82644e+12,nan,0.002671,0.00117444,nan,0.00659432,nan,nan,nan,nan,nan,0.00553933,-0.0016565,nan,0.0104636,nan,0.00190488,0.0136719,-0.00695444,nan,-0.0256419,0.0142132,-0.0202767,-0.00417818,-0.0153403,-0.0135012,0.00246173,0.00312245,0.000261365,0.000334698,-0.00047713,0.000383606,-0.00014215,nan,0.0044936,-1.41401e-08,1.99689e-11,3.55133,-0.00161005,26.5877,0.000853042
beta_f_mab_virus_22_0_322,-5.45552e+11,5.45552e+11,-1.04253e+12,-1.55221e+13,-0.050639,-1.58557e+12,-6.68704e+12,-1.55221e+13,-6.68704e+12,-6.68704e+12,0.0144052,-1.58557e+12,-6.68704e+12,-1.55221e+13,nan,nan,nan,nan,nan,nan,5.10148e+12,-1.58557e+12,1.39365e+13,-1.58557e+12,5.10148e+12,nan,-0.0698131,0.00669051,nan,-0.095204,nan,nan,nan,nan,nan,-0.0220977,0.0604357,nan,-0.130884,nan,0.00551473,0.0220598,-0.0383805,nan,0.00281895,0.00562793,0.0123308,0.0420253,-0.0164408,-0.0322613,-0.0246402,0.00107004,0.00235841,0.00364124,0.00249845,0.00674025,1.65562e-05,nan,0.0111473,-7.22773e-08,3.10803e-11,4.41115,-0.00278566,32.3479,-0.000717992
beta_f_mab_virus_28_0_103,-0.00176783,0.00176049,-0.00633929,-0.050639,0.00513539,0.000546361,0.00120809,-0.000437089,0.00112663,0.000425137,0.00331887,0.000417576,0.000534165,2.34155e-05,nan,nan,nan,nan,nan,nan,-0.000558069,-0.00279034,0.000370745,0.00045465,-0.000599046,nan,4.11956e-14,4.543e-15,nan,7.23712e-13,nan,nan,nan,nan,nan,8.56933e-14,1.8378e-14,nan,5.67906e-14,nan,-1.16658e-14,-1.06984e-14,9.53753e-15,nan,2.73475e-14,-1.89383e-14,1.81777e-14,-1.30172e-13,1.94412e-14,6.19022e-15,2.17234e-14,-1.22247e-05,-1.44532e-05,5.13706e-05,6.38374e-06,1.34314e-05,-5.64086e-06,nan,-3.3143e-15,0,0,-0.0220751,2.4256e-05,0.251425,-2.87699e-06
beta_f_mab_virus_28_0_276,6.95221e+11,-6.95221e+11,-2.39132e+11,-1.58557e+12,0.000546361,-6.95221e+11,1.04429e+11,5.45552e+11,1.04429e+11,1.04429e+11,-0.000249367,-6.95221e+11,1.04429e+11,5.45552e+11,nan,nan,nan,nan,nan,nan,-7.99649e+11,-6.95221e+11,-1.24077e+12,-6.95221e+11,-7.99649e+11,nan,0.0219395,0.0019773,nan,0.0159493,nan,nan,nan,nan,nan,-0.00042971,0.00497577,nan,0.0347586,nan,-0.00556515,-0.00287384,0.00432041,nan,0.00605331,-0.00526473,0.00401833,0.00126726,0.00336971,0.00199738,0.0142602,-0.000341918,-5.59063e-05,-3.82808e-05,-0.000575647,-0.000440609,0.000407832,nan,-0.000166437,6.56606e-09,-7.40403e-12,-0.345887,0.000502471,4.30388,5.21852e-05
beta_f_mab_virus_28_0_292,-1.04429e+11,1.04429e+11,2.58731e+12,-6.68704e+12,0.00120809,1.04429e+11,2.58731e+12,-1.04253e+12,2.58731e+12,2.58731e+12,0.00767468,-2.39132e+11,2.58731e+12,-1.04253e+12,nan,nan,nan,nan,nan,nan,-2.82644e+12,-2.39132e+11,8.03398e+11,-2.39132e+11,-2.82644e+12,nan,0.002671,0.00117444,nan,0.00659432,nan,nan,nan,nan,nan,0.00553933,-0.0016565,nan,0.0104636,nan,0.00190488,0.0136719,-0.00695444,nan,-0.0256419,0.0142132,-0.0202767,-0.00417818,-0.0153403,-0.0135012,0.00246173,0.00311965,0.000255731,0.000333145,-0.00047508,0.000386101,-0.000143036,nan,0.0044936,-1.41401e-08,1.99689e-11,3.54691,-0.00160847,26.6054,0.000852511
beta_f_mab_virus_28_0_322,-5.45552e+11,5.45552e+11,-1.04253e+12,-1.55221e+13,-0.000437089,5.45552e+11,-1.04253e+12,-1.55221e+13,-6.68704e+12,-6.68704e+12,0.0144005,-1.58557e+12,-6.68704e+12,-1.55221e+13,nan,nan,nan,nan,nan,nan,5.10148e+12,-1.58557e+12,1.39365e+13,-1.58557e+12,5.10148e+12,nan,-0.0698131,0.00669051,nan,-0.095204,nan,nan,nan,nan,nan,-0.0220977,0.0604357,nan,-0.130884,nan,0.00551473,0.0220598,-0.0383805,nan,0.00281895,0.00562793,0.0123308,0.0420253,-0.0164408,-0.0322613,-0.0246402,0.00109341,0.00237337,0.00365229,0.00265567,0.00672696,1.96892e-05,nan,0.0111473,-7.22773e-08,3.10803e-11,4.44324,-0.0027993,32.5286,-0.000714709
beta_f_mab_virus_32_0_292,-1.04429e+11,1.04429e+11,2.58731e+12,-6.68704e+12,0.00112663,1.04429e+11,2.58731e+12,-6.68704e+12,2.58731e+12,2.58731e+12,0.0076765,-2.39132e+11,2.58731e+12,-1.04253e+12,nan,nan,nan,nan,nan,nan,-2.82644e+12,-2.39132e+11,8.03398e+11,-2.39132e+11,-2.82644e+12,nan,0.002671,0.00117444,nan,0.00659432,nan,nan,nan,nan,nan,0.00553933,-0.0016565,nan,0.0104636,nan,0.00190488,0.0136719,-0.00695444,nan,-0.0256419,0.0142132,-0.0202767,-0.00417818,-0.0153403,-0.0135012,0.00246173,0.00311238,0.000253028,0.000327583,-0.000468959,0.00039307,-0.000423722,nan,0.0044936,-1.41401e-08,1.99689e-11,3.53332,-0.0016032,26.6096,0.000852242
beta_f_mab_virus_55_0_292,-1.04429e+11,1.04429e+11,2.58731e+12,-6.68704e+12,0.000425137,1.04429e+11,2.58731e+12,-6.68704e+12,2.58731e+12,2.58731e+12,0.00764796,-2.39132e+11,2.58731e+12,-1.04253e+12,nan,nan,nan,nan,nan,nan,-2.82644e+12,-2.39132e+11,8.03398e+11,-2.39132e+11,-2.82644e+12,nan,0.002671,0.00117444,nan,0.00659432,nan,nan,nan,nan,nan,0.00553933,-0.0016565,nan,0.0104636,nan,0.00190488,0.0136719,-0.00695444,nan,-0.0256419,0.0142132,-0.0202767,-0.00417818,-0.0153403,-0.0135012,0.00246173,0.0031834,0.000321388,0.000380023,-0.000510503,0.000335268,0.000339579,nan,0.0044936,-1.41401e-08,1.99689e-11,3.65419,-0.0016966,26.5507,0.000859261
