rep,id,L,m,e,s,alpha,k,goes_down,mab_virus,run_id
1,8|488|cc|1|1|322,790.603,1.40515,0.00730273,8.52581,1.29433e-05,1.93273e-06,False,69.0|322,488
1,8|488|cc|2|1|322,790.603,1.70407,0.00730267,8.52582,1.29433e-05,1.93273e-06,False,69.0|322,488
1,8|488|cc|3|1|322,790.603,1.35195,0.00730265,8.52582,1.29433e-05,1.93273e-06,False,69.0|322,488
1,8|488|cc|4|1|322,790.603,1.52634,0.00730271,8.5258,1.29433e-05,1.93273e-06,False,69.0|322,488
1,8|488|cc|5|1|322,790.603,1.48843,0.00730269,8.52581,1.29433e-05,1.93273e-06,False,69.0|322,488
1,8|488|cc|6|1|322,790.603,1.54275,0.0073027,8.52581,1.29433e-05,1.93273e-06,False,69.0|322,488
1,8|488|cc|7|1|322,790.603,1.56521,0.00730266,8.5258,1.29433e-05,1.93273e-06,False,69.0|322,488
1,8|488|cc|8|1|322,790.603,1.35837,0.00730274,8.52584,1.29433e-05,1.93273e-06,False,69.0|322,488
1,8|488|sample|10|322,790.603,0.317195,0.334352,2.88743,1.29433e-05,1.93273e-06,True,32.0|322,488
1,8|488|sample|11|322,790.603,0.656918,0.00345026,105.805,1.29433e-05,1.93273e-06,True,22.0|322,488
1,8|488|sample|12|322,790.603,0.634802,0.00345026,105.806,1.29433e-05,1.93273e-06,True,22.0|322,488
1,8|488|sample|3|322,790.603,0.932114,0.522893,0.715857,1.29433e-05,1.93273e-06,True,55.0|322,488
1,8|488|sample|4|322,790.603,0.831442,0.522893,0.715856,1.29433e-05,1.93273e-06,True,55.0|322,488
1,8|488|sample|5|322,790.603,1.28208,0.522891,0.715855,1.29433e-05,1.93273e-06,True,55.0|322,488
1,8|488|sample|6|322,790.603,1.14515,0.522891,0.715858,1.29433e-05,1.93273e-06,True,55.0|322,488
1,8|488|sample|7|322,790.603,0.435478,0.334354,2.88743,1.29433e-05,1.93273e-06,True,32.0|322,488
1,8|488|sample|8|322,790.603,0.40668,0.334353,2.88741,1.29433e-05,1.93273e-06,True,32.0|322,488
1,8|488|sample|9|322,790.603,0.383744,0.33435,2.88741,1.29433e-05,1.93273e-06,True,32.0|322,488
1,8|488|vc|1|2|322,790.603,1.42363,0.00730275,8.52576,1.29433e-05,1.93273e-06,False,69.0|322,488
1,8|488|vc|2|2|322,790.603,1.39788,0.00730268,8.52584,1.29433e-05,1.93273e-06,False,69.0|322,488
1,8|488|vc|3|2|322,790.603,1.43294,0.00730267,8.52582,1.29433e-05,1.93273e-06,False,69.0|322,488
1,8|488|vc|4|2|322,790.603,1.49421,0.00730268,8.52584,1.29433e-05,1.93273e-06,False,69.0|322,488
1,8|488|vc|5|2|322,790.603,1.41046,0.00730278,8.52581,1.29433e-05,1.93273e-06,False,69.0|322,488
1,8|488|vc|6|2|322,790.603,1.38775,0.00730268,8.52584,1.29433e-05,1.93273e-06,False,69.0|322,488
1,8|488|vc|7|2|322,790.603,1.42767,0.00730269,8.52579,1.29433e-05,1.93273e-06,False,69.0|322,488
1,8|488|vc|8|2|322,790.603,1.36716,0.00730271,8.52582,1.29433e-05,1.93273e-06,False,69.0|322,488
1,8|847|cc|1|1|69,790.603,1.45359,0.0489104,2.96387,2.82797e-06,-6.0353e-07,False,69.0|69,847
1,8|847|cc|2|1|69,790.603,1.5083,0.0489104,2.96386,2.82797e-06,-6.0353e-07,False,69.0|69,847
1,8|847|cc|3|1|69,790.603,1.45059,0.0489106,2.96388,2.82797e-06,-6.0353e-07,False,69.0|69,847
1,8|847|cc|4|1|69,790.603,1.28065,0.0489102,2.96388,2.82797e-06,-6.0353e-07,False,69.0|69,847
1,8|847|cc|5|1|69,790.603,1.29964,0.0489103,2.96389,2.82797e-06,-6.0353e-07,False,69.0|69,847
1,8|847|cc|6|1|69,790.603,1.47574,0.0489103,2.96388,2.82797e-06,-6.0353e-07,False,69.0|69,847
1,8|847|cc|7|1|69,790.603,1.23225,0.0489103,2.96386,2.82797e-06,-6.0353e-07,False,69.0|69,847
1,8|847|cc|8|1|69,790.603,1.23099,0.0489108,2.96388,2.82797e-06,-6.0353e-07,False,69.0|69,847
1,8|847|sample|10|69,790.603,0.74255,0.318367,19.0837,2.82797e-06,-6.0353e-07,True,32.0|69,847
1,8|847|sample|11|69,790.603,0.77466,0.345929,5.10316,2.82797e-06,-6.0353e-07,True,22.0|69,847
1,8|847|sample|12|69,790.603,0.69806,0.345929,5.10316,2.82797e-06,-6.0353e-07,True,22.0|69,847
1,8|847|sample|3|69,790.603,0.487523,0.182018,2.66605,2.82797e-06,-6.0353e-07,True,55.0|69,847
1,8|847|sample|4|69,790.603,0.437654,0.182019,2.66604,2.82797e-06,-6.0353e-07,True,55.0|69,847
1,8|847|sample|5|69,790.603,0.366979,0.182018,2.66605,2.82797e-06,-6.0353e-07,True,55.0|69,847
1,8|847|sample|6|69,790.603,0.381702,0.182018,2.66605,2.82797e-06,-6.0353e-07,True,55.0|69,847
1,8|847|sample|7|69,790.603,0.852092,0.318368,19.0837,2.82797e-06,-6.0353e-07,True,32.0|69,847
1,8|847|sample|8|69,790.603,0.845519,0.318366,19.0838,2.82797e-06,-6.0353e-07,True,32.0|69,847
1,8|847|sample|9|69,790.603,0.777204,0.318365,19.0838,2.82797e-06,-6.0353e-07,True,32.0|69,847
1,8|847|vc|1|2|69,790.603,1.47325,0.0489105,2.96388,2.82797e-06,-6.0353e-07,False,69.0|69,847
1,8|847|vc|2|2|69,790.603,1.44954,0.0489103,2.96386,2.82797e-06,-6.0353e-07,False,69.0|69,847
