rep,id,f,h,L_gap,mab_virus,run_id
1,8|1056|8|1056|sample|5|276|5|276|65.0,0.138916,1.80878,-28.9645,65.0|276,1056
1,8|1056|8|1056|sample|12|276|12|276|28.0,0.0319613,1.80878,-33.1531,28.0|276,1056
1,8|1056|8|1056|sample|11|276|11|276|28.0,0.0431619,1.80878,-4.02579,28.0|276,1056
1,8|1056|8|1056|sample|10|276|10|276|28.0,0.061594,1.80878,-19.8216,28.0|276,1056
1,8|1056|8|1056|sample|9|276|9|276|28.0,0.0745497,1.80878,3.23609,28.0|276,1056
1,8|1056|8|1056|sample|4|276|4|276|22.0,0.119034,1.80878,-35.1411,22.0|276,1056
1,8|1056|8|1056|sample|3|276|3|276|22.0,0.122435,1.80878,1.74561,22.0|276,1056
1,8|1056|8|1056|cc|1|1|276|1|276|69.0,0.111025,1.80878,10.5246,69.0|276,1056
1,8|1056|8|1056|cc|2|1|276|1|276|69.0,0.157682,1.80878,-7.87686,69.0|276,1056
1,8|1056|8|1056|cc|3|1|276|1|276|69.0,0.1477,1.80878,-12.7258,69.0|276,1056
1,8|1056|8|1056|cc|4|1|276|1|276|69.0,0.0811299,1.80878,-33.1442,69.0|276,1056
1,8|1056|8|1056|cc|5|1|276|1|276|69.0,0.109398,1.80878,-15.7809,69.0|276,1056
1,8|1056|8|1056|cc|6|1|276|1|276|69.0,0.0720509,1.80878,-42.877,69.0|276,1056
1,8|1056|8|1056|cc|7|1|276|1|276|69.0,0.161925,1.80878,-14.3868,69.0|276,1056
1,8|1056|8|1056|cc|8|1|276|1|276|69.0,0.0698691,1.80878,9.75954,69.0|276,1056
1,8|1056|8|1056|vc|1|2|276|2|276|69.0,0.0606101,1.80878,-8.71902,69.0|276,1056
1,8|1056|8|1056|vc|2|2|276|2|276|69.0,0.0911919,1.80878,-3.28704,69.0|276,1056
1,8|1056|8|1056|vc|3|2|276|2|276|69.0,0.203891,1.80878,-16.5062,69.0|276,1056
1,8|1056|8|1056|vc|4|2|276|2|276|69.0,0.137738,1.80878,-25.3169,69.0|276,1056
1,8|1056|8|1056|vc|5|2|276|2|276|69.0,0.229058,1.80878,-5.59009,69.0|276,1056
1,8|1056|8|1056|vc|6|2|276|2|276|69.0,0.057942,1.80878,-8.12207,69.0|276,1056
1,8|1056|8|1056|vc|7|2|276|2|276|69.0,0.0646064,1.80878,-12.4383,69.0|276,1056
1,8|1056|8|1056|vc|8|2|276|2|276|69.0,0.0743427,1.80878,-16.3262,69.0|276,1056
1,8|462|8|462|sample|6|292|6|292|55.0,0.224489,1.84926,10.5016,55.0|292,462
1,8|462|8|462|sample|5|292|5|292|55.0,0.0664096,1.84926,10.8818,55.0|292,462
1,8|462|8|462|sample|4|292|4|292|55.0,0.190722,1.84926,10.7957,55.0|292,462
1,8|462|8|462|sample|3|292|3|292|55.0,0.152844,1.84926,10.7827,55.0|292,462
1,8|462|8|462|sample|9|292|9|292|32.0,0.0187053,1.84926,-33.2807,32.0|292,462
1,8|462|8|462|sample|10|292|10|292|32.0,0.0218432,1.84926,-10.3267,32.0|292,462
1,8|462|8|462|sample|7|292|7|292|32.0,0.0213599,1.84926,-13.7264,32.0|292,462
1,8|462|8|462|sample|8|292|8|292|32.0,0.0193547,1.84926,-25.6374,32.0|292,462
1,8|462|8|462|sample|11|292|11|292|22.0,0.251071,1.84926,-25.828,22.0|292,462
1,8|462|8|462|sample|12|292|12|292|22.0,0.303798,1.84926,-20.2438,22.0|292,462
1,8|462|8|462|cc|1|1|292|1|292|69.0,0.100876,1.84926,-28.6983,69.0|292,462
1,8|462|8|462|cc|2|1|292|1|292|69.0,0.0316861,1.84926,-6.40967,69.0|292,462
1,8|462|8|462|cc|3|1|292|1|292|69.0,0.153799,1.84926,-11.0488,69.0|292,462
1,8|462|8|462|cc|4|1|292|1|292|69.0,0.115983,1.84926,-39.7147,69.0|292,462
1,8|462|8|462|cc|5|1|292|1|292|69.0,0.13213,1.84926,-56.8413,69.0|292,462
1,8|462|8|462|cc|6|1|292|1|292|69.0,0.05458,1.84926,2.92596,69.0|292,462
1,8|462|8|462|cc|7|1|292|1|292|69.0,0.0509434,1.84926,-29.4144,69.0|292,462
1,8|462|8|462|cc|8|1|292|1|292|69.0,0.0474024,1.84926,-24.0281,69.0|292,462
1,8|462|8|462|vc|1|2|292|2|292|69.0,0.296982,1.84926,-23.5007,69.0|292,462
1,8|462|8|462|vc|2|2|292|2|292|69.0,0.106889,1.84926,-10.0869,69.0|292,462
1,8|462|8|462|vc|3|2|292|2|292|69.0,0.038329,1.84926,-3.22122,69.0|292,462
1,8|462|8|462|vc|4|2|292|2|292|69.0,0.0516965,1.84926,-29.2077,69.0|292,462
1,8|462|8|462|vc|5|2|292|2|292|69.0,0.0499354,1.84926,-36.6848,69.0|292,462
1,8|462|8|462|vc|6|2|292|2|292|69.0,0.0445243,1.84926,-5.77154,69.0|292,462
1,8|462|8|462|vc|7|2|292|2|292|69.0,0.0472308,1.84926,3.55249,69.0|292,462
1,8|462|8|462|vc|8|2|292|2|292|69.0,0.0237702,1.84926,-8.90192,69.0|292,462
1,8|1159|8|1159|sample|8|292|8|292|65.0,0.260403,1.73488,-16.3216,65.0|292,1159
