rep,id,L_gap,m,e,alpha,k,goes_down,mab_virus,run_id
1,14|783|14|783|vc|6|2|71|2|71|69.0,8.1533,1.71646,0.089879,0.0805433,0.00693808,False,69.0|71,783
1,14|783|14|783|vc|7|2|71|2|71|69.0,2.11512,1.71646,2.08542,0.0805433,0.00693808,False,69.0|71,783
1,14|783|14|783|vc|8|2|71|2|71|69.0,3.90051,1.71646,0.0468274,0.0805433,0.00693808,False,69.0|71,783
1,14|491|14|491|sample|10|99|10|99|6.0,2.18341,1.16479,0.00568965,0.0807849,0.00671924,True,6.0|99,491
1,14|491|14|491|sample|9|99|9|99|6.0,1.45191,1.16479,0.00533957,0.0807849,0.00671924,True,6.0|99,491
1,14|491|14|491|sample|12|99|12|99|6.0,5.58427,1.16479,0.0198156,0.0807849,0.00671924,True,6.0|99,491
1,14|491|14|491|sample|11|99|11|99|6.0,4.2639,1.16479,0.0353728,0.0807849,0.00671924,True,6.0|99,491
1,14|491|14|491|sample|4|99|4|99|44.0,-1.08894,1.71638,0.108684,0.0807849,0.00671924,True,44.0|99,491
1,14|491|14|491|sample|3|99|3|99|44.0,4.86707,1.71638,0.105159,0.0807849,0.00671924,True,44.0|99,491
1,14|491|14|491|sample|6|99|6|99|44.0,7.10662,1.71638,0.119722,0.0807849,0.00671924,True,44.0|99,491
1,14|491|14|491|sample|5|99|5|99|44.0,6.98062,1.71638,0.154779,0.0807849,0.00671924,True,44.0|99,491
1,14|491|14|491|sample|7|99|7|99|63.0,3.40816,1.71655,0.00441745,0.0807849,0.00671924,True,63.0|99,491
1,14|491|14|491|sample|8|99|8|99|63.0,4.41203,1.71655,0.0035935,0.0807849,0.00671924,True,63.0|99,491
1,14|491|14|491|cc|1|1|99|1|99|69.0,3.71847,1.71645,1.71802,0.0807849,0.00671924,False,69.0|99,491
1,14|491|14|491|cc|2|1|99|1|99|69.0,5.73443,1.71645,0.0917285,0.0807849,0.00671924,False,69.0|99,491
1,14|491|14|491|cc|3|1|99|1|99|69.0,11.1172,1.71645,0.0044497,0.0807849,0.00671924,False,69.0|99,491
1,14|491|14|491|cc|4|1|99|1|99|69.0,2.81099,1.71645,0.0153599,0.0807849,0.00671924,False,69.0|99,491
1,14|491|14|491|cc|5|1|99|1|99|69.0,5.46412,1.71645,0.247183,0.0807849,0.00671924,False,69.0|99,491
1,14|491|14|491|cc|6|1|99|1|99|69.0,3.11898,1.71645,0.000144215,0.0807849,0.00671924,False,69.0|99,491
1,14|491|14|491|cc|7|1|99|1|99|69.0,-0.988933,1.71645,6.60531,0.0807849,0.00671924,False,69.0|99,491
1,14|491|14|491|cc|8|1|99|1|99|69.0,6.8088,1.71645,1.59075,0.0807849,0.00671924,False,69.0|99,491
1,14|491|14|491|vc|1|2|99|2|99|69.0,8.53297,1.71645,1.09504,0.0807849,0.00671924,False,69.0|99,491
1,14|491|14|491|vc|2|2|99|2|99|69.0,9.81861,1.71645,0.428844,0.0807849,0.00671924,False,69.0|99,491
1,14|491|14|491|vc|3|2|99|2|99|69.0,3.84133,1.71645,0.054485,0.0807849,0.00671924,False,69.0|99,491
1,14|491|14|491|vc|4|2|99|2|99|69.0,3.1859,1.71645,0.301423,0.0807849,0.00671924,False,69.0|99,491
1,14|491|14|491|vc|5|2|99|2|99|69.0,7.2694,1.71645,0.277576,0.0807849,0.00671924,False,69.0|99,491
1,14|491|14|491|vc|6|2|99|2|99|69.0,-1.81602,1.71645,0.0902172,0.0807849,0.00671924,False,69.0|99,491
1,14|491|14|491|vc|7|2|99|2|99|69.0,4.1612,1.71645,0.0557736,0.0807849,0.00671924,False,69.0|99,491
1,14|491|14|491|vc|8|2|99|2|99|69.0,-2.11985,1.71645,0.532164,0.0807849,0.00671924,False,69.0|99,491
1,14|433|14|433|sample|4|99|4|99|6.0,5.11421,1.16479,0.0251916,0.0807165,0.00660313,True,6.0|99,433
