id,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_s_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_mode,eta_m_mode,eta_e_mode,eta_s_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
8|84|cc|1|1|162,0,0,2.46002e-07,0.0102534,0,0,0,0,1.26943e-11,6.71354e-08,0,0,False,69.0|162,84
8|84|cc|2|1|162,0,0,-2.6071e-07,-0.0349242,0,0,0,0,-2.12999e-11,4.49147e-09,0,0,False,69.0|162,84
8|84|cc|3|1|162,0,0,8.91119e-07,0.0651401,0,0,0,0,-2.74629e-11,3.07107e-07,0,0,False,69.0|162,84
8|84|cc|4|1|162,0,0,-3.40553e-07,0.0146515,0,0,0,0,-2.1009e-11,8.24143e-07,0,0,False,69.0|162,84
8|84|cc|5|1|162,0,0,2.89779e-09,-0.0227252,0,0,0,0,1.47837e-12,-4.26996e-07,0,0,False,69.0|162,84
8|84|cc|6|1|162,0,0,1.99998e-07,0.0162584,0,0,0,0,-4.18465e-12,1.69643e-07,0,0,False,69.0|162,84
8|84|cc|7|1|162,0,0,-1.70649e-07,-0.028489,0,0,0,0,3.52296e-12,-4.43461e-07,0,0,False,69.0|162,84
8|84|cc|8|1|162,0,0,-2.09865e-06,-0.00169792,0,0,0,0,-1.32672e-11,-4.35601e-07,0,0,False,69.0|162,84
8|84|sample|10|162,0,0,1.68963e-06,0.174493,0,0,0,0,1.056e-10,0.204915,0,0,True,32.0|162,84
8|84|sample|11|162,0,0,-7.99537e-07,0.0295961,0,0,0,0,-3.34488e-11,0.0406227,0,0,True,22.0|162,84
8|84|sample|12|162,0,0,-3.94737e-07,0.190914,0,0,0,0,1.72593e-10,0.212773,0,0,True,22.0|162,84
8|84|sample|3|162,0,0,-4.58592e-07,-0.395473,0,0,0,0,-1.92792e-10,-0.374786,0,0,True,55.0|162,84
8|84|sample|4|162,0,0,1.24749e-06,-0.324089,0,0,0,0,-1.01432e-10,-0.319941,0,0,True,55.0|162,84
8|84|sample|5|162,0,0,2.46565e-06,-0.756356,0,0,0,0,-1.98934e-10,-0.754478,0,0,True,55.0|162,84
8|84|sample|6|162,0,0,-9.53331e-07,-0.742411,0,0,0,0,-2.002e-10,-0.738298,0,0,True,55.0|162,84
8|84|sample|7|162,0,0,-1.90623e-06,0.0826293,0,0,0,0,6.49862e-11,0.0842004,0,0,True,32.0|162,84
8|84|sample|8|162,0,0,-6.64405e-07,0.129089,0,0,0,0,7.38467e-11,0.121153,0,0,True,32.0|162,84
8|84|sample|9|162,0,0,-1.14781e-06,0.181078,0,0,0,0,7.66542e-11,0.202022,0,0,True,32.0|162,84
8|84|vc|1|2|162,0,0,-1.0372e-06,-0.0347663,0,0,0,0,4.16778e-12,-1.66269e-07,0,0,False,69.0|162,84
8|84|vc|2|2|162,0,0,1.10318e-06,-0.0024199,0,0,0,0,2.0338e-11,-7.81599e-09,0,0,False,69.0|162,84
8|84|vc|3|2|162,0,0,-1.16858e-06,-0.00765534,0,0,0,0,6.31628e-12,-1.33343e-07,0,0,False,69.0|162,84
8|84|vc|4|2|162,0,0,9.00588e-07,-0.0380886,0,0,0,0,8.17568e-13,8.43179e-08,0,0,False,69.0|162,84
8|84|vc|5|2|162,0,0,1.01385e-06,0.0242216,0,0,0,0,1.13038e-11,-5.37002e-08,0,0,False,69.0|162,84
8|84|vc|6|2|162,0,0,-1.11054e-06,-0.0315077,0,0,0,0,-1.47127e-12,-2.75859e-07,0,0,False,69.0|162,84
8|84|vc|7|2|162,0,0,8.89651e-08,-0.00231015,0,0,0,0,3.96083e-12,4.70861e-07,0,0,False,69.0|162,84
