rep,id,eta_U,eta_L,eta_alpha,mean_cc
1,411,11.8881,182.675,2.75487,910.0
2,411,-0.888368,215.721,2.45877,910.0
3,411,4.33809,192.213,2.46552,910.0
4,411,-0.406864,181.646,2.68919,910.0
5,411,6.27073,210.646,2.60967,910.0
6,411,7.13567,174.396,2.6525,910.0
7,411,-16.6873,209.56,2.77465,910.0
8,411,-2.42743,168.776,2.6654,910.0
9,411,-11.487,216.173,2.64928,910.0
10,411,11.9144,221.264,2.53113,910.0
1,152,-19.8093,10.7803,2.01733,695.25
2,152,6.52694,-42.7896,2.04679,695.25
3,152,-6.9062,-10.2689,1.89245,695.25
4,152,-6.00269,-27.498,1.98103,695.25
5,152,4.94842,-8.69207,1.72312,695.25
6,152,1.27206,-3.59379,1.30363,695.25
7,152,11.486,57.7706,1.89859,695.25
8,152,10.51,-0.194972,1.91296,695.25
9,152,-17.187,-10.5459,0.842757,695.25
10,152,19.5539,-16.0248,-0.0362547,695.25
1,1056,-3.35934,2.95592,-0.930739,713.75
2,1056,-24.4533,11.8017,-1.32914,713.75
3,1056,-6.07016,14.7459,-2.90632,713.75
4,1056,-8.6354,2.76642,-2.41331,713.75
5,1056,16.2325,17.3487,-0.070007,713.75
6,1056,-7.69792,-7.33938,-3.46172,713.75
7,1056,-0.080127,13.7291,-0.521442,713.75
8,1056,5.99266,-2.66083,-1.7184,713.75
9,1056,-9.99273,-3.09761,0.431558,713.75
10,1056,-10.9251,9.41407,-1.22376,713.75
1,462,-13.7145,-32.9028,-0.0120537,643.5
2,462,17.4797,-62.667,-2.79862,643.5
3,462,12.4656,-58.7671,-0.944158,643.5
4,462,3.04871,-37.756,-4.26812,643.5
5,462,-15.8139,-89.0806,-0.511282,643.5
6,462,-6.84397,-51.4296,-1.21919,643.5
7,462,15.2458,-71.6592,0.0864477,643.5
8,462,2.0611,-64.0565,-4.47304,643.5
9,462,1.56168,-59.908,0.190209,643.5
10,462,-1.0801,-59.2547,-2.39597,643.5
1,1159,-1.08866,-66.0777,-1.03142,654.75
2,1159,-22.3959,-61.3256,-1.47977,654.75
3,1159,-7.60167,-44.9411,-2.11628,654.75
4,1159,7.75728,-17.8695,-1.89158,654.75
5,1159,7.17435,-36.2657,-0.519495,654.75
6,1159,-9.2836,-57.0466,-1.88857,654.75
7,1159,-5.54768,-41.527,0.0879265,654.75
8,1159,-14.2314,-71.7767,-2.75468,654.75
9,1159,7.33037,-33.3748,-4.04293,654.75
10,1159,-1.84486,-57.4755,-0.338444,654.75
1,1197,-4.7284,-52.518,1.19728,636.5
2,1197,-6.75123,-62.3466,1.55037,636.5
3,1197,-29.6544,-101.663,1.92472,636.5
4,1197,4.87004,-71.5686,-1.00574,636.5
5,1197,3.74,-73.6036,-2.63543,636.5
6,1197,13.2595,-89.7737,0.336115,636.5
7,1197,-1.69102,-95.2998,1.15329,636.5
8,1197,-12.7989,-76.0441,0.99904,636.5
9,1197,1.35162,-48.0549,0.550831,636.5
10,1197,5.88495,-97.9678,0.617411,636.5
