id,eta_U_offset_SAEM,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_offset_mode,eta_L_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
9|411|sample|4|274,-0.159571,-0.0646575,0,0,0,0,-0.0745569,-0.00192697,0,0,0,0,True,70.0|274,411
9|411|sample|3|274,-0.0765586,-0.143934,0,0,0,0,0.117748,-0.00447808,0,0,0,0,True,70.0|274,411
9|411|sample|5|274,-0.180629,-0.115595,0,0,0,0,-0.0987963,4.90995e-05,0,0,0,0,True,70.0|274,411
9|411|sample|6|274,-0.169509,-0.103867,0,0,0,0,-0.0869591,-0.00333335,0,0,0,0,True,70.0|274,411
9|411|sample|8|274,-0.123127,0.0909224,0,0,0,0,-0.0375584,-0.00365222,0,0,0,0,True,70.0|274,411
9|411|sample|7|274,-0.146736,-0.0752294,0,0,0,0,-0.0248199,-0.00383117,0,0,0,0,True,70.0|274,411
9|411|sample|9|274,-0.185031,0.221769,0,0,0,0,-0.0954746,-0.00117806,0,0,0,0,True,70.0|274,411
9|411|sample|10|274,-0.176975,0.091597,0,0,0,0,-0.107908,-0.000235423,0,0,0,0,True,70.0|274,411
9|411|sample|12|274,0.318567,-0.346367,0,0,0,0,0.337806,-0.00339403,0,0,0,0,True,70.0|274,411
9|411|sample|11|274,-0.126479,-0.000128283,0,0,0,0,-0.00563928,-0.00371577,0,0,0,0,True,70.0|274,411
9|411|cc|1|1|274,0.000429114,-0.0689259,0,0,0,0,2.82764e-08,-3.07889e-07,0,0,0,0,False,69.0|274,411
9|411|cc|2|1|274,-0.000640182,0.0922519,0,0,0,0,-4.43251e-08,1.91268e-07,0,0,0,0,False,69.0|274,411
9|411|cc|3|1|274,-0.0056677,0.131191,0,0,0,0,-3.3443e-08,2.9733e-07,0,0,0,0,False,69.0|274,411
9|411|cc|4|1|274,-0.00242459,0.066333,0,0,0,0,1.109e-07,9.24124e-08,0,0,0,0,False,69.0|274,411
9|411|cc|5|1|274,0.0173909,0.0512862,0,0,0,0,1.22836e-07,-2.2748e-07,0,0,0,0,False,69.0|274,411
9|411|cc|6|1|274,0.00397136,-0.00840361,0,0,0,0,1.20533e-07,-2.18814e-07,0,0,0,0,False,69.0|274,411
9|411|cc|7|1|274,0.0330072,0.0275034,0,0,0,0,3.83106e-08,-3.25423e-07,0,0,0,0,False,69.0|274,411
9|411|cc|8|1|274,-0.0192503,-0.239663,0,0,0,0,-1.0867e-07,1.31672e-07,0,0,0,0,False,69.0|274,411
9|411|vc|1|2|274,-0.0136843,0.0339935,0,0,0,0,0.00355061,-1.52654e-07,0,0,0,0,False,69.0|274,411
9|411|vc|2|2|274,-0.00819131,-0.0842358,0,0,0,0,0.00304169,3.23094e-07,0,0,0,0,False,69.0|274,411
9|411|vc|3|2|274,-0.0184003,-0.0713376,0,0,0,0,0.00214475,1.4445e-07,0,0,0,0,False,69.0|274,411
9|411|vc|4|2|274,-0.0315162,0.0951204,0,0,0,0,0.00282029,-1.5464e-07,0,0,0,0,False,69.0|274,411
9|411|vc|5|2|274,-0.00645027,0.0536809,0,0,0,0,0.00224752,-1.41629e-07,0,0,0,0,False,69.0|274,411
9|411|vc|6|2|274,-0.0323745,-0.144925,0,0,0,0,0.00297965,-2.23854e-07,0,0,0,0,False,69.0|274,411
9|411|vc|7|2|274,0.0321209,0.0127113,0,0,0,0,0.00348409,-3.76903e-07,0,0,0,0,False,69.0|274,411
9|411|vc|8|2|274,8.22305e-05,0.140261,0,0,0,0,0.00181443,1.5376e-08,0,0,0,0,False,69.0|274,411
14|783|sample|3|71,0.609674,-0.457355,0,0,0,0,0.607206,-3.95844e-05,0,0,0,0,True,6.0|71,783
14|783|sample|4|71,0.61576,0.343925,0,0,0,0,0.604699,-4.94975e-05,0,0,0,0,True,6.0|71,783
14|783|sample|5|71,0.592805,-0.0851368,0,0,0,0,0.582566,3.83064e-05,0,0,0,0,True,6.0|71,783
14|783|sample|6|71,0.587573,0.221255,0,0,0,0,0.58194,3.12126e-05,0,0,0,0,True,6.0|71,783
14|783|sample|7|71,0.145198,0.25914,0,0,0,0,0.310822,-0.00130928,0,0,0,0,True,6.0|71,783
14|783|sample|8|71,0.0764093,0.000638087,0,0,0,0,0.301223,-0.00106963,0,0,0,0,True,6.0|71,783
14|783|sample|10|71,0.603951,0.199113,0,0,0,0,0.606206,-4.15235e-05,0,0,0,0,True,6.0|71,783
14|783|sample|9|71,0.61429,0.056976,0,0,0,0,0.607993,-4.78477e-05,0,0,0,0,True,6.0|71,783
14|783|sample|12|71,-0.139692,0.0880665,0,0,0,0,-0.0720702,0.00236827,0,0,0,0,True,6.0|71,783
14|783|sample|11|71,0.254724,0.0974089,0,0,0,0,0.337431,-0.00111644,0,0,0,0,True,6.0|71,783
14|783|cc|1|1|71,-0.00163651,-0.0214524,0,0,0,0,-6.71506e-08,3.64946e-08,0,0,0,0,False,69.0|71,783
14|783|cc|2|1|71,0.0311751,0.0651154,0,0,0,0,-8.35914e-09,-2.34326e-07,0,0,0,0,False,69.0|71,783
14|783|cc|3|1|71,0.0262346,-0.153121,0,0,0,0,-5.1929e-08,-2.92965e-07,0,0,0,0,False,69.0|71,783
14|783|cc|4|1|71,0.00102228,-0.0565984,0,0,0,0,-1.21713e-07,-3.48216e-07,0,0,0,0,False,69.0|71,783
14|783|cc|5|1|71,0.00269058,-0.00661375,0,0,0,0,3.94746e-08,-1.47411e-07,0,0,0,0,False,69.0|71,783
14|783|cc|6|1|71,-0.0205804,-0.0846935,0,0,0,0,5.12265e-08,-2.3873e-07,0,0,0,0,False,69.0|71,783
14|783|cc|7|1|71,-0.0359939,-0.0980226,0,0,0,0,-1.84898e-08,-3.73212e-07,0,0,0,0,False,69.0|71,783
14|783|cc|8|1|71,-0.0391371,-0.0406874,0,0,0,0,8.81953e-09,-2.23012e-07,0,0,0,0,False,69.0|71,783
14|783|vc|1|2|71,0.00692456,0.0927841,0,0,0,0,0.00462845,-4.42795e-08,0,0,0,0,False,69.0|71,783
14|783|vc|2|2|71,0.0210503,0.0385764,0,0,0,0,0.00190684,9.69034e-08,0,0,0,0,False,69.0|71,783
14|783|vc|3|2|71,0.0350782,0.15612,0,0,0,0,0.00225659,-4.09542e-07,0,0,0,0,False,69.0|71,783
14|783|vc|4|2|71,-0.0226992,-0.0922119,0,0,0,0,0.00211605,2.2418e-07,0,0,0,0,False,69.0|71,783
14|783|vc|5|2|71,-0.0136889,-0.0822084,0,0,0,0,0.00302591,-2.1133e-07,0,0,0,0,False,69.0|71,783
14|783|vc|6|2|71,-0.0016693,-0.0905985,0,0,0,0,0.00279702,-6.8928e-08,0,0,0,0,False,69.0|71,783
14|783|vc|7|2|71,0.0051828,0.162949,0,0,0,0,0.00250992,1.48523e-07,0,0,0,0,False,69.0|71,783
14|783|vc|8|2|71,-0.0032068,0.00609846,0,0,0,0,-3.13324e-05,1.93371e-07,0,0,0,0,False,69.0|71,783
14|491|sample|10|99,-0.0256072,-0.0256683,0,0,0,0,0.24438,0.000521466,0,0,0,0,True,6.0|99,491
14|491|sample|9|99,0.0222093,-0.200564,0,0,0,0,0.262799,0.000443058,0,0,0,0,True,6.0|99,491
14|491|sample|12|99,-0.141494,-0.113167,0,0,0,0,-0.0639383,0.00170079,0,0,0,0,True,6.0|99,491
14|491|sample|11|99,-0.0255228,-0.130483,0,0,0,0,0.231668,0.000464536,0,0,0,0,True,6.0|99,491
14|491|sample|4|99,-0.0784787,0.123693,0,0,0,0,0.10355,0.000694285,0,0,0,0,True,44.0|99,491
14|491|sample|3|99,-0.0800943,-0.133884,0,0,0,0,0.0752236,0.000731693,0,0,0,0,True,44.0|99,491
14|491|sample|6|99,-0.0531744,-0.0169929,0,0,0,0,0.17248,0.000175853,0,0,0,0,True,44.0|99,491
14|491|sample|5|99,-0.0304698,-0.0162413,0,0,0,0,0.204324,0.000242903,0,0,0,0,True,44.0|99,491
14|491|sample|7|99,0.1488,0.00872711,0,0,0,0,0.303983,0.000177387,0,0,0,0,True,63.0|99,491
14|491|sample|8|99,0.0816986,0.180511,0,0,0,0,0.285297,0.000325927,0,0,0,0,True,63.0|99,491
14|491|cc|1|1|99,-0.00138783,-0.199629,0,0,0,0,3.07623e-08,2.93839e-07,0,0,0,0,False,69.0|99,491
14|491|cc|2|1|99,-0.022445,0.0629438,0,0,0,0,-1.56394e-08,2.19117e-07,0,0,0,0,False,69.0|99,491
14|491|cc|3|1|99,0.0315931,-0.0828593,0,0,0,0,-1.16007e-07,-1.10593e-07,0,0,0,0,False,69.0|99,491
14|491|cc|4|1|99,-0.00372407,0.121282,0,0,0,0,-5.70502e-09,-3.60779e-07,0,0,0,0,False,69.0|99,491
14|491|cc|5|1|99,0.00740129,-0.0238399,0,0,0,0,-7.90618e-09,-5.14508e-08,0,0,0,0,False,69.0|99,491
14|491|cc|6|1|99,-0.0200511,0.0809536,0,0,0,0,-2.85977e-08,9.07618e-08,0,0,0,0,False,69.0|99,491
14|491|cc|7|1|99,0.0459096,0.0876805,0,0,0,0,1.26439e-07,7.67751e-08,0,0,0,0,False,69.0|99,491
14|491|cc|8|1|99,0.0149289,-0.023737,0,0,0,0,5.39205e-08,4.54092e-07,0,0,0,0,False,69.0|99,491
14|491|vc|1|2|99,-0.0239769,0.0731887,0,0,0,0,-0.000614747,1.81141e-07,0,0,0,0,False,69.0|99,491
14|491|vc|2|2|99,-0.0288325,-0.00905607,0,0,0,0,0.00178063,2.92444e-07,0,0,0,0,False,69.0|99,491
14|491|vc|3|2|99,-0.00323154,0.0163993,0,0,0,0,0.00228578,-7.55449e-09,0,0,0,0,False,69.0|99,491
14|491|vc|4|2|99,-0.0156628,0.0018888,0,0,0,0,0.0027394,-4.3497e-07,0,0,0,0,False,69.0|99,491
14|491|vc|5|2|99,-0.0211939,0.153033,0,0,0,0,0.00376084,-1.00241e-07,0,0,0,0,False,69.0|99,491
14|491|vc|6|2|99,-0.0174487,-0.0829457,0,0,0,0,0.00263103,-6.9259e-08,0,0,0,0,False,69.0|99,491
14|491|vc|7|2|99,0.00147437,0.00600437,0,0,0,0,0.00326508,-4.0284e-07,0,0,0,0,False,69.0|99,491
14|491|vc|8|2|99,0.00788162,-0.0236328,0,0,0,0,-0.000574206,-2.55404e-07,0,0,0,0,False,69.0|99,491
14|433|sample|4|99,0.363791,0.021363,0,0,0,0,0.364246,-0.00189797,0,0,0,0,True,6.0|99,433
14|433|sample|3|99,0.185208,-0.0238258,0,0,0,0,0.343868,-0.00194947,0,0,0,0,True,6.0|99,433
14|433|sample|6|99,-0.151522,0.163917,0,0,0,0,-0.0871821,0.00162216,0,0,0,0,True,6.0|99,433
14|433|sample|5|99,-0.15051,0.0328703,0,0,0,0,-0.0663585,0.000868002,0,0,0,0,True,6.0|99,433
14|433|sample|8|99,0.172962,-0.0122777,0,0,0,0,0.337121,-0.00199217,0,0,0,0,True,6.0|99,433
14|433|sample|7|99,0.145369,-0.0261313,0,0,0,0,0.334338,-0.0017664,0,0,0,0,True,6.0|99,433
14|433|sample|10|99,0.019959,0.050735,0,0,0,0,0.281267,-0.00407259,0,0,0,0,True,6.0|99,433
14|433|sample|9|99,0.0287289,0.0514358,0,0,0,0,0.284047,-0.00410758,0,0,0,0,True,6.0|99,433
14|433|sample|11|99,-0.129167,0.059302,0,0,0,0,-0.0130305,-0.00262419,0,0,0,0,True,6.0|99,433
14|433|sample|12|99,0.0503221,0.0233065,0,0,0,0,0.237561,-0.00360478,0,0,0,0,True,6.0|99,433
14|433|cc|1|1|99,-0.0220896,-0.0882143,0,0,0,0,-9.32057e-08,-3.77159e-08,0,0,0,0,False,69.0|99,433
14|433|cc|2|1|99,0.00629381,0.126684,0,0,0,0,5.27733e-09,-3.13824e-07,0,0,0,0,False,69.0|99,433
14|433|cc|3|1|99,0.029746,0.0690186,0,0,0,0,-1.16089e-07,2.41635e-07,0,0,0,0,False,69.0|99,433
14|433|cc|4|1|99,0.0266959,0.122019,0,0,0,0,-5.2773e-08,-1.64174e-07,0,0,0,0,False,69.0|99,433
14|433|cc|5|1|99,-0.00333041,-0.0419243,0,0,0,0,3.14117e-08,1.30893e-07,0,0,0,0,False,69.0|99,433
14|433|cc|6|1|99,-0.00115425,-0.0884151,0,0,0,0,7.06502e-08,-2.7855e-08,0,0,0,0,False,69.0|99,433
14|433|cc|7|1|99,0.00550515,0.0107136,0,0,0,0,-8.34638e-08,-1.55731e-07,0,0,0,0,False,69.0|99,433
14|433|cc|8|1|99,0.00659729,0.0274341,0,0,0,0,6.80017e-08,1.35578e-07,0,0,0,0,False,69.0|99,433
14|433|vc|1|2|99,-0.0410648,0.0873303,0,0,0,0,-0.00127549,4.71792e-08,0,0,0,0,False,69.0|99,433
14|433|vc|2|2|99,0.0146061,0.223522,0,0,0,0,0.0020883,-4.79631e-07,0,0,0,0,False,69.0|99,433
14|433|vc|3|2|99,-0.0307312,0.0796556,0,0,0,0,0.000879698,2.72311e-07,0,0,0,0,False,69.0|99,433
14|433|vc|4|2|99,-0.0162905,0.100328,0,0,0,0,0.00173675,-1.25597e-07,0,0,0,0,False,69.0|99,433
14|433|vc|5|2|99,-0.0400239,0.0207386,0,0,0,0,0.00146602,2.2394e-07,0,0,0,0,False,69.0|99,433
14|433|vc|6|2|99,0.00587726,-0.0694962,0,0,0,0,0.00110625,-3.01027e-07,0,0,0,0,False,69.0|99,433
14|433|vc|7|2|99,-0.0672808,0.127852,0,0,0,0,0.00265097,1.32093e-07,0,0,0,0,False,69.0|99,433
14|433|vc|8|2|99,-0.0148477,-0.103998,0,0,0,0,-0.0037926,2.89569e-07,0,0,0,0,False,69.0|99,433
14|297|sample|3|71,-0.0708377,0.109339,0,0,0,0,0.0151012,0.000225447,0,0,0,0,True,6.0|71,297
14|297|sample|4|71,-0.119912,-0.14085,0,0,0,0,0.000824052,0.000241321,0,0,0,0,True,6.0|71,297
14|297|sample|5|71,0.0128564,-0.0732562,0,0,0,0,0.292879,0.000121591,0,0,0,0,True,6.0|71,297
14|297|sample|6|71,-0.0261954,0.0665132,0,0,0,0,0.2915,0.000154408,0,0,0,0,True,6.0|71,297
14|297|sample|8|71,-0.0200076,0.11861,0,0,0,0,0.192531,0.000443582,0,0,0,0,True,6.0|71,297
14|297|sample|7|71,-0.0210827,0.0695572,0,0,0,0,0.162942,0.000418907,0,0,0,0,True,6.0|71,297
14|297|sample|9|71,-0.00238465,-0.034843,0,0,0,0,0.266423,0.000296017,0,0,0,0,True,6.0|71,297
14|297|sample|10|71,0.000237453,-0.099133,0,0,0,0,0.278853,0.000235362,0,0,0,0,True,6.0|71,297
14|297|sample|12|71,0.350111,0.320109,0,0,0,0,0.359716,-0.000939534,0,0,0,0,True,6.0|71,297
14|297|sample|11|71,-0.20986,0.0618546,0,0,0,0,-0.128662,0.00208291,0,0,0,0,True,6.0|71,297
14|297|cc|1|1|71,0.00307692,0.0876593,0,0,0,0,-1.75089e-08,1.90589e-07,0,0,0,0,False,69.0|71,297
14|297|cc|2|1|71,2.038e-05,0.178121,0,0,0,0,9.87381e-08,-1.08465e-07,0,0,0,0,False,69.0|71,297
14|297|cc|3|1|71,-0.00091401,-0.0327236,0,0,0,0,1.00546e-08,2.472e-07,0,0,0,0,False,69.0|71,297
14|297|cc|4|1|71,0.0113709,-0.306493,0,0,0,0,-1.7449e-08,3.87288e-07,0,0,0,0,False,69.0|71,297
14|297|cc|5|1|71,-0.0262796,-0.0930758,0,0,0,0,-2.58697e-08,5.11472e-07,0,0,0,0,False,69.0|71,297
14|297|cc|6|1|71,-0.00422043,0.0676606,0,0,0,0,7.5508e-08,-3.2553e-07,0,0,0,0,False,69.0|71,297
14|297|cc|7|1|71,-0.0160336,0.0897406,0,0,0,0,-2.8139e-08,1.94379e-07,0,0,0,0,False,69.0|71,297
14|297|cc|8|1|71,-0.00950223,0.0833069,0,0,0,0,-1.35086e-07,-2.27245e-07,0,0,0,0,False,69.0|71,297
14|297|vc|1|2|71,-0.0143811,0.115306,0,0,0,0,-0.00211341,-2.87674e-07,0,0,0,0,False,69.0|71,297
14|297|vc|2|2|71,0.0458967,0.0345692,0,0,0,0,0.00242755,-1.40436e-07,0,0,0,0,False,69.0|71,297
14|297|vc|3|2|71,-0.00411908,-0.129628,0,0,0,0,0.00124203,-2.67928e-07,0,0,0,0,False,69.0|71,297
14|297|vc|4|2|71,-0.0183613,0.0765395,0,0,0,0,0.00134637,-3.6476e-07,0,0,0,0,False,69.0|71,297
14|297|vc|5|2|71,0.00579459,-0.029547,0,0,0,0,0.00191253,1.2985e-07,0,0,0,0,False,69.0|71,297
14|297|vc|6|2|71,0.0107918,-0.0887317,0,0,0,0,0.0012324,2.56996e-07,0,0,0,0,False,69.0|71,297
14|297|vc|7|2|71,0.00973328,0.0354962,0,0,0,0,0.00191257,-1.05677e-07,0,0,0,0,False,69.0|71,297
14|297|vc|8|2|71,-0.0366212,0.292836,0,0,0,0,-0.00192656,1.79826e-08,0,0,0,0,False,69.0|71,297
14|183|sample|4|233,-0.215743,0.155286,0,0,0,0,-0.113299,-0.00137554,0,0,0,0,True,6.0|233,183
14|183|sample|3|233,-0.206538,-0.245653,0,0,0,0,-0.0912283,-0.0023039,0,0,0,0,True,6.0|233,183
14|183|sample|6|233,-0.16062,-0.183107,0,0,0,0,-0.0663639,-0.00148586,0,0,0,0,True,6.0|233,183
14|183|sample|5|233,-0.177178,-0.00885091,0,0,0,0,-0.0472872,-0.00149852,0,0,0,0,True,6.0|233,183
14|183|sample|7|233,-0.222544,0.0106854,0,0,0,0,-0.145575,-0.000344449,0,0,0,0,True,6.0|233,183
14|183|sample|8|233,-0.229282,-0.0134505,0,0,0,0,-0.136792,-0.000805737,0,0,0,0,True,6.0|233,183
14|183|sample|10|233,-0.107361,0.272209,0,0,0,0,0.00349996,-0.00165512,0,0,0,0,True,6.0|233,183
14|183|sample|9|233,-0.165378,-0.0150875,0,0,0,0,-0.0496778,-0.00162825,0,0,0,0,True,6.0|233,183
14|183|sample|12|233,-0.122316,-0.0911672,0,0,0,0,-0.00772687,0.00030427,0,0,0,0,True,6.0|233,183
