id,importanceSampling
411|4,132.199880
411|3,146.908764
411|5,126.471260
411|6,162.199839
411|8,135.316441
411|7,104.277387
411|9,120.452354
411|10,161.512643
411|12,135.908785
411|11,132.655817
411|1,83.022883
411|2,147.571275
152|8,142.873857
152|7,142.774602
152|6,149.049418
152|5,148.095047
152|12,139.227254
152|11,136.337263
152|10,110.081824
152|9,146.088111
152|3,112.588302
152|4,143.712103
152|1,45.957290
152|2,152.033293
1056|8,140.080047
1056|7,141.582407
1056|6,145.082575
1056|5,145.595981
1056|12,155.787307
1056|11,146.428465
1056|10,145.822733
1056|9,151.404540
1056|4,109.972077
1056|3,139.565203
1056|1,77.193495
1056|2,131.440129
462|6,164.486025
462|5,165.319420
462|4,170.506571
462|3,169.673492
462|9,138.956332
462|10,142.373506
462|7,151.115074
462|8,149.827699
462|11,129.620889
462|12,167.909840
462|1,58.494199
462|2,161.586574
1159|8,152.931555
1159|7,154.340980
1159|5,158.620141
1159|6,157.910393
1159|11,152.580911
1159|12,164.239047
1159|9,155.123500
1159|10,156.780317
1159|4,149.636700
1159|3,147.629378
1159|1,81.545381
1159|2,159.624988
1197|7,131.885310
1197|8,98.961095
1197|6,138.055965
1197|5,137.358450
1197|12,134.054263
1197|10,142.407552
1197|9,139.583771
1197|3,130.223242
1197|4,131.359674
1197|11,136.202168
1197|1,81.328062
1197|2,94.876235
