id,importanceSampling
411|4,133.634072
411|3,144.247271
411|5,159.216547
411|6,162.646948
411|8,135.587755
411|7,136.853071
411|9,154.968406
411|10,161.532812
411|12,135.973983
411|11,133.343564
411|1,344.655381
411|2,115.740664
152|8,143.996251
152|7,143.912224
152|6,150.762161
152|5,149.729041
152|12,139.691012
152|11,137.428097
152|10,143.688535
152|9,113.752887
152|3,145.588517
152|4,145.248209
152|1,306.976495
152|2,151.553567
1056|8,140.810879
1056|7,142.537418
1056|6,146.821321
1056|5,147.118492
1056|12,151.393535
1056|11,144.547456
1056|10,146.183486
1056|9,117.431348
1056|4,146.595684
1056|3,140.668536
1056|1,340.940957
1056|2,130.034163
462|6,166.254628
462|5,167.123185
462|4,172.537697
462|3,171.680877
462|9,138.731536
462|10,141.526115
462|7,151.091302
462|8,150.153033
462|11,161.039880
462|12,168.526256
462|1,339.062103
462|2,161.577994
1159|8,152.031141
1159|7,153.347426
1159|5,158.591059
1159|6,158.074621
1159|11,149.879051
1159|12,159.560153
1159|9,154.090886
1159|10,155.391234
1159|4,150.464260
1159|3,115.222695
1159|1,339.303242
1159|2,158.520678
1197|7,98.467007
1197|8,99.157415
1197|6,138.441584
1197|5,138.024814
1197|12,133.944165
1197|10,141.573833
1197|9,139.120216
1197|3,179.632960
1197|4,183.809260
1197|11,134.909642
1197|1,339.321975
1197|2,159.292297
