id,eta_U_offset_SAEM,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_offset_mode,eta_L_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
14|783|cc|4|1|71,-0.000518133,-0.020264,6.69811e-08,0,0,0,7.97027e-08,-9.00611e-07,2.26863e-12,0,0,0,False,69.0|71,783
14|783|cc|5|1|71,-0.00117865,-0.0218125,-1.74926e-07,0,0,0,5.24428e-08,-6.18736e-07,-1.73861e-12,0,0,0,False,69.0|71,783
14|783|cc|6|1|71,0.000124646,0.0108244,-6.38576e-08,0,0,0,1.26186e-07,-9.52142e-08,-2.2935e-12,0,0,0,False,69.0|71,783
14|783|cc|7|1|71,0.00444212,0.00248464,2.2386e-07,0,0,0,-4.87973e-08,-2.75892e-07,-4.92162e-12,0,0,0,False,69.0|71,783
14|783|cc|8|1|71,-0.0119665,-0.00310667,-1.6635e-07,0,0,0,2.11893e-07,-2.43938e-07,2.52598e-12,0,0,0,False,69.0|71,783
14|783|vc|1|2|71,-0.00887413,0.022665,1.36625e-07,0,0,0,-0.00169325,8.67477e-07,2.0669e-11,0,0,0,False,69.0|71,783
14|783|vc|2|2|71,-0.0100207,-0.0101191,1.22682e-07,0,0,0,-0.00130222,1.18089e-08,-5.49449e-12,0,0,0,False,69.0|71,783
14|783|vc|3|2|71,-0.00545715,0.00246555,-3.39485e-07,0,0,0,-0.00112724,-1.73618e-08,5.46962e-12,0,0,0,False,69.0|71,783
14|783|vc|4|2|71,-0.00526564,-0.00514645,1.22039e-07,0,0,0,0.00791764,4.67333e-07,-5.23093e-12,0,0,0,False,69.0|71,783
14|783|vc|5|2|71,-0.010555,0.013718,-6.16797e-08,0,0,0,-0.000695091,-2.56411e-07,-1.14253e-12,0,0,0,False,69.0|71,783
14|783|vc|6|2|71,-0.00666559,0.00288001,-1.26409e-07,0,0,0,-0.000831877,-1.10798e-08,-5.70766e-13,0,0,0,False,69.0|71,783
14|783|vc|7|2|71,-0.00595859,0.00923748,2.22107e-07,0,0,0,-0.000993021,-1.44172e-08,4.90386e-13,0,0,0,False,69.0|71,783
14|783|vc|8|2|71,-0.00842904,-0.0170145,-1.83193e-07,0,0,0,-0.000836898,-7.17577e-07,2.01448e-11,0,0,0,False,69.0|71,783
14|491|sample|10|99,0.00179495,0.0218239,3.21739e-07,0,0,0,0.00180814,0.000126412,-4.45375e-10,0,0,0,True,6.0|99,491
14|491|sample|9|99,0.00210673,0.00506754,1.40533e-07,0,0,0,0.00180813,-0.00278551,3.12032e-07,0,0,0,True,6.0|99,491
14|491|sample|12|99,0.00204127,0.0153977,6.6424e-07,0,0,0,0.00180104,4.29118e-05,1.63234e-11,0,0,0,True,6.0|99,491
14|491|sample|11|99,0.00112985,0.023218,5.32291e-08,0,0,0,0.00186486,0.000262302,1.12437e-10,0,0,0,True,6.0|99,491
14|491|sample|4|99,0.00350858,-0.0115111,1.0833e-07,0,0,0,0.00443921,-0.000203637,-7.21337e-11,0,0,0,True,44.0|99,491
14|491|sample|3|99,0.0030346,0.00356034,-1.87486e-07,0,0,0,0.00447635,-0.00018906,-6.49266e-11,0,0,0,True,44.0|99,491
14|491|sample|6|99,0.00295898,0.00528384,5.02848e-09,0,0,0,0.00350502,-0.000124682,-3.3107e-11,0,0,0,True,44.0|99,491
14|491|sample|5|99,0.00226679,0.0316008,2.58444e-07,0,0,0,0.00336723,-0.000128097,-4.46307e-11,0,0,0,True,44.0|99,491
14|491|sample|7|99,-0.00243792,0.0236782,5.63518e-07,0,0,0,-0.00149589,0.0466641,5.97809e-07,0,0,0,True,63.0|99,491
14|491|sample|8|99,-0.00172137,-0.00317341,1.14368e-07,0,0,0,-0.00196516,0.000848302,-7.36069e-11,0,0,0,True,63.0|99,491
14|491|cc|1|1|99,-0.00260087,-0.0208633,1.04605e-07,0,0,0,-5.46461e-08,-5.52059e-08,-8.64953e-12,0,0,0,False,69.0|99,491
14|491|cc|2|1|99,-0.00391172,0.0112723,2.42795e-07,0,0,0,-8.80788e-08,-1.31316e-07,-5.39346e-12,0,0,0,False,69.0|99,491
14|491|cc|3|1|99,0.00487707,-0.000655185,-1.07196e-08,0,0,0,-3.53609e-08,-2.96371e-07,-6.69242e-13,0,0,0,False,69.0|99,491
14|491|cc|4|1|99,0.0100672,-0.00283965,3.82888e-07,0,0,0,-1.58176e-07,-3.72515e-07,5.79226e-12,0,0,0,False,69.0|99,491
14|491|cc|5|1|99,0.00163078,0.0090588,5.84405e-08,0,0,0,-1.2223e-07,1.54202e-07,-2.62546e-12,0,0,0,False,69.0|99,491
14|491|cc|6|1|99,0.00157306,0.0104381,1.12465e-07,0,0,0,-1.40647e-07,3.16566e-07,9.92095e-13,0,0,0,False,69.0|99,491
14|491|cc|7|1|99,-0.00435031,6.03041e-05,-1.49881e-07,0,0,0,-1.63987e-08,-4.90529e-07,3.61489e-12,0,0,0,False,69.0|99,491
14|491|cc|8|1|99,0.00611153,0.00234125,-1.02417e-07,0,0,0,-9.08699e-08,3.11779e-07,5.1612e-12,0,0,0,False,69.0|99,491
14|491|vc|1|2|99,-0.027046,-0.00406213,-6.85404e-08,0,0,0,-0.0255987,3.08326e-07,5.01532e-12,0,0,0,False,69.0|99,491
14|491|vc|2|2|99,-0.0330882,-0.00949867,-2.11616e-07,0,0,0,-0.0263943,2.42328e-07,6.25233e-12,0,0,0,False,69.0|99,491
14|491|vc|3|2|99,-0.0253404,0.0020337,1.29586e-07,0,0,0,-0.0262166,-8.90033e-07,-9.84635e-12,0,0,0,False,69.0|99,491
14|491|vc|4|2|99,-0.0240406,-0.0200796,1.92675e-07,0,0,0,-0.026048,2.71767e-07,7.8082e-12,0,0,0,False,69.0|99,491
14|491|vc|5|2|99,-0.0264731,0.00781295,-2.58579e-07,0,0,0,-0.0256259,-1.00568e-07,1.35003e-13,0,0,0,False,69.0|99,491
14|491|vc|6|2|99,-0.0229,-0.0069575,-6.32134e-08,0,0,0,-0.0166738,-2.36795e-07,5.73319e-13,0,0,0,False,69.0|99,491
14|491|vc|7|2|99,-0.0253171,-0.0368339,-2.08974e-07,0,0,0,-0.0258393,-2.09952e-07,5.37792e-13,0,0,0,False,69.0|99,491
14|491|vc|8|2|99,-0.0268071,-0.00345391,-4.59237e-09,0,0,0,-0.0256061,3.86789e-07,-3.054e-12,0,0,0,False,69.0|99,491
14|433|sample|4|99,0.0260845,0.046993,-3.08058e-07,0,0,0,0.0260011,-0.000145239,-4.6282e-11,0,0,0,True,6.0|99,433
14|433|sample|3|99,0.0269612,0.0542803,-1.04026e-07,0,0,0,0.0272946,-0.000216072,-9.88494e-11,0,0,0,True,6.0|99,433
14|433|sample|6|99,0.0284944,0.00895669,-1.24131e-07,0,0,0,0.0291956,0.000129618,8.76972e-11,0,0,0,True,6.0|99,433
14|433|sample|5|99,0.0281694,-0.0134089,1.17948e-07,0,0,0,0.0291438,-2.692e-05,-1.00748e-11,0,0,0,True,6.0|99,433
14|433|sample|8|99,0.027465,-0.0153764,-2.93114e-07,0,0,0,0.0273109,-0.000167931,-1.08393e-10,0,0,0,True,6.0|99,433
14|433|sample|7|99,0.0270354,-0.0113543,-3.09405e-07,0,0,0,0.0273109,0.00102296,5.40716e-10,0,0,0,True,6.0|99,433
14|433|sample|10|99,0.0282154,-0.0530045,-1.90038e-07,0,0,0,0.027333,4.17799e-05,3.58987e-11,0,0,0,True,6.0|99,433
14|433|sample|9|99,0.0280171,0.00289599,5.22778e-09,0,0,0,0.0274005,3.73919e-05,4.25472e-11,0,0,0,True,6.0|99,433
14|433|sample|11|99,0.0292762,-0.0122771,2.26848e-07,0,0,0,0.0292594,-8.60996e-05,-4.8348e-11,0,0,0,True,6.0|99,433
14|433|sample|12|99,0.0287067,-0.0100143,9.91503e-07,0,0,0,0.0279566,-6.39496e-05,-1.8592e-11,0,0,0,True,6.0|99,433
14|433|cc|1|1|99,-0.00275489,-0.00400526,1.59579e-07,0,0,0,-3.45862e-07,1.44047e-07,5.64304e-12,0,0,0,False,69.0|99,433
14|433|cc|2|1|99,-0.000886128,0.00949969,-4.44227e-07,0,0,0,-1.20035e-07,6.01959e-07,5.38591e-12,0,0,0,False,69.0|99,433
