rep,id,eta_f,eta_h,eta_s,eta_L_gap,mab_virus,run_id
1,8|462|8|462|vc|3|2|292|2|292|69.0,-0.449022,3.35462e-08,-1.3685e-08,-0.808874,69.0|292,462
1,8|462|8|462|vc|4|2|292|2|292|69.0,0.103808,3.03602e-08,-1.81533e-08,-1.27674,69.0|292,462
1,8|462|8|462|vc|5|2|292|2|292|69.0,-0.266943,9.51792e-09,-1.23764e-07,-0.415619,69.0|292,462
1,8|462|8|462|vc|6|2|292|2|292|69.0,-1.43233,3.63706e-08,1.32728e-07,0.184169,69.0|292,462
1,8|462|8|462|vc|7|2|292|2|292|69.0,-0.497483,1.06642e-08,-1.48986e-09,2.81287,69.0|292,462
1,8|462|8|462|vc|8|2|292|2|292|69.0,0.856784,-1.92761e-08,2.8793e-08,1.30076,69.0|292,462
1,8|1159|8|1159|sample|8|292|8|292|65.0,2.47315,2.73488e-08,7.84602e-08,-2.01703,65.0|292,1159
1,8|1159|8|1159|sample|7|292|7|292|65.0,2.54917,-4.94028e-08,1.81354e-07,-0.462799,65.0|292,1159
1,8|1159|8|1159|sample|5|292|5|292|65.0,2.52305,7.29752e-09,-9.10441e-08,-1.83612,65.0|292,1159
1,8|1159|8|1159|sample|6|292|6|292|65.0,2.43926,-1.92084e-08,8.55833e-08,1.69424,65.0|292,1159
1,8|1159|8|1159|sample|11|292|11|292|28.0,0.0152422,-1.5855e-08,-9.61191e-08,-0.366891,28.0|292,1159
1,8|1159|8|1159|sample|12|292|12|292|28.0,-0.244649,-2.26337e-08,-1.45034e-07,0.00637708,28.0|292,1159
1,8|1159|8|1159|sample|9|292|9|292|28.0,0.448178,-1.60127e-08,-1.1606e-07,1.00232,28.0|292,1159
1,8|1159|8|1159|sample|10|292|10|292|28.0,0.503709,-3.43715e-08,-6.34578e-08,-1.51839,28.0|292,1159
1,8|1159|8|1159|sample|4|292|4|292|22.0,0.533881,-6.28429e-08,1.97371e-08,-1.23737,22.0|292,1159
1,8|1159|8|1159|sample|3|292|3|292|22.0,0.423032,-2.96424e-08,5.7544e-08,-3.42982,22.0|292,1159
1,8|1159|8|1159|cc|1|1|292|1|292|69.0,0.17755,-2.43047e-08,-1.11347e-07,0.168318,69.0|292,1159
1,8|1159|8|1159|cc|2|1|292|1|292|69.0,0.868357,1.81e-08,9.06315e-08,-1.22627,69.0|292,1159
1,8|1159|8|1159|cc|3|1|292|1|292|69.0,-0.611439,3.78023e-08,-1.26753e-07,-4.01594,69.0|292,1159
1,8|1159|8|1159|cc|4|1|292|1|292|69.0,-3.06661,-5.20931e-08,1.74823e-07,-1.54101,69.0|292,1159
1,8|1159|8|1159|cc|5|1|292|1|292|69.0,2.04225,3.26015e-08,1.40414e-07,-0.319703,69.0|292,1159
1,8|1159|8|1159|cc|6|1|292|1|292|69.0,0.735238,-5.06055e-08,1.41142e-07,0.0249288,69.0|292,1159
1,8|1159|8|1159|cc|7|1|292|1|292|69.0,0.659143,-4.06303e-08,-2.27497e-08,1.72191,69.0|292,1159
1,8|1159|8|1159|cc|8|1|292|1|292|69.0,1.05016,3.16458e-09,-6.37649e-08,0.47132,69.0|292,1159
1,8|1159|8|1159|vc|1|2|292|2|292|69.0,1.29189,-3.46211e-08,-1.06506e-07,0.523023,69.0|292,1159
1,8|1159|8|1159|vc|2|2|292|2|292|69.0,-0.323344,-3.17679e-08,-1.22213e-07,-2.55966,69.0|292,1159
1,8|1159|8|1159|vc|3|2|292|2|292|69.0,0.640408,-3.94839e-10,1.26477e-07,-2.59317,69.0|292,1159
1,8|1159|8|1159|vc|4|2|292|2|292|69.0,-0.694138,-1.33271e-09,6.49916e-09,0.193689,69.0|292,1159
1,8|1159|8|1159|vc|5|2|292|2|292|69.0,2.88768,-1.54722e-08,-1.35491e-08,-2.76486,69.0|292,1159
1,8|1159|8|1159|vc|6|2|292|2|292|69.0,1.22788,-5.75019e-09,-7.51267e-08,3.17169,69.0|292,1159
1,8|1159|8|1159|vc|7|2|292|2|292|69.0,0.0868645,1.05187e-07,-1.20802e-09,2.54027,69.0|292,1159
1,8|1159|8|1159|vc|8|2|292|2|292|69.0,-0.278955,-8.57165e-09,-4.52003e-08,-0.456625,69.0|292,1159
1,8|1197|8|1197|sample|7|103|7|103|65.0,-0.80584,-5.42647e-08,1.62468e-07,-0.576367,65.0|103,1197
1,8|1197|8|1197|sample|8|103|8|103|65.0,-0.770173,1.24187e-08,4.27989e-08,-1.16415,65.0|103,1197
1,8|1197|8|1197|sample|6|103|6|103|65.0,-0.824189,-3.9008e-09,1.07063e-07,-1.07482,65.0|103,1197
1,8|1197|8|1197|sample|5|103|5|103|65.0,-0.828138,-5.66575e-09,-1.23512e-07,1.15146,65.0|103,1197
1,8|1197|8|1197|sample|12|103|12|103|28.0,-0.484473,3.61519e-08,4.69767e-08,1.30441,28.0|103,1197
1,8|1197|8|1197|sample|10|103|10|103|28.0,-0.35632,-4.86701e-08,-1.2611e-07,-0.727822,28.0|103,1197
1,8|1197|8|1197|sample|9|103|9|103|28.0,-0.186064,3.07177e-08,9.86698e-08,1.11645,28.0|103,1197
1,8|1197|8|1197|sample|3|103|3|103|22.0,-0.444839,2.45722e-08,6.71804e-09,-3.74328,22.0|103,1197
1,8|1197|8|1197|sample|4|103|4|103|22.0,-0.5553,3.95404e-08,-7.78612e-08,0.29834,22.0|103,1197
1,8|1197|8|1197|sample|11|103|11|103|28.0,-0.497311,-7.25279e-08,4.22e-08,-1.67242,28.0|103,1197
1,8|1197|8|1197|cc|1|1|103|1|103|69.0,-0.443237,-1.20299e-09,7.17718e-08,0.612453,69.0|103,1197
1,8|1197|8|1197|cc|2|1|103|1|103|69.0,-0.766773,4.68831e-08,4.23994e-08,-2.62384,69.0|103,1197
1,8|1197|8|1197|cc|3|1|103|1|103|69.0,0.960468,2.45634e-08,-1.32566e-07,2.31361,69.0|103,1197
1,8|1197|8|1197|cc|4|1|103|1|103|69.0,-0.0266902,-1.80876e-08,3.27114e-08,0.917728,69.0|103,1197
1,8|1197|8|1197|cc|5|1|103|1|103|69.0,0.521882,3.01438e-08,1.41718e-08,-0.257997,69.0|103,1197
1,8|1197|8|1197|cc|6|1|103|1|103|69.0,0.591456,-1.35947e-08,5.15505e-08,-3.41105,69.0|103,1197
1,8|1197|8|1197|cc|7|1|103|1|103|69.0,-0.700932,1.0492e-07,3.69059e-08,0.581634,69.0|103,1197
1,8|1197|8|1197|cc|8|1|103|1|103|69.0,0.016053,3.29433e-08,1.37263e-07,-0.240958,69.0|103,1197
1,8|1197|8|1197|vc|1|2|103|2|103|69.0,2.07432,5.76149e-08,8.12803e-08,1.83281,69.0|103,1197
1,8|1197|8|1197|vc|2|2|103|2|103|69.0,-1.07675,-9.778e-09,6.28561e-08,-0.109649,69.0|103,1197
1,8|1197|8|1197|vc|3|2|103|2|103|69.0,0.499419,4.51263e-08,-4.06537e-08,-2.08758,69.0|103,1197
1,8|1197|8|1197|vc|4|2|103|2|103|69.0,-1.04281,4.03585e-08,5.76814e-08,0.855174,69.0|103,1197
1,8|1197|8|1197|vc|5|2|103|2|103|69.0,1.05535,-1.11579e-08,1.36396e-07,0.851654,69.0|103,1197
1,8|1197|8|1197|vc|6|2|103|2|103|69.0,-0.68753,-1.56841e-08,5.87365e-08,1.35107,69.0|103,1197
1,8|1197|8|1197|vc|7|2|103|2|103|69.0,-0.0673199,-7.31069e-08,7.8966e-08,0.391286,69.0|103,1197
1,8|1197|8|1197|vc|8|2|103|2|103|69.0,2.04076,1.09372e-07,-3.2269e-08,-0.865458,69.0|103,1197
