id,importanceSampling
411|4,132.213863
411|3,146.663064
411|5,158.342819
411|6,162.308974
411|8,135.342721
411|7,137.080689
411|9,153.237366
411|10,161.418185
411|12,135.971339
411|11,132.565624
411|1,344.781563
411|2,114.763820
152|8,142.799588
152|7,142.805361
152|6,149.058993
152|5,148.008187
152|12,139.268685
152|11,136.169511
152|10,142.002474
152|9,146.193367
152|3,144.416069
152|4,143.875955
152|1,307.499925
152|2,152.150731
1056|8,140.069080
1056|7,141.672420
1056|6,145.121002
1056|5,145.773421
1056|12,154.687688
1056|11,146.143653
1056|10,145.856338
1056|9,151.465460
1056|4,142.554218
1056|3,139.933085
1056|1,340.901954
1056|2,163.884111
462|6,164.361719
462|5,165.133908
462|4,170.471706
462|3,169.533456
462|9,138.917551
462|10,142.468544
462|7,151.063029
462|8,149.698036
462|11,161.968477
462|12,167.834346
462|1,339.236435
462|2,161.544074
1159|8,152.973923
1159|7,121.474974
1159|5,94.309301
1159|6,124.788771
1159|11,119.569019
1159|12,132.711597
1159|9,90.778162
1159|10,156.806186
1159|4,149.526739
1159|3,147.550604
1159|1,339.274276
1159|2,128.072698
1197|7,132.026656
1197|8,130.854859
1197|6,138.082068
1197|5,137.288298
1197|12,101.028522
1197|10,109.570556
1197|9,139.622031
1197|3,130.199564
1197|4,99.986274
1197|11,136.237730
1197|1,339.198897
1197|2,159.415841
