id,eta_f_SAEM,eta_h_SAEM,eta_s_SAEM,eta_L_gap_SAEM,eta_eta_alpha_SAEM,eta_f_mode,eta_h_mode,eta_s_mode,eta_L_gap_mode,eta_eta_alpha_mode,mab_virus,run_id
411|4,1.12695,0,1.31928,-1.03275e-09,0.00289881,0.742715,0,1.07074,0,-0.00399036,70.0|274,411
411|3,0.375968,0,1.18784,4.84081e-09,-0.0535548,0.216434,0,1.09364,-5.68434e-14,-0.0589136,70.0|274,411
411|5,0.894899,0,1.11001,1.00395e-09,0.0229632,0.791076,0,1.04467,0,0.0137578,70.0|274,411
411|6,0.234247,0,0.666531,5.63228e-09,-0.0331864,0.295014,0,0.69944,-5.68434e-14,-0.0307159,70.0|274,411
411|8,0.411687,0,1.03134,-2.17622e-09,0.00647695,0.512238,0,1.08856,-5.68434e-14,0.0139362,70.0|274,411
411|7,0.501223,0,1.13284,3.04269e-09,-0.0122266,0.562128,0,1.16961,0,-0.0059149,70.0|274,411
411|9,0.580788,0,0.952124,-3.70816e-09,0.0128578,0.427721,0,0.859958,-5.68434e-14,0.0163509,70.0|274,411
411|10,1.11351,0,1.21757,-3.7685e-10,0.00120777,0.890922,0,1.06857,2.84217e-14,0.0129194,70.0|274,411
411|12,0.194851,0,0.952064,-8.06799e-09,-0.00590334,0.114568,0,0.900119,0,-0.00288188,70.0|274,411
411|11,0.359456,0,0.980288,-2.67173e-09,-0.026084,0.274633,0,0.927897,0,-0.0279733,70.0|274,411
411|1,0.0293311,0,0.0124925,-4.08218e-09,-0.000786047,7.13367e-08,0,8.23845e-08,0,-2.55095e-09,69.0|274,411
411|2,-0.0640953,0,-0.0860091,5.22789e-09,-0.00592441,5.75343e-08,0,-5.89267e-07,0,-0.0124543,69.0|274,411
152|8,-0.467054,0,0.749838,3.33654e-09,-0.000100098,-0.403896,0,0.777851,0,-0.000660036,65.0|322,152
152|7,-0.55081,0,0.657824,2.55245e-10,0.00346515,-0.492069,0,0.684734,-5.68434e-14,0.000981255,65.0|322,152
152|6,-1.17889,0,0.39404,6.63575e-10,-0.0154746,-1.14165,0,0.407688,-5.68434e-14,-0.0120021,65.0|322,152
152|5,-1.05197,0,0.480988,-9.46499e-09,-0.0158944,-1.09421,0,0.465784,-5.68434e-14,-0.0132453,65.0|322,152
152|12,-0.765733,0,1.17613,2.74129e-09,0.0277315,-0.962155,0,1.1002,2.84217e-14,0.0184506,28.0|322,152
152|11,-0.0762325,0,1.40467,-9.40962e-10,-0.0194093,-0.215389,0,1.34497,-2.84217e-14,-0.0163423,28.0|322,152
152|10,-0.348552,0,1.29532,7.69084e-11,-0.0227326,-0.429092,0,1.25993,-2.84217e-14,-0.0264336,28.0|322,152
152|9,0.16087,0,1.44005,-6.13654e-09,-0.0191991,-0.0748889,0,1.33622,0,-0.0135035,28.0|322,152
152|3,-1.29546,0,0.504686,-4.42093e-09,-0.0175391,-1.35678,0,0.478296,5.68434e-14,-0.0126867,22.0|322,152
152|4,-0.685079,0,0.718634,-2.40749e-10,-0.0318721,-0.847426,0,0.648864,0,-0.0245193,22.0|322,152
152|1,0.0440894,0,0.0830666,-1.32587e-10,0.0019821,3.1146e-08,0,4.95585e-08,0,-5.27743e-10,69.0|322,152
152|2,-0.000488211,0,-0.14221,-3.77913e-09,-0.0205334,0.00122349,0,1.10769e-05,0,-0.0121931,69.0|322,152
1056|8,-0.491188,0,1.28659,-1.15536e-09,-0.00434831,-0.491005,0,1.29045,2.84217e-14,-0.00490027,65.0|276,1056
1056|7,-0.49216,0,1.30801,-1.04614e-09,-0.0354857,-0.437222,0,1.34092,-2.84217e-14,-0.0314436,65.0|276,1056
1056|6,-0.305794,0,1.40679,-3.53049e-09,-0.026256,-0.406877,0,1.33869,0,-0.0199069,65.0|276,1056
1056|5,-0.158878,0,1.54953,-9.12487e-09,-0.0333221,-0.214774,0,1.51089,5.68434e-14,-0.0333345,65.0|276,1056
1056|12,-0.469738,0,2.17942,6.59058e-09,0.0172341,-0.812834,0,1.94844,-2.84217e-14,0.0181102,28.0|276,1056
1056|11,0.485181,0,2.75068,2.65569e-09,-0.00890976,-0.46242,0,2.05974,0,-0.00595958,28.0|276,1056
1056|10,0.82107,0,2.66474,9.08691e-10,-0.0287473,0.576879,0,2.48775,2.84217e-14,-0.0229787,28.0|276,1056
