id,importanceSampling
411|4,132.569227
411|3,132.033239
411|5,155.322849
411|6,152.971460
411|8,97.674108
411|7,128.967633
411|9,151.430698
411|10,153.139139
411|12,129.402324
411|11,99.548367
411|1,82.937399
411|2,148.756916
152|8,140.591098
152|7,144.456210
152|6,118.570763
152|5,154.880583
152|12,137.425788
152|11,136.274072
152|10,149.085515
152|9,144.549658
152|3,151.948606
152|4,144.862561
152|1,77.722641
152|2,152.776426
1056|8,139.224244
1056|7,143.871701
1056|6,147.379872
1056|5,152.486826
1056|12,133.765292
1056|11,135.451457
1056|10,143.597737
1056|9,142.057761
1056|4,141.570453
1056|3,142.001729
1056|1,77.065051
1056|2,165.067322
462|6,163.059924
462|5,165.269697
462|4,170.374668
462|3,167.103369
462|9,143.537549
462|10,143.046940
462|7,156.563775
462|8,151.595654
462|11,166.643300
462|12,172.811023
462|1,91.010388
462|2,163.866370
1159|8,120.338623
1159|7,154.463384
1159|5,158.587576
1159|6,161.848541
1159|11,133.574869
1159|12,140.405109
1159|9,156.361528
1159|10,159.125743
1159|4,148.628086
1159|3,145.648035
1159|1,81.542494
1159|2,160.860032
1197|7,133.689857
1197|8,131.488252
1197|6,136.329843
1197|5,139.048799
1197|12,134.905335
1197|10,146.496134
1197|9,141.136707
1197|3,131.956635
1197|4,134.588460
1197|11,138.782201
1197|1,81.703775
1197|2,161.267498
