id,U_offset_SAEM,L_SAEM,m_SAEM,e_SAEM,s_SAEM,alpha_SAEM,k_SAEM,U_offset_mode,L_mode,m_mode,e_mode,s_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
9|411|cc|4|1|274,0.0140518,833.256,0.838856,0.248573,3.39916,-10.6995,316137,0.0139281,833.256,0.838566,0.248573,0.757625,-10.702,316687,False,69.0|274,411
9|411|cc|5|1|274,0.0140518,833.256,0.838856,0.248573,2.68279,-10.6995,316137,0.0139281,833.256,0.838566,0.248573,0.757625,-10.702,316687,False,69.0|274,411
9|411|cc|6|1|274,0.0140518,833.256,0.838856,0.248574,3.13993,-10.6995,316137,0.0139281,833.256,0.838566,0.248573,0.757625,-10.702,316687,False,69.0|274,411
9|411|cc|7|1|274,0.0140518,833.256,0.838856,0.248573,2.477,-10.6995,316137,0.0139281,833.256,0.838566,0.248573,0.757625,-10.702,316687,False,69.0|274,411
9|411|cc|8|1|274,0.0140518,833.256,0.838856,0.248573,2.4155,-10.6995,316137,0.0139281,833.256,0.838566,0.248573,0.757625,-10.702,316687,False,69.0|274,411
9|411|vc|1|2|274,0.0140518,833.256,0.838856,0.248574,2.26218,-10.6995,316137,0.0139281,833.256,0.838566,0.248573,0.757625,-10.702,316687,False,69.0|274,411
9|411|vc|2|2|274,0.0140518,833.256,0.838856,0.248573,3.19157,-10.6995,316137,0.0139281,833.256,0.838566,0.248573,0.757625,-10.702,316687,False,69.0|274,411
9|411|vc|3|2|274,0.0140518,833.256,0.838856,0.248573,3.27914,-10.6995,316137,0.0139281,833.256,0.838566,0.248573,0.757625,-10.702,316687,False,69.0|274,411
9|411|vc|4|2|274,0.0140518,833.256,0.838856,0.248573,2.68383,-10.6995,316137,0.0139281,833.256,0.838566,0.248573,0.757625,-10.702,316687,False,69.0|274,411
9|411|vc|5|2|274,0.0140518,833.256,0.838856,0.248573,3.33465,-10.6995,316137,0.0139281,833.256,0.838566,0.248573,0.757625,-10.702,316687,False,69.0|274,411
9|411|vc|6|2|274,0.0140518,833.256,0.838856,0.248574,3.33157,-10.6995,316137,0.0139281,833.256,0.838566,0.248573,0.757625,-10.702,316687,False,69.0|274,411
9|411|vc|7|2|274,0.0140518,833.256,0.838856,0.248573,2.66836,-10.6995,316137,0.0139281,833.256,0.838566,0.248573,0.757625,-10.702,316687,False,69.0|274,411
9|411|vc|8|2|274,0.0140518,833.256,0.838856,0.248573,3.31249,-10.6995,316137,0.0139281,833.256,0.838566,0.248573,0.757625,-10.702,316687,False,69.0|274,411
14|783|sample|3|71,0.0140518,834.219,0.838051,1.54459,0.352137,-10.6995,316137,0.0139281,834.219,0.837798,1.54459,0.339461,-10.7021,316687,True,6.0|71,783
14|783|sample|4|71,0.0140518,834.219,0.838051,1.54459,0.335823,-10.6995,316137,0.0139281,834.219,0.837798,1.54459,0.354412,-10.7021,316687,True,6.0|71,783
14|783|sample|5|71,0.0140518,834.219,0.838051,1.54459,0.501363,-10.6995,316137,0.0139281,834.219,0.837798,1.54459,0.50234,-10.7021,316687,True,6.0|71,783
14|783|sample|6|71,0.0140518,834.219,0.838051,1.54459,0.51467,-10.6995,316137,0.0139281,834.219,0.837798,1.54459,0.508668,-10.7021,316687,True,6.0|71,783
14|783|sample|7|71,0.0140518,834.219,0.838051,1.54459,5.66711,-10.6995,316137,0.0139281,834.219,0.837798,1.54459,5.88732,-10.7021,316687,True,6.0|71,783
14|783|sample|8|71,0.0140518,834.219,0.838051,1.54459,5.23148,-10.6995,316137,0.0139281,834.219,0.837798,1.54459,5.2552,-10.7021,316687,True,6.0|71,783
14|783|sample|10|71,0.0140518,834.219,0.838051,1.54459,0.351178,-10.6995,316137,0.0139281,834.219,0.837798,1.54459,0.345849,-10.7021,316687,True,6.0|71,783
14|783|sample|9|71,0.0140518,834.219,0.838051,1.54459,0.342073,-10.6995,316137,0.0139281,834.219,0.837798,1.54459,0.334892,-10.7021,316687,True,6.0|71,783
14|783|sample|12|71,0.0140518,834.219,0.838051,1.54459,13.9725,-10.6995,316137,0.0139281,834.219,0.837798,1.54459,13.7414,-10.7021,316687,True,6.0|71,783
