id,eta_U_offset_SAEM,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_s_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_offset_mode,eta_L_mode,eta_m_mode,eta_e_mode,eta_s_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
14|783|cc|1|1|71,0,-2.2569e-07,0,1.04952e-07,0.0247089,0,0,0,2.27374e-13,0,2.80262e-13,-3.21016e-07,0,0,False,69.0|71,783
14|783|cc|2|1|71,0,-1.2651e-07,0,-1.53934e-07,0.20626,0,0,0,4.54747e-13,0,-2.42785e-13,-6.04967e-08,0,0,False,69.0|71,783
14|783|cc|3|1|71,0,-8.24774e-08,0,-1.80724e-07,-0.0681695,0,0,0,4.54747e-13,0,-6.7598e-13,1.03153e-07,0,0,False,69.0|71,783
14|783|cc|4|1|71,0,-2.437e-07,0,1.534e-07,0.0721152,0,0,0,0.0,0,7.93247e-13,-1.76367e-07,0,0,False,69.0|71,783
14|783|cc|5|1|71,0,9.18136e-08,0,-3.27447e-07,0.162244,0,0,0,5.68434e-13,0,-2.79346e-13,-2.6674e-07,0,0,False,69.0|71,783
14|783|cc|6|1|71,0,2.21847e-07,0,8.68106e-08,0.1475,0,0,0,0.0,0,-1.49505e-13,2.5007e-07,0,0,False,69.0|71,783
14|783|cc|7|1|71,0,-2.70857e-08,0,2.39147e-07,0.145512,0,0,0,9.09495e-13,0,-2.83926e-13,-3.52337e-07,0,0,False,69.0|71,783
14|783|cc|8|1|71,0,-9.23496e-08,0,-2.06263e-07,0.158047,0,0,0,0.0,0,-6.27824e-13,-1.34658e-07,0,0,False,69.0|71,783
14|783|vc|1|2|71,0,-1.40971e-07,0,3.41549e-07,-0.128483,0,0,0,6.82121e-13,0,5.56014e-14,-8.12149e-08,0,0,False,69.0|71,783
14|783|vc|2|2|71,0,-1.912e-07,0,-1.60951e-07,0.257555,0,0,0,-1.13687e-13,0,-2.99268e-13,-5.70644e-07,0,0,False,69.0|71,783
14|783|vc|3|2|71,0,-1.2718e-08,0,5.17758e-08,-0.14791,0,0,0,0.0,0,2.97658e-13,3.70353e-07,0,0,False,69.0|71,783
14|783|vc|4|2|71,0,-4.89317e-08,0,-8.9831e-08,0.0944305,0,0,0,0.0,0,-3.00766e-13,-4.20974e-07,0,0,False,69.0|71,783
14|783|vc|5|2|71,0,-1.05272e-07,0,2.30391e-08,0.00158316,0,0,0,-5.68434e-13,0,-1.36627e-14,9.73202e-08,0,0,False,69.0|71,783
14|783|vc|6|2|71,0,-1.08087e-07,0,-4.30367e-08,0.104338,0,0,0,0.0,0,9.33455e-13,3.62464e-07,0,0,False,69.0|71,783
14|783|vc|7|2|71,0,-2.8871e-07,0,-1.73765e-07,-0.187403,0,0,0,-6.82121e-13,0,7.2601e-13,-1.06854e-07,0,0,False,69.0|71,783
14|783|vc|8|2|71,0,-1.83307e-07,0,-1.81678e-08,0.180731,0,0,0,6.82121e-13,0,-3.65839e-13,-1.2974e-07,0,0,False,69.0|71,783
14|491|sample|10|99,0,1.884e-07,0,-9.47638e-08,1.53319,0,0,0,2.16005e-12,0,1.00475e-11,1.555,0,0,True,6.0|99,491
14|491|sample|9|99,0,1.21529e-07,0,3.66213e-07,1.48565,0,0,0,1.36424e-12,0,5.42539e-11,1.54318,0,0,True,6.0|99,491
14|491|sample|12|99,0,-4.67442e-07,0,-5.85973e-08,0.72071,0,0,0,-2.04636e-12,0,1.0153e-11,0.770541,0,0,True,6.0|99,491
14|491|sample|11|99,0,5.5855e-09,0,3.14685e-07,0.532538,0,0,0,-1.15961e-11,0,-7.29905e-12,0.567032,0,0,True,6.0|99,491
14|491|sample|4|99,0,5.06686e-07,0,-4.34387e-07,-0.83269,0,0,0,-1.26192e-11,0,-4.2641e-11,-0.83168,0,0,True,44.0|99,491
14|491|sample|3|99,0,-4.80388e-08,0,9.12564e-08,-0.904878,0,0,0,-2.27374e-12,0,-5.37803e-11,-0.905802,0,0,True,44.0|99,491
14|491|sample|6|99,0,-5.54708e-08,0,-1.14478e-07,-1.10417,0,0,0,-1.60298e-11,0,2.36311e-11,-1.1229,0,0,True,44.0|99,491
14|491|sample|5|99,0,2.76063e-07,0,6.15236e-08,-1.07186,0,0,0,1.09139e-11,0,1.41316e-11,-1.06403,0,0,True,44.0|99,491
14|491|sample|7|99,0,2.23386e-08,0,-2.62293e-07,2.64754,0,0,0,-4.54747e-12,0,-5.68384e-12,2.64705,0,0,True,63.0|99,491
14|491|sample|8|99,0,-7.06917e-07,0,-2.93143e-07,2.56196,0,0,0,3.63798e-12,0,6.00578e-12,2.58094,0,0,True,63.0|99,491
