id,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_s_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_mode,eta_m_mode,eta_e_mode,eta_s_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
8|719|sample|5|274,0,4.42115e-07,-0.14084,-2.31891,0,0,0,-8.20188e-12,0.0185016,-2.40637,0,0,True,55.0|274,719
8|719|sample|6|274,0,1.50447e-07,-0.303543,-2.09058,0,0,0,-1.13043e-11,-0.140743,-2.22425,0,0,True,55.0|274,719
8|719|sample|7|274,0,4.42333e-07,-0.08454,-0.0677404,0,0,0,1.17771e-11,-0.0242069,-0.111199,0,0,True,32.0|274,719
8|719|sample|8|274,0,1.16035e-06,-0.214866,0.0265196,0,0,0,-2.52331e-12,0.0276412,-0.134019,0,0,True,32.0|274,719
8|719|sample|9|274,0,-4.95649e-07,-0.44059,0.202822,0,0,0,4.93359e-11,-0.216627,0.0391723,0,0,True,32.0|274,719
8|719|vc|1|2|274,0,-2.06145e-07,-0.140931,0.0562453,0,0,0,8.08242e-14,-2.01018e-07,-2.07864e-07,0,0,False,69.0|274,719
8|719|vc|2|2|274,0,1.7845e-07,-0.102607,-0.115512,0,0,0,1.08047e-12,1.5429e-07,2.90035e-07,0,0,False,69.0|274,719
8|719|vc|3|2|274,0,-2.67286e-07,0.0620131,-0.120471,0,0,0,4.65628e-13,3.52957e-07,-1.19457e-07,0,0,False,69.0|274,719
8|719|vc|4|2|274,0,1.47447e-07,-0.00264332,0.126776,0,0,0,-1.61648e-13,2.15481e-07,-5.78798e-07,0,0,False,69.0|274,719
8|719|vc|5|2|274,0,2.60279e-07,0.0695902,-0.0294682,0,0,0,8.54872e-13,7.9468e-08,-3.84175e-07,0,0,False,69.0|274,719
8|719|vc|6|2|274,0,9.19273e-08,0.084931,-0.0452044,0,0,0,-1.27165e-12,2.1476e-07,-3.1403e-07,0,0,False,69.0|274,719
8|719|vc|7|2|274,0,8.58121e-08,0.0763203,-0.0671686,0,0,0,-6.26166e-14,6.43374e-08,-4.6902e-07,0,0,False,69.0|274,719
8|719|vc|8|2|274,0,-5.30799e-09,-0.0712849,0.161811,0,0,0,1.69154e-12,-2.88779e-07,-4.44925e-08,0,0,False,69.0|274,719
8|488|cc|1|1|322,0,-1.7089e-07,0.0287199,-0.125529,0,0,0,-6.43929e-13,3.02573e-07,8.16697e-07,0,0,False,69.0|322,488
8|488|cc|2|1|322,0,2.02741e-07,0.0799596,0.0766518,0,0,0,2.06946e-13,-2.51023e-07,3.55399e-07,0,0,False,69.0|322,488
8|488|cc|3|1|322,0,2.28649e-07,-0.0706885,-0.262172,0,0,0,-2.36255e-12,4.37429e-07,1.88773e-07,0,0,False,69.0|322,488
8|488|cc|4|1|322,0,1.26895e-07,0.0171199,0.12851,0,0,0,-2.96652e-13,1.84532e-07,5.07125e-07,0,0,False,69.0|322,488
8|488|cc|5|1|322,0,1.09353e-07,0.103489,-0.153437,0,0,0,-2.36922e-12,5.03218e-08,-1.41488e-07,0,0,False,69.0|322,488
8|488|cc|6|1|322,0,-1.51853e-08,-0.0862905,-0.00789608,0,0,0,2.3892e-13,-3.82886e-07,3.15661e-07,0,0,False,69.0|322,488
8|488|cc|7|1|322,0,2.41858e-07,0.125802,0.16164,0,0,0,-1.59872e-14,-6.84437e-08,-2.66404e-07,0,0,False,69.0|322,488
8|488|cc|8|1|322,0,2.02662e-07,-0.0160758,0.0837535,0,0,0,-6.88338e-14,-1.56966e-07,2.20193e-07,0,0,False,69.0|322,488
8|488|sample|10|322,0,-5.01845e-07,0.689369,-0.776816,0,0,0,-1.49342e-10,0.932242,-0.834019,0,0,True,32.0|322,488
8|488|sample|11|322,0,6.91747e-08,0.122853,-0.332521,0,0,0,-6.67447e-11,0.202815,-0.380462,0,0,True,22.0|322,488
8|488|sample|12|322,0,7.9748e-08,0.218083,-0.252507,0,0,0,-8.66082e-11,0.24838,-0.286669,0,0,True,22.0|322,488
8|488|sample|3|322,0,-3.51408e-07,-0.556972,-1.97223,0,0,0,3.34532e-12,-0.77847,-1.80371,0,0,True,55.0|322,488
