U_pop,1,-0.0802624,0.130092,0.628369,-0.0884801,-0.139752,-0.396656,0.409269,-0.0108075,0.027372
L_pop,-0.0802624,1,-0.00401303,-0.0466741,0.00132525,0.022377,0.0263759,-0.0268432,0.0158124,-0.0177564
alpha_pop,0.130092,-0.00401303,1,0.0273683,-0.00174321,0.261701,-0.0854861,0.0889775,0.387605,-0.389601
omega_U,0.628369,-0.0466741,0.0273683,1,-0.0772189,-0.252924,-0.25084,0.264873,-0.193029,0.206672
omega_L,-0.0884801,0.00132525,-0.00174321,-0.0772189,1,0.0334572,0.0539688,-0.0559168,0.0270516,-0.0282801
omega_alpha,-0.139752,0.022377,0.261701,-0.252924,0.0334572,1,-0.00527738,0.00675894,0.71467,-0.730481
acc,-0.396656,0.0263759,-0.0854861,-0.25084,0.0539688,-0.00527738,1,-0.990854,-0.0741846,0.0691646
bcc,0.409269,-0.0268432,0.0889775,0.264873,-0.0559168,0.00675894,-0.990854,1,0.0780789,-0.0729699
avc,-0.0108075,0.0158124,0.387605,-0.193029,0.0270516,0.71467,-0.0741846,0.0780789,1,-0.986246
bvc,0.027372,-0.0177564,-0.389601,0.206672,-0.0282801,-0.730481,0.0691646,-0.0729699,-0.986246,1
