U_pop,337600,-1795.97,36.8484,26403,-1408.8,-39.8622,-8102.56,11.8671,-75199.9,2.52029
L_pop,-1795.97,1483.11,-0.0753396,-129.987,1.39858,0.423049,35.7109,-0.0515889,7292.5,-0.108363
alpha_pop,36.8484,-0.0753396,0.237646,0.96483,-0.0232873,0.0626287,-1.4651,0.00216462,2262.8,-0.0300973
omega_U,26403,-129.987,0.96483,5229.7,-153.026,-8.97905,-637.739,0.955898,-167168,2.36844
omega_L,-1408.8,1.39858,-0.0232873,-153.026,750.939,0.450084,51.9938,-0.0764681,8877.42,-0.122808
omega_alpha,-39.8622,0.423049,0.0626287,-8.97905,0.450084,0.240993,-0.091081,0.000165583,4201.45,-0.0568269
acc,-8102.56,35.7109,-1.4651,-637.739,51.9938,-0.091081,1235.99,-1.73841,-31232.9,0.385331
bcc,11.8671,-0.0515889,0.00216462,0.955898,-0.0764681,0.000165583,-1.73841,0.00249041,46.6618,-0.000577062
avc,-75199.9,7292.5,2262.8,-167168,8877.42,4201.45,-31232.9,46.6618,1.43412e+08,-1871.63
bvc,2.52029,-0.108363,-0.0300973,2.36844,-0.122808,-0.0568269,0.385331,-0.000577062,-1871.63,0.0251122
