id,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_s_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_mode,eta_m_mode,eta_e_mode,eta_s_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
8|84|cc|1|1|162,0.569574,0,-0.0672331,8.14765e-07,0,0,-1.01036e-07,0,-4.25107e-08,1.6831e-13,0,0,False,69.0|162,84
8|84|cc|2|1|162,0.592345,0,0.031898,5.06537e-07,0,0,1.261e-07,0,5.94437e-09,5.35127e-13,0,0,False,69.0|162,84
8|84|cc|3|1|162,0.803653,0,-0.0544159,8.98196e-07,0,0,-3.17774e-07,0,2.70913e-08,1.92735e-13,0,0,False,69.0|162,84
8|84|cc|4|1|162,-0.778502,0,0.0509873,6.39135e-07,0,0,-1.19171e-07,0,-1.44384e-08,1.34559e-13,0,0,False,69.0|162,84
8|84|cc|5|1|162,0.820102,0,0.0928491,-2.8373e-06,0,0,-1.17512e-07,0,-1.16936e-08,-7.81153e-13,0,0,False,69.0|162,84
8|84|cc|6|1|162,-1.87439,0,-0.00663351,-3.67965e-06,0,0,2.08372e-07,0,-2.80807e-08,-7.32747e-14,0,0,False,69.0|162,84
8|84|cc|7|1|162,0.280197,0,0.0459243,-2.39097e-06,0,0,4.61816e-08,0,2.15695e-08,6.88338e-14,0,0,False,69.0|162,84
8|84|cc|8|1|162,-1.77728,0,0.122664,3.35602e-07,0,0,-3.45804e-07,0,1.39221e-08,-2.89546e-13,0,0,False,69.0|162,84
8|84|sample|10|162,1.19487,0,-0.114904,4.56739e-08,0,0,0.0182359,0,4.06644e-08,3.69482e-13,0,0,True,32.0|162,84
8|84|sample|11|162,2.52367,0,-0.10436,1.49506e-06,0,0,0.179503,0,6.86543e-08,-1.4353e-12,0,0,True,22.0|162,84
8|84|sample|12|162,-1.05279,0,0.133651,2.18688e-07,0,0,0.00123645,0,5.76454e-08,-3.10862e-13,0,0,True,22.0|162,84
8|84|sample|3|162,2.03538,0,0.00954516,3.18246e-07,0,0,1.35463,0,-1.56914e-07,-4.44089e-14,0,0,True,55.0|162,84
8|84|sample|4|162,1.3118,0,-0.0192781,2.05458e-06,0,0,1.19326,0,-1.19852e-07,-1.88916e-12,0,0,True,55.0|162,84
8|84|sample|5|162,0.678285,0,-0.0901391,-3.35417e-07,0,0,0.33429,0,1.14024e-07,1.57918e-12,0,0,True,55.0|162,84
8|84|sample|6|162,-0.0945142,0,-0.00934487,3.758e-07,0,0,0.366326,0,-7.67395e-08,8.10019e-13,0,0,True,55.0|162,84
8|84|sample|7|162,-0.702685,0,-0.0869636,-1.44045e-06,0,0,0.758717,0,-6.01521e-08,8.02025e-13,0,0,True,32.0|162,84
8|84|sample|8|162,0.993177,0,-0.0311267,-7.1312e-07,0,0,0.708358,0,3.92654e-08,-8.41993e-13,0,0,True,32.0|162,84
8|84|sample|9|162,0.0788346,0,-0.0286796,-1.43471e-06,0,0,0.285141,0,-4.8185e-08,6.32383e-13,0,0,True,32.0|162,84
8|84|vc|1|2|162,1.48325,0,-0.10707,1.91603e-07,0,0,0.241712,0,4.04721e-08,-8.21565e-14,0,0,False,69.0|162,84
8|84|vc|2|2|162,2.31285,0,0.0111984,2.60688e-07,0,0,0.158655,0,-4.9836e-08,-5.28466e-14,0,0,False,69.0|162,84
8|84|vc|3|2|162,0.907954,0,0.11698,1.83438e-06,0,0,0.160428,0,-1.35372e-09,1.23013e-13,0,0,False,69.0|162,84
8|84|vc|4|2|162,-0.404279,0,0.0468678,-6.10048e-07,0,0,0.147351,0,-1.96706e-08,2.22045e-14,0,0,False,69.0|162,84
8|84|vc|5|2|162,0.205123,0,0.00928384,-1.03055e-07,0,0,0.16024,0,-9.78787e-09,2.14939e-13,0,0,False,69.0|162,84
