id,importanceSampling
411|4,136.479501
411|3,141.737515
411|5,160.035941
411|6,163.706274
411|8,136.882074
411|7,137.500487
411|9,157.928085
411|10,162.291423
411|12,136.560003
411|11,71.435499
411|1,82.914560
411|2,147.301649
152|8,147.775089
152|7,147.813713
152|6,155.374222
152|5,155.401396
152|12,160.513961
152|11,157.869746
152|10,164.457091
152|9,162.059368
152|3,147.995165
152|4,148.503445
152|1,77.905844
152|2,150.581133
1056|8,111.796149
1056|7,144.437213
1056|6,150.559492
1056|5,118.914932
1056|12,114.333332
1056|11,143.261386
1056|10,148.147429
1056|9,151.460690
1056|4,113.221827
1056|3,112.577698
1056|1,77.100247
1056|2,163.668099
462|6,170.496224
462|5,171.282262
462|4,176.560723
462|3,176.019488
462|9,140.777498
462|10,109.717458
462|7,153.214399
462|8,152.635192
462|11,161.150920
462|12,165.470241
462|1,90.934935
462|2,161.719648
1159|8,121.250395
1159|7,158.886005
1159|5,164.176029
1159|6,163.621347
1159|11,146.456849
1159|12,152.128430
1159|9,153.912073
1159|10,154.530469
1159|4,153.485503
1159|3,151.859306
1159|1,81.466319
1159|2,126.718288
1197|7,97.776065
1197|8,130.202610
1197|6,139.911416
1197|5,142.125583
1197|12,171.293844
1197|10,175.446075
1197|9,173.098693
1197|3,169.520119
1197|4,170.639845
1197|11,169.571297
1197|1,49.617325
1197|2,159.241445
