id,eta_f_SAEM,eta_h_SAEM,eta_L_gap_SAEM,eta_f_mode,eta_h_mode,eta_L_gap_mode,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,0.186961,0,0.548325,0.155731,0,-1.99246e-06,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,-0.373642,0,-0.975312,-0.403543,0,-1.75678e-06,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,0.297034,0,0.602451,0.268951,0,-3.13025e-07,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,0.338504,0,-0.316578,0.329311,0,8.55805e-07,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,-0.091494,0,-0.90738,-0.100557,0,-2.80293e-06,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,-0.160843,0,-0.769338,-0.169376,0,-1.7475e-06,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,0.2046,0,0.775074,0.174067,0,-7.81062e-08,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,0.37631,0,0.16828,0.328375,0,-3.7282e-07,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,-0.194058,0,0.733132,-0.212581,0,-1.47283e-06,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,-0.0441425,0,-0.129509,-0.0754464,0,-1.20263e-06,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,-0.146113,0,0.0269834,2.08011e-09,0,3.35733e-07,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,0.0372153,0,0.0277247,1.12827e-07,0,3.22376e-07,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,-0.00266759,0,0.0259118,2.51413e-08,0,3.21368e-07,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,0.00521737,0,-0.756238,8.24774e-08,0,4.2423e-09,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,0.00795575,0,-0.209672,-5.21155e-08,0,-3.84242e-07,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,0.0481186,0,-0.00460002,1.7638e-08,0,4.49444e-07,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,0.053522,0,0.120899,-1.06691e-07,0,2.92502e-07,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,-0.00268148,0,0.204089,2.68902e-08,0,4.48802e-07,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,-0.048661,0,0.0252713,-9.06152e-08,0,2.02021e-07,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,0.0371779,0,0.0322001,-1.39008e-07,0,8.81481e-08,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,-0.0254102,0,-0.0776363,-7.04753e-08,0,1.56902e-07,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,-0.0131955,0,0.519721,1.79291e-08,0,2.6732e-07,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,-0.0539505,0,0.14402,-7.61414e-08,0,3.05706e-07,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,-0.0779153,0,0.0580058,-1.38027e-07,0,-2.49691e-07,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,0.0971875,0,0.158656,4.04992e-08,0,2.62531e-07,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,-0.0164889,0,-0.226489,-6.15648e-08,0,-6.19615e-07,69.0|274,411
8|152|8|152|sample|8|322|8|322|65.0,0.407055,0,0.62111,0.395926,0,-0.000206271,65.0|322,152
8|152|8|152|sample|7|322|7|322|65.0,0.538207,0,-0.300385,0.500526,0,-0.000155151,65.0|322,152
8|152|8|152|sample|6|322|6|322|65.0,0.47219,0,0.203423,0.457543,0,-6.35548e-06,65.0|322,152
8|152|8|152|sample|5|322|5|322|65.0,0.353599,0,-0.385285,0.353261,0,-3.70002e-06,65.0|322,152
8|152|8|152|sample|12|322|12|322|28.0,-0.699413,0,-0.324722,-0.741884,0,-0.00015808,28.0|322,152
8|152|8|152|sample|11|322|11|322|28.0,-0.565733,0,-0.80076,-0.572578,0,-0.000208875,28.0|322,152
8|152|8|152|sample|10|322|10|322|28.0,-0.56708,0,1.07604,-0.592211,0,-8.65655e-05,28.0|322,152
8|152|8|152|sample|9|322|9|322|28.0,-0.409051,0,-0.0723027,-0.42255,0,-0.000121322,28.0|322,152
8|152|8|152|sample|3|322|3|322|22.0,0.175609,0,0.152291,0.158206,0,0.000119536,22.0|322,152
8|152|8|152|sample|4|322|4|322|22.0,0.296997,0,0.0666025,0.269585,0,2.26563e-05,22.0|322,152
8|152|8|152|cc|1|1|322|1|322|69.0,0.0173279,0,0.122941,6.78209e-08,0,2.19759e-07,69.0|322,152
8|152|8|152|cc|2|1|322|1|322|69.0,-0.0412105,0,-0.113426,8.29674e-08,0,8.33954e-08,69.0|322,152
8|152|8|152|cc|3|1|322|1|322|69.0,0.0414422,0,0.330236,1.38031e-07,0,-1.47413e-07,69.0|322,152
8|152|8|152|cc|4|1|322|1|322|69.0,-0.053928,0,0.101204,-6.28654e-08,0,1.78723e-07,69.0|322,152
8|152|8|152|cc|5|1|322|1|322|69.0,-0.0165991,0,-0.00546708,9.47641e-08,0,2.02574e-07,69.0|322,152
8|152|8|152|cc|6|1|322|1|322|69.0,-0.0489204,0,0.0907015,-3.23972e-08,0,-2.29328e-07,69.0|322,152
8|152|8|152|cc|7|1|322|1|322|69.0,-0.0277365,0,0.234356,1.72153e-08,0,-3.07587e-07,69.0|322,152
8|152|8|152|cc|8|1|322|1|322|69.0,0.011318,0,0.300489,-1.26217e-07,0,-3.2651e-07,69.0|322,152
8|152|8|152|vc|1|2|322|2|322|69.0,-0.00247627,0,0.540374,-4.75539e-08,0,3.91158e-07,69.0|322,152
8|152|8|152|vc|2|2|322|2|322|69.0,-0.0751516,0,0.121559,-1.04218e-08,0,4.11783e-07,69.0|322,152
8|152|8|152|vc|3|2|322|2|322|69.0,-0.157277,0,-0.362159,2.2586e-08,0,-3.72974e-07,69.0|322,152
8|152|8|152|vc|4|2|322|2|322|69.0,0.0268204,0,-0.252992,-4.224e-08,0,1.58606e-07,69.0|322,152
