rep,id,U,L,alpha,mean_cc
1,411,60744.9,910.018,0.183344,910.0
2,411,60744.9,910.018,0.183344,910.0
3,411,60744.9,910.018,0.183344,910.0
4,411,60744.9,910.018,0.183344,910.0
5,411,60744.9,910.018,0.183344,910.0
6,411,60744.9,910.018,0.183344,910.0
7,411,60744.9,910.018,0.183344,910.0
8,411,60744.9,910.018,0.183344,910.0
9,411,60744.9,910.018,0.183344,910.0
1,152,96485.2,695.259,0.10151,695.25
2,152,96485.2,695.259,0.10151,695.25
3,152,96485.2,695.259,0.10151,695.25
4,152,96485.2,695.259,0.10151,695.25
5,152,96485.2,695.259,0.10151,695.25
6,152,96485.2,695.259,0.10151,695.25
7,152,96485.2,695.259,0.10151,695.25
8,152,96485.2,695.259,0.10151,695.25
9,152,96485.2,695.259,0.10151,695.25
1,1056,122610,713.746,0.0353313,713.75
2,1056,122610,713.746,0.0353313,713.75
3,1056,122610,713.746,0.0353313,713.75
4,1056,122610,713.746,0.0353313,713.75
5,1056,122610,713.746,0.0353313,713.75
6,1056,122610,713.746,0.0353313,713.75
7,1056,122610,713.746,0.0353313,713.75
8,1056,122610,713.746,0.0353313,713.75
9,1056,122610,713.746,0.0353313,713.75
1,462,159668,643.492,0.736861,643.5
2,462,159668,643.492,0.736861,643.5
3,462,159668,643.492,0.736861,643.5
4,462,159668,643.492,0.736861,643.5
5,462,159668,643.492,0.736861,643.5
6,462,159668,643.492,0.736861,643.5
7,462,159668,643.492,0.736861,643.5
8,462,159668,643.492,0.736861,643.5
9,462,159668,643.492,0.736861,643.5
1,1159,155907,645.636,0.580691,654.75
2,1159,155907,645.636,0.580691,654.75
3,1159,155907,645.636,0.580691,654.75
4,1159,155907,645.636,0.580691,654.75
5,1159,155907,645.636,0.580691,654.75
6,1159,155907,645.636,0.580691,654.75
7,1159,155907,645.636,0.580691,654.75
8,1159,155907,645.636,0.580691,654.75
9,1159,155907,645.636,0.580691,654.75
1,1197,122610,645.636,0.646954,636.5
2,1197,122610,645.636,0.646954,636.5
3,1197,122610,645.636,0.646954,636.5
4,1197,122610,645.636,0.646954,636.5
5,1197,122610,645.636,0.646954,636.5
6,1197,122610,645.636,0.646954,636.5
7,1197,122610,645.636,0.646954,636.5
8,1197,122610,645.636,0.646954,636.5
9,1197,122610,645.636,0.646954,636.5
