rep,id,eta_f,eta_h,eta_s,eta_L_gap,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,0.580385,1.49969e-07,-6.38807e-08,4.09323,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,0.0731843,-1.03192e-07,-6.77523e-09,-1.20711,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,0.759656,1.40449e-07,-4.47644e-08,-0.461016,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,0.8066,1.29761e-08,1.57822e-08,0.23751,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,0.311233,2.30677e-07,-2.78299e-08,-2.22201,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,0.270845,-5.6695e-08,-1.11179e-08,1.55608,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,0.621902,-2.37277e-08,4.87801e-08,2.60104,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,0.676673,-1.02012e-07,1.04383e-08,-0.155348,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,0.304029,1.69812e-07,4.19775e-08,-1.0798,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,0.401035,2.27239e-08,-7.7606e-09,-2.51326,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,-0.332883,5.70869e-08,7.77809e-09,-0.739301,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,-0.975308,6.78102e-08,1.8798e-08,0.961587,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,0.271072,-1.23011e-07,1.09311e-08,0.0202277,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,-1.75455,-4.60321e-08,-2.33407e-09,-0.800637,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,0.745488,-6.22227e-08,8.28069e-08,-1.55808,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,-0.439385,-7.82427e-08,-1.11686e-08,-1.66364,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,1.01571,6.1862e-08,1.01829e-08,-1.66322,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,-2.65216,-2.46396e-07,1.17847e-08,1.78408,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,0.134509,8.35909e-08,2.44991e-08,0.339477,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,-0.803384,-5.64757e-08,8.64569e-09,2.18213,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,-0.31746,3.66006e-08,2.02373e-08,-0.723829,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,1.60738,-1.80017e-07,-2.41501e-08,4.06386,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,1.51963,-1.08819e-07,-9.056e-09,3.94693,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,-0.984161,-1.11495e-07,3.93435e-08,-0.140893,69.0|274,411
1,9|411|9|411|vc|7|2|274|2|274|69.0,-0.905474,9.12157e-08,1.48864e-08,-0.111269,69.0|274,411
1,9|411|9|411|vc|8|2|274|2|274|69.0,1.00207,-2.55863e-08,2.11335e-08,-3.12951,69.0|274,411
1,8|152|8|152|sample|8|322|8|322|65.0,-1.38811,1.13462e-07,1.35488e-08,-2.74074,65.0|322,152
1,8|152|8|152|sample|7|322|7|322|65.0,-1.29313,7.98164e-08,-1.95539e-08,2.10073,65.0|322,152
1,8|152|8|152|sample|6|322|6|322|65.0,-1.30211,3.34005e-08,-5.42294e-09,-0.0300479,65.0|322,152
1,8|152|8|152|sample|5|322|5|322|65.0,-1.38769,1.04622e-07,-4.20341e-08,0.224716,65.0|322,152
1,8|152|8|152|sample|12|322|12|322|28.0,-1.48776,-6.08663e-08,5.45228e-08,-0.354798,28.0|322,152
1,8|152|8|152|sample|11|322|11|322|28.0,-1.37821,1.50597e-07,-2.01014e-08,1.78387,28.0|322,152
