id,importanceSampling
411|4,99.502043
411|3,146.743056
411|5,158.160029
411|6,162.141002
411|8,135.085404
411|7,136.956245
411|9,153.193233
411|10,161.307941
411|12,136.010355
411|11,132.668986
411|1,83.054237
411|2,147.516968
152|8,109.721460
152|7,142.654264
152|6,116.015174
152|5,148.108613
152|12,139.137380
152|11,136.299136
152|10,142.039557
152|9,146.237007
152|3,144.311248
152|4,143.973627
152|1,77.842380
152|2,152.124206
1056|8,140.356908
1056|7,141.672621
1056|6,112.057276
1056|5,145.793820
1056|12,154.808197
1056|11,113.061128
1056|10,145.761284
1056|9,151.204130
1056|4,142.673216
1056|3,107.190684
1056|1,77.099422
1056|2,163.637166
462|6,164.328523
462|5,165.317487
462|4,137.330055
462|3,169.682338
462|9,138.844713
462|10,109.296903
462|7,151.134288
462|8,149.909713
462|11,128.948448
462|12,167.886168
462|1,90.827437
462|2,161.490337
1159|8,152.967763
1159|7,121.634010
1159|5,158.766475
1159|6,158.098983
1159|11,152.514519
1159|12,98.372077
1159|9,155.097735
1159|10,156.916992
1159|4,149.659423
1159|3,147.713103
1159|1,48.885423
1159|2,159.440054
1197|7,131.909509
1197|8,130.745710
1197|6,138.184758
1197|5,137.263468
1197|12,100.828114
1197|10,142.378327
1197|9,107.047751
1197|3,130.133936
1197|4,131.414362
1197|11,136.370961
1197|1,81.589958
1197|2,159.594037
