id,eta_f_SAEM,eta_h_SAEM,eta_L_gap_SAEM,eta_f_mode,eta_h_mode,eta_L_gap_mode,mab_virus,run_id
8|1056|8|1056|sample|11|276|11|276|28.0,0,0,-0.0903195,0,0,-6.52526e-06,28.0|276,1056
8|1056|8|1056|sample|10|276|10|276|28.0,0,0,-0.0258043,0,0,-9.96996e-06,28.0|276,1056
8|1056|8|1056|sample|9|276|9|276|28.0,0,0,-0.144531,0,0,-1.0022e-05,28.0|276,1056
8|1056|8|1056|sample|4|276|4|276|22.0,0,0,-0.067477,0,0,-0.0225085,22.0|276,1056
8|1056|8|1056|sample|3|276|3|276|22.0,0,0,-0.0588937,0,0,-0.0588361,22.0|276,1056
8|1056|8|1056|cc|1|1|276|1|276|69.0,0,0,-0.00341139,0,0,-2.32628e-07,69.0|276,1056
8|1056|8|1056|cc|2|1|276|1|276|69.0,0,0,-0.0400028,0,0,1.89311e-07,69.0|276,1056
8|1056|8|1056|cc|3|1|276|1|276|69.0,0,0,-0.0749031,0,0,1.64653e-07,69.0|276,1056
8|1056|8|1056|cc|4|1|276|1|276|69.0,0,0,-0.000170468,0,0,-2.95645e-07,69.0|276,1056
8|1056|8|1056|cc|5|1|276|1|276|69.0,0,0,-0.018762,0,0,-8.08747e-08,69.0|276,1056
8|1056|8|1056|cc|6|1|276|1|276|69.0,0,0,0.0274945,0,0,1.79861e-07,69.0|276,1056
8|1056|8|1056|cc|7|1|276|1|276|69.0,0,0,0.0738759,0,0,-6.60248e-09,69.0|276,1056
8|1056|8|1056|cc|8|1|276|1|276|69.0,0,0,0.174067,0,0,2.19208e-07,69.0|276,1056
8|1056|8|1056|vc|1|2|276|2|276|69.0,0,0,0.0300968,0,0,5.05678e-08,69.0|276,1056
8|1056|8|1056|vc|2|2|276|2|276|69.0,0,0,0.204372,0,0,2.66952e-07,69.0|276,1056
8|1056|8|1056|vc|3|2|276|2|276|69.0,0,0,-0.0270453,0,0,1.84593e-07,69.0|276,1056
