id,f_SAEM,h_SAEM,s_SAEM,L_gap_SAEM,f_mode,h_mode,s_mode,L_gap_mode,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,0.389273,1.66222,0.821669,-5.44172,0.389273,1.66222,0.821669,-5.48231,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,0.389273,1.66222,0.821669,-5.47859,0.389273,1.66222,0.821669,-5.48231,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,0.389273,1.66222,0.821669,-5.4968,0.389273,1.66222,0.821669,-5.48231,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,0.389273,1.66222,0.821669,-5.45905,0.389273,1.66222,0.821669,-5.48231,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,0.389273,1.66222,0.821669,-5.44285,0.389273,1.66222,0.821669,-5.48231,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,0.389273,1.66222,0.821669,-5.47791,0.389273,1.66222,0.821669,-5.48231,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,0.389273,1.66222,0.821669,-5.53319,0.389273,1.66222,0.821669,-5.48231,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,0.389273,1.66222,0.821669,-5.56605,0.389273,1.66222,0.821669,-5.48231,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,0.389273,1.66222,0.821669,-5.50106,0.389273,1.66222,0.821669,-5.48231,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,0.389273,1.66222,0.821669,-5.42934,0.389273,1.66222,0.821669,-5.48231,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,0.389273,1.66232,0.821669,-5.47055,0.389273,1.66232,0.821669,-5.48231,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,0.389273,1.66232,0.821669,-5.43453,0.389273,1.66232,0.821669,-5.48231,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,0.389273,1.66232,0.821669,-5.47076,0.389273,1.66232,0.821669,-5.48231,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,0.389273,1.66232,0.821669,-5.50185,0.389273,1.66232,0.821669,-5.48231,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,0.389273,1.66232,0.821669,-5.43196,0.389273,1.66232,0.821669,-5.48231,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,0.389273,1.66232,0.821669,-5.43184,0.389273,1.66232,0.821669,-5.48231,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,0.389273,1.66232,0.821669,-5.38864,0.389273,1.66232,0.821669,-5.48231,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,0.389273,1.66232,0.821669,-5.51532,0.389273,1.66232,0.821669,-5.48231,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,0.389273,1.66232,0.821669,-5.47459,0.389273,1.66232,0.821669,-5.48231,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,0.389273,1.66232,0.821669,-5.44965,0.389273,1.66232,0.821669,-5.48231,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,0.389273,1.66232,0.821669,-5.40288,0.389273,1.66232,0.821669,-5.48231,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,0.389273,1.66232,0.821669,-5.51117,0.389273,1.66232,0.821669,-5.48231,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,0.389273,1.66232,0.821669,-5.48044,0.389273,1.66232,0.821669,-5.48231,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,0.389273,1.66232,0.821669,-5.53198,0.389273,1.66232,0.821669,-5.48231,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,0.389273,1.66232,0.821669,-5.41148,0.389273,1.66232,0.821669,-5.48231,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,0.389273,1.66232,0.821669,-5.48396,0.389273,1.66232,0.821669,-5.48231,69.0|274,411
8|152|8|152|sample|8|322|8|322|65.0,0.103161,1.17938,0.821669,-0.36149,0.103161,1.17937,0.821669,-0.296844,65.0|322,152
8|152|8|152|sample|7|322|7|322|65.0,0.103161,1.17938,0.821669,-0.342291,0.103161,1.17937,0.821669,-0.296677,65.0|322,152
8|152|8|152|sample|6|322|6|322|65.0,0.103161,1.17938,0.821669,-0.313414,0.103161,1.17937,0.821669,-0.296299,65.0|322,152
8|152|8|152|sample|5|322|5|322|65.0,0.103161,1.17938,0.821669,-0.350323,0.103161,1.17937,0.821669,-0.296403,65.0|322,152
8|152|8|152|sample|12|322|12|322|28.0,0.103161,1.63925,0.821669,-0.330569,0.103161,1.63925,0.821669,-0.296787,28.0|322,152
8|152|8|152|sample|11|322|11|322|28.0,0.103161,1.63925,0.821669,-0.345765,0.103161,1.63925,0.821669,-0.296762,28.0|322,152
8|152|8|152|sample|10|322|10|322|28.0,0.103161,1.63925,0.821669,-0.305897,0.103161,1.63925,0.821669,-0.296245,28.0|322,152
8|152|8|152|sample|9|322|9|322|28.0,0.103161,1.63925,0.821669,-0.426118,0.103161,1.63925,0.821669,-0.296244,28.0|322,152
8|152|8|152|sample|3|322|3|322|22.0,0.103161,1.17946,0.821669,-0.280062,0.103161,1.17946,0.821669,-0.296424,22.0|322,152
8|152|8|152|sample|4|322|4|322|22.0,0.103161,1.17946,0.821669,-0.282041,0.103161,1.17946,0.821669,-0.29642,22.0|322,152
8|152|8|152|cc|1|1|322|1|322|69.0,0.103161,1.17946,0.821669,-0.274713,0.103161,1.17946,0.821669,-0.296202,69.0|322,152
8|152|8|152|cc|2|1|322|1|322|69.0,0.103161,1.17946,0.821669,-0.310441,0.103161,1.17946,0.821669,-0.296202,69.0|322,152
8|152|8|152|cc|3|1|322|1|322|69.0,0.103161,1.17946,0.821669,-0.369116,0.103161,1.17946,0.821669,-0.296202,69.0|322,152
8|152|8|152|cc|4|1|322|1|322|69.0,0.103161,1.17946,0.821669,-0.275008,0.103161,1.17946,0.821669,-0.296202,69.0|322,152
8|152|8|152|cc|5|1|322|1|322|69.0,0.103161,1.17946,0.821669,-0.282491,0.103161,1.17946,0.821669,-0.296202,69.0|322,152
8|152|8|152|cc|6|1|322|1|322|69.0,0.103161,1.17946,0.821669,-0.348233,0.103161,1.17946,0.821669,-0.296202,69.0|322,152
8|152|8|152|cc|7|1|322|1|322|69.0,0.103161,1.17946,0.821669,-0.242462,0.103161,1.17946,0.821669,-0.296202,69.0|322,152
8|152|8|152|cc|8|1|322|1|322|69.0,0.103161,1.17946,0.821669,-0.337644,0.103161,1.17946,0.821669,-0.296202,69.0|322,152
8|152|8|152|vc|1|2|322|2|322|69.0,0.103161,1.17946,0.821669,-0.30303,0.103161,1.17946,0.821669,-0.296202,69.0|322,152
8|152|8|152|vc|2|2|322|2|322|69.0,0.103161,1.17946,0.821669,-0.372714,0.103161,1.17946,0.821669,-0.296202,69.0|322,152
8|152|8|152|vc|3|2|322|2|322|69.0,0.103161,1.17946,0.821669,-0.320609,0.103161,1.17946,0.821669,-0.296202,69.0|322,152
8|152|8|152|vc|4|2|322|2|322|69.0,0.103161,1.17946,0.821669,-0.306501,0.103161,1.17946,0.821669,-0.296202,69.0|322,152
8|152|8|152|vc|5|2|322|2|322|69.0,0.103161,1.17946,0.821669,-0.30382,0.103161,1.17946,0.821669,-0.296202,69.0|322,152
