id,eta_L_gap_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_gap_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,6.29613e-09,0.326504,-0.622915,0,0,-1.1191e-13,0.456403,-0.494524,0,0,True,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,-6.93062e-09,0.364127,-1.14778,0,0,2.36255e-13,0.466962,-1.0526,0,0,True,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,4.37308e-09,0.437485,-0.265995,0,0,-1.5099e-13,0.400031,-0.464396,0,0,True,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,-7.18504e-09,0.104301,-0.73871,0,0,2.13163e-14,0.284845,-0.549039,0,0,True,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,5.30341e-10,0.402784,-0.779796,0,0,5.86198e-14,0.462422,-0.747098,0,0,True,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,1.01723e-08,0.477721,-0.762142,0,0,-7.28306e-14,0.484817,-0.792747,0,0,True,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,-7.6311e-10,0.363052,-0.513454,0,0,2.4869e-14,0.363856,-0.601649,0,0,True,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,-2.99471e-09,0.42668,-0.300187,0,0,7.63833e-14,0.401778,-0.40298,0,0,True,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,1.54925e-08,0.274859,-1.13915,0,0,-1.95399e-14,0.389823,-0.99928,0,0,True,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,-1.10264e-09,0.417877,-0.714388,0,0,1.7053e-13,0.409558,-0.79874,0,0,True,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,2.91058e-09,0.0487538,-0.128287,0,0,7.10543e-15,2.96452e-08,-8.57359e-08,0,0,False,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,-3.74617e-09,0.115915,-0.0994597,0,0,3.55271e-15,4.97079e-09,5.21806e-07,0,0,False,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,7.32829e-09,-0.0671004,0.263761,0,0,7.10543e-15,-1.06363e-07,-7.93213e-08,0,0,False,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,1.11632e-08,-0.0816938,0.251961,0,0,0,1.4798e-08,-3.40978e-07,0,0,False,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,6.75897e-09,0.0296873,0.185856,0,0,-3.55271e-15,4.05974e-08,-1.8267e-07,0,0,False,69.0|274,411
