id,f_SAEM,h_SAEM,s_SAEM,L_gap_SAEM,f_mode,h_mode,s_mode,L_gap_mode,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,0.401262,2.06177,0.682507,-0.841006,0.399994,2.06177,0.679099,-0.0416853,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,0.401262,2.06177,0.682507,-0.52525,0.399994,2.06177,0.679099,-0.0784708,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,0.401262,2.06177,0.682507,-0.0968032,0.399994,2.06177,0.679099,0.0300646,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,0.401262,2.06177,0.682507,2.51306,0.399994,2.06177,0.679099,0.079735,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,0.401262,2.06177,0.682507,-0.592428,0.399994,2.06177,0.679099,-0.0972143,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,0.401262,2.06177,0.682507,-0.863964,0.399994,2.06177,0.679099,-0.0855582,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,0.401262,2.06177,0.682507,0.446931,0.399994,2.06177,0.679099,0.0234237,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,0.401262,2.06177,0.682507,0.919263,0.399994,2.06177,0.679099,0.0469034,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,0.401262,2.06177,0.682507,-1.44721,0.399994,2.06177,0.679099,-0.0888064,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,0.401262,2.06177,0.682507,-1.08064,0.399994,2.06177,0.679099,-0.077187,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,0.401262,1.34312,1.09195,0.161393,0.399994,1.34312,1.09124,1.35252e-07,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,0.401262,1.34312,1.09195,0.112885,0.399994,1.34312,1.09124,3.33617e-07,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,0.401262,1.34312,1.09195,-0.157844,0.399994,1.34312,1.09124,-3.17426e-07,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,0.401262,1.34312,1.09195,0.517792,0.399994,1.34312,1.09124,6.8555e-07,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,0.401262,1.34312,1.09195,-0.334593,0.399994,1.34312,1.09124,4.00644e-07,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,0.401262,1.34312,1.09195,0.414063,0.399994,1.34312,1.09124,-1.79339e-07,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,0.401262,1.34312,1.09195,-0.38836,0.399994,1.34312,1.09124,-2.31915e-08,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,0.401262,1.34312,1.09195,0.273107,0.399994,1.34312,1.09124,7.04197e-07,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,0.401262,1.34312,1.09195,0.313253,0.399994,1.34312,1.09124,4.1719e-07,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,0.401262,1.34312,1.09195,0.171104,0.399994,1.34312,1.09124,-1.9928e-07,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,0.401262,1.34312,1.09195,-0.0980314,0.399994,1.34312,1.09124,2.68514e-07,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,0.401262,1.34312,1.09195,0.0740243,0.399994,1.34312,1.09124,-3.43978e-07,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,0.401262,1.34312,1.09195,-0.0327916,0.399994,1.34312,1.09124,2.00129e-07,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,0.401262,1.34312,1.09195,0.22295,0.399994,1.34312,1.09124,-2.45667e-07,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,0.401262,1.34312,1.09195,0.0110147,0.399994,1.34312,1.09124,-5.26183e-07,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,0.401262,1.34312,1.09195,-0.0553789,0.399994,1.34312,1.09124,-5.01118e-07,69.0|274,411
8|152|8|152|sample|8|322|8|322|65.0,0.184483,1.02322,1.09195,-1.4407,0.184255,1.02322,1.09124,-0.0802624,65.0|322,152
8|152|8|152|sample|7|322|7|322|65.0,0.184483,1.02322,1.09195,-0.723321,0.184255,1.02322,1.09124,-0.0534635,65.0|322,152
8|152|8|152|sample|6|322|6|322|65.0,0.184483,1.02322,1.09195,-0.486033,0.184255,1.02322,1.09124,-0.00201544,65.0|322,152
8|152|8|152|sample|5|322|5|322|65.0,0.184483,1.02322,1.09195,-0.687425,0.184255,1.02322,1.09124,-0.0169719,65.0|322,152
8|152|8|152|sample|12|322|12|322|28.0,0.80357,0.575573,3.89063,-0.455945,0.800326,0.575573,3.88408,-0.0595119,28.0|322,152
8|152|8|152|sample|11|322|11|322|28.0,0.80357,0.575573,3.89063,-0.969844,0.800326,0.575573,3.88408,-0.0510099,28.0|322,152
8|152|8|152|sample|10|322|10|322|28.0,0.80357,0.575573,3.89063,-0.860509,0.800326,0.575573,3.88408,0.0322827,28.0|322,152
8|152|8|152|sample|9|322|9|322|28.0,0.80357,0.575573,3.89063,-0.474054,0.800326,0.575573,3.88408,0.0176522,28.0|322,152
8|152|8|152|sample|3|322|3|322|22.0,0.184483,1.0982,1.09195,-0.343143,0.184255,1.0982,1.09124,0.0572556,22.0|322,152
8|152|8|152|sample|4|322|4|322|22.0,0.184483,1.0982,1.09195,-0.928737,0.184255,1.0982,1.09124,0.0329971,22.0|322,152
8|152|8|152|cc|1|1|322|1|322|69.0,0.184483,0.490821,1.09195,0.045735,0.184255,0.490821,1.09124,-3.0441e-07,69.0|322,152
8|152|8|152|cc|2|1|322|1|322|69.0,0.184483,0.490821,1.09195,-0.136662,0.184255,0.490821,1.09124,-2.83984e-07,69.0|322,152
8|152|8|152|cc|3|1|322|1|322|69.0,0.184483,0.490821,1.09195,0.250993,0.184255,0.490821,1.09124,9.19665e-08,69.0|322,152
8|152|8|152|cc|4|1|322|1|322|69.0,0.184483,0.490821,1.09195,-0.0577485,0.184255,0.490821,1.09124,-6.57721e-07,69.0|322,152
8|152|8|152|cc|5|1|322|1|322|69.0,0.184483,0.490821,1.09195,0.460513,0.184255,0.490821,1.09124,2.50833e-07,69.0|322,152
