id,L_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,L_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
14|783|vc|1|2|71,757.713,2.38275,509.464,154.811,0.0153199,757.713,2.38916,108.259,154.893,0.0153009,False,69.0|71,783
14|783|vc|2|2|71,757.713,2.39959,833.849,154.811,0.0153199,757.713,2.38916,108.259,154.893,0.0153009,False,69.0|71,783
14|783|vc|3|2|71,757.713,2.35827,683.716,154.811,0.0153199,757.713,2.38916,108.259,154.893,0.0153009,False,69.0|71,783
14|783|vc|4|2|71,757.713,2.41099,1174.83,154.811,0.0153199,757.713,2.38916,108.259,154.893,0.0153009,False,69.0|71,783
14|783|vc|5|2|71,757.713,2.42873,1022.11,154.811,0.0153199,757.713,2.38916,108.259,154.893,0.0153009,False,69.0|71,783
14|783|vc|6|2|71,757.713,2.39051,1092.23,154.811,0.0153199,757.713,2.38916,108.259,154.893,0.0153009,False,69.0|71,783
14|783|vc|7|2|71,757.713,2.41726,915.634,154.811,0.0153199,757.713,2.38916,108.259,154.893,0.0153009,False,69.0|71,783
14|783|vc|8|2|71,757.713,2.42285,1556.94,154.811,0.0153199,757.713,2.38916,108.259,154.893,0.0153009,False,69.0|71,783
14|491|sample|10|99,755.62,1.75006,0.00808911,154.811,0.015316,755.62,1.65835,0.00751126,154.893,0.0152976,True,6.0|99,491
14|491|sample|9|99,755.62,1.56091,0.00716818,154.811,0.015316,755.62,1.65654,0.00777935,154.893,0.0152976,True,6.0|99,491
14|491|sample|12|99,755.62,1.18279,0.0204517,154.811,0.015316,755.62,1.11166,0.0180835,154.893,0.0152976,True,6.0|99,491
14|491|sample|11|99,755.62,1.19119,0.0268199,154.811,0.015316,755.62,1.18569,0.0277801,154.893,0.0152976,True,6.0|99,491
14|491|sample|4|99,754.307,1.71018,0.0962103,154.811,0.015316,754.307,1.71381,0.0928327,154.893,0.0152976,True,44.0|99,491
