id,eta_f_SAEM,eta_h_SAEM,eta_s_SAEM,eta_L_gap_SAEM,eta_f_mode,eta_h_mode,eta_s_mode,eta_L_gap_mode,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,0,2.24448e-09,0,3.00325e-09,0,1.89306e-11,0,4.44711e-12,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,0,-3.80641e-09,0,-4.53127e-09,0,-4.83702e-12,0,8.04086e-11,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,0,8.16326e-10,0,1.99258e-10,0,-1.67317e-11,0,6.12062e-11,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,0,1.81462e-09,0,-2.32311e-10,0,-1.45766e-11,0,-1.00355e-11,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,0,1.88239e-09,0,-1.17788e-09,0,-1.4851e-11,0,2.86011e-11,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,0,1.63699e-09,0,-1.8705e-09,0,2.94518e-11,0,-2.74536e-11,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,0,1.08577e-09,0,5.75716e-09,0,4.62719e-12,0,2.75984e-11,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,0,4.79988e-10,0,2.03521e-09,0,-1.6025e-11,0,-1.79172e-11,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,0,4.95362e-10,0,1.72451e-09,0,-2.7965e-11,0,1.59659e-11,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,0,1.43285e-09,0,4.75275e-09,0,-1.75326e-12,0,6.33982e-11,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,0,-1.7802e-11,0,-2.40692e-09,0,1.42717e-11,0,-3.55471e-11,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,0,1.89177e-09,0,-1.90935e-09,0,-2.21729e-11,0,-1.69731e-12,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,0,-5.85064e-10,0,-2.31055e-09,0,2.06639e-11,0,-1.79545e-11,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,0,-6.24289e-10,0,-9.32195e-09,0,4.21752e-12,0,-6.28297e-11,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,0,1.81213e-09,0,1.73337e-09,0,3.34488e-12,0,-3.13856e-11,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,0,-6.45856e-10,0,-3.32194e-09,0,-1.28664e-11,0,2.74882e-11,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,0,-3.45339e-09,0,2.23965e-09,0,2.60794e-11,0,9.00169e-13,69.0|274,411
9|411|9|411|cc|8|1|274|1|274|69.0,0,-1.10485e-09,0,5.20534e-09,0,-1.29088e-11,0,-3.72093e-11,69.0|274,411
9|411|9|411|vc|1|2|274|2|274|69.0,0,-3.13137e-09,0,3.00802e-09,0,1.42895e-11,0,-5.33795e-12,69.0|274,411
9|411|9|411|vc|2|2|274|2|274|69.0,0,-2.73487e-10,0,5.68741e-10,0,-1.29088e-11,0,-6.33698e-11,69.0|274,411
9|411|9|411|vc|3|2|274|2|274|69.0,0,6.5084e-10,0,1.53278e-09,0,-4.71645e-11,0,1.25162e-11,69.0|274,411
9|411|9|411|vc|4|2|274|2|274|69.0,0,-2.48421e-09,0,-6.903e-10,0,5.06795e-12,0,-1.74758e-11,69.0|274,411
9|411|9|411|vc|5|2|274|2|274|69.0,0,-2.07778e-09,0,-4.54431e-09,0,-1.93245e-11,0,-7.07479e-12,69.0|274,411
9|411|9|411|vc|6|2|274|2|274|69.0,0,2.49532e-09,0,-4.61556e-11,0,7.74003e-12,0,4.35785e-11,69.0|274,411
9|411|9|411|vc|7|2|274|2|274|69.0,0,1.68219e-09,0,5.49419e-10,0,8.16414e-12,0,-4.11546e-11,69.0|274,411
9|411|9|411|vc|8|2|274|2|274|69.0,0,2.79975e-10,0,8.6587e-09,0,-2.15765e-11,0,2.54241e-11,69.0|274,411
8|152|8|152|sample|8|322|8|322|65.0,0,-1.60985e-09,0,-5.46392e-10,0,-1.62448e-11,0,-3.56346e-11,65.0|322,152
8|152|8|152|sample|7|322|7|322|65.0,0,-2.04149e-09,0,-4.39535e-09,0,-8.08331e-12,0,2.41829e-11,65.0|322,152
8|152|8|152|sample|6|322|6|322|65.0,0,2.78956e-09,0,-5.6034e-09,0,2.30749e-11,0,2.86535e-11,65.0|322,152
8|152|8|152|sample|5|322|5|322|65.0,0,-1.92513e-10,0,2.30503e-09,0,-7.82086e-12,0,-2.94067e-11,65.0|322,152
8|152|8|152|sample|12|322|12|322|28.0,0,1.076e-09,0,5.45661e-10,0,2.7238e-11,0,-2.69427e-11,28.0|322,152
8|152|8|152|sample|11|322|11|322|28.0,0,-1.86172e-09,0,3.69947e-10,0,3.03233e-11,0,-7.81664e-12,28.0|322,152
8|152|8|152|sample|10|322|10|322|28.0,0,5.70944e-10,0,-8.09971e-09,0,-2.78555e-11,0,-6.51657e-12,28.0|322,152
8|152|8|152|sample|9|322|9|322|28.0,0,-3.77081e-09,0,8.64827e-09,0,1.90905e-11,0,-2.62377e-11,28.0|322,152
8|152|8|152|sample|3|322|3|322|22.0,0,6.10805e-10,0,1.54115e-09,0,-3.68039e-12,0,-5.10845e-11,22.0|322,152
8|152|8|152|sample|4|322|4|322|22.0,0,-2.07715e-09,0,-2.69203e-09,0,6.5421e-12,0,-4.14255e-11,22.0|322,152
8|152|8|152|cc|1|1|322|1|322|69.0,0,1.57567e-09,0,1.23626e-09,0,-1.56511e-11,0,-7.26672e-11,69.0|322,152
8|152|8|152|cc|2|1|322|1|322|69.0,0,-2.55899e-09,0,-1.77787e-09,0,1.37504e-12,0,-3.16005e-11,69.0|322,152
8|152|8|152|cc|3|1|322|1|322|69.0,0,1.14247e-09,0,4.05889e-09,0,-2.51723e-11,0,-4.81482e-12,69.0|322,152
8|152|8|152|cc|4|1|322|1|322|69.0,0,1.38344e-09,0,6.48924e-09,0,-2.31664e-11,0,-2.04281e-13,69.0|322,152
8|152|8|152|cc|5|1|322|1|322|69.0,0,-2.74749e-10,0,-3.96617e-09,0,-4.02829e-12,0,5.81455e-11,69.0|322,152
8|152|8|152|cc|6|1|322|1|322|69.0,0,1.72155e-09,0,-1.84885e-09,0,7.02069e-12,0,3.38742e-11,69.0|322,152
8|152|8|152|cc|7|1|322|1|322|69.0,0,1.75278e-09,0,1.3644e-09,0,7.67619e-11,0,5.94635e-12,69.0|322,152
8|152|8|152|cc|8|1|322|1|322|69.0,0,-4.60377e-09,0,1.53006e-09,0,1.208e-11,0,-3.38405e-11,69.0|322,152
8|152|8|152|vc|1|2|322|2|322|69.0,0,7.74255e-10,0,-7.62597e-09,0,6.14087e-12,0,-1.87423e-11,69.0|322,152
8|152|8|152|vc|2|2|322|2|322|69.0,0,1.50369e-09,0,4.23936e-09,0,2.62972e-11,0,-3.34754e-11,69.0|322,152
8|152|8|152|vc|3|2|322|2|322|69.0,0,2.2975e-09,0,-2.03015e-09,0,1.66522e-12,0,2.7736e-11,69.0|322,152
8|152|8|152|vc|4|2|322|2|322|69.0,0,-2.32448e-10,0,-8.62048e-10,0,-2.88221e-11,0,-5.55138e-11,69.0|322,152
8|152|8|152|vc|5|2|322|2|322|69.0,0,7.32074e-11,0,6.40996e-09,0,1.4616e-11,0,2.92522e-11,69.0|322,152
8|152|8|152|vc|6|2|322|2|322|69.0,0,5.38351e-10,0,-1.61252e-09,0,1.37124e-11,0,1.21508e-10,69.0|322,152
8|152|8|152|vc|7|2|322|2|322|69.0,0,1.28863e-09,0,4.02521e-09,0,2.48275e-12,0,-5.72919e-11,69.0|322,152
8|152|8|152|vc|8|2|322|2|322|69.0,0,-1.66342e-09,0,-3.45292e-09,0,2.41759e-12,0,-3.30136e-11,69.0|322,152
8|1056|8|1056|sample|8|276|8|276|65.0,0,1.94361e-09,0,2.71599e-10,0,-7.69074e-12,0,-5.04841e-11,65.0|276,1056
8|1056|8|1056|sample|7|276|7|276|65.0,0,2.57304e-09,0,-1.69226e-09,0,3.34626e-11,0,2.15405e-11,65.0|276,1056
8|1056|8|1056|sample|6|276|6|276|65.0,0,-2.39539e-09,0,1.51059e-10,0,1.32689e-11,0,4.81459e-11,65.0|276,1056
8|1056|8|1056|sample|5|276|5|276|65.0,0,-2.13297e-10,0,1.37493e-10,0,-6.11422e-12,0,1.2522e-10,65.0|276,1056
8|1056|8|1056|sample|12|276|12|276|28.0,0,-1.87547e-09,0,2.59594e-09,0,9.52038e-12,0,2.42517e-11,28.0|276,1056
8|1056|8|1056|sample|11|276|11|276|28.0,0,1.59554e-09,0,8.00399e-09,0,-7.81952e-12,0,5.78835e-11,28.0|276,1056
8|1056|8|1056|sample|10|276|10|276|28.0,0,4.24233e-10,0,-6.30088e-09,0,-1.65468e-12,0,3.83791e-11,28.0|276,1056
8|1056|8|1056|sample|9|276|9|276|28.0,0,2.0421e-09,0,7.44073e-10,0,1.57288e-11,0,1.74767e-11,28.0|276,1056
8|1056|8|1056|sample|4|276|4|276|22.0,0,1.13223e-09,0,4.31472e-09,0,-2.85194e-11,0,7.62901e-12,22.0|276,1056
8|1056|8|1056|sample|3|276|3|276|22.0,0,1.00926e-10,0,4.68619e-09,0,6.36602e-12,0,-5.49789e-11,22.0|276,1056
8|1056|8|1056|cc|1|1|276|1|276|69.0,0,-7.92926e-10,0,2.52155e-09,0,5.1088e-12,0,-3.34719e-11,69.0|276,1056
8|1056|8|1056|cc|2|1|276|1|276|69.0,0,8.77782e-10,0,-2.71939e-09,0,1.47602e-11,0,-1.81117e-11,69.0|276,1056
8|1056|8|1056|cc|3|1|276|1|276|69.0,0,4.61419e-10,0,3.39649e-09,0,1.44356e-11,0,2.03428e-11,69.0|276,1056
8|1056|8|1056|cc|4|1|276|1|276|69.0,0,2.2568e-09,0,-3.316e-09,0,-1.68194e-11,0,2.49676e-11,69.0|276,1056
8|1056|8|1056|cc|5|1|276|1|276|69.0,0,-5.56755e-10,0,2.64765e-09,0,5.97788e-12,0,5.35039e-11,69.0|276,1056
8|1056|8|1056|cc|6|1|276|1|276|69.0,0,-1.37222e-09,0,1.90365e-10,0,1.16853e-11,0,-3.14575e-11,69.0|276,1056
8|1056|8|1056|cc|7|1|276|1|276|69.0,0,-1.96725e-09,0,-1.83378e-09,0,1.20151e-11,0,-5.20028e-12,69.0|276,1056
8|1056|8|1056|cc|8|1|276|1|276|69.0,0,-1.61005e-09,0,8.62589e-10,0,-6.17018e-11,0,-1.77112e-11,69.0|276,1056
8|1056|8|1056|vc|1|2|276|2|276|69.0,0,-3.44357e-09,0,-3.75901e-09,0,2.27796e-12,0,-3.32214e-11,69.0|276,1056
8|1056|8|1056|vc|2|2|276|2|276|69.0,0,6.39261e-09,0,6.75278e-09,0,-4.58442e-11,0,-4.11511e-11,69.0|276,1056
8|1056|8|1056|vc|3|2|276|2|276|69.0,0,1.66547e-09,0,-7.71317e-09,0,1.63318e-11,0,3.05667e-11,69.0|276,1056
8|1056|8|1056|vc|4|2|276|2|276|69.0,0,1.91762e-09,0,-3.44247e-09,0,3.94971e-11,0,1.10063e-11,69.0|276,1056
8|1056|8|1056|vc|5|2|276|2|276|69.0,0,-1.08287e-09,0,5.76015e-10,0,-2.448e-11,0,4.82618e-11,69.0|276,1056
8|1056|8|1056|vc|6|2|276|2|276|69.0,0,2.28189e-09,0,-3.00025e-09,0,8.43281e-12,0,-3.52465e-11,69.0|276,1056
8|1056|8|1056|vc|7|2|276|2|276|69.0,0,-2.03785e-09,0,-1.16495e-09,0,5.4982e-11,0,-1.03023e-10,69.0|276,1056
8|1056|8|1056|vc|8|2|276|2|276|69.0,0,4.19244e-11,0,-5.81947e-09,0,-1.24643e-11,0,3.40421e-11,69.0|276,1056
8|462|8|462|sample|6|292|6|292|55.0,0,-1.25934e-09,0,3.56586e-09,0,-9.58023e-12,0,2.16849e-11,55.0|292,462
8|462|8|462|sample|5|292|5|292|55.0,0,-2.64929e-09,0,2.95486e-09,0,1.7002e-11,0,6.32205e-12,55.0|292,462
8|462|8|462|sample|4|292|4|292|55.0,0,-1.89324e-10,0,-8.55225e-10,0,-7.54918e-12,0,2.33857e-11,55.0|292,462
8|462|8|462|sample|3|292|3|292|55.0,0,7.126e-10,0,-2.33643e-09,0,1.92701e-12,0,-5.0064e-11,55.0|292,462
8|462|8|462|sample|9|292|9|292|32.0,0,-2.14348e-09,0,2.38089e-09,0,2.35811e-12,0,-3.58789e-11,32.0|292,462
8|462|8|462|sample|10|292|10|292|32.0,0,-1.06445e-09,0,6.32618e-09,0,-6.50591e-12,0,5.07347e-11,32.0|292,462
