id,importanceSampling
411|4,110.565728
411|3,142.804184
411|5,164.781965
411|6,165.057342
411|8,140.798946
411|7,140.741671
411|9,162.019415
411|10,166.890177
411|12,139.056062
411|11,139.028734
411|1,82.981220
411|2,147.288198
152|8,114.921259
152|7,147.190643
152|6,155.915635
152|5,155.902105
152|12,140.187573
152|11,141.924910
152|10,149.391922
152|9,151.060541
152|3,149.990354
152|4,151.207841
152|1,77.595317
152|2,150.686532
1056|8,116.202527
1056|7,117.117818
1056|6,158.357883
1056|5,122.592391
1056|12,146.756550
1056|11,144.888976
1056|10,147.502258
1056|9,148.490117
1056|4,146.100458
1056|3,114.744873
1056|1,77.318478
1056|2,131.852205
462|6,667.104409
462|5,747.988833
462|4,1047.907062
462|3,1100.745250
462|9,144.739378
462|10,178.790787
462|7,187.366312
462|8,186.798547
462|11,159.299753
462|12,164.823113
462|1,90.639754
462|2,161.729970
1159|8,149.687636
1159|7,150.519862
1159|5,158.762827
1159|6,158.720120
1159|11,157.798581
1159|12,162.087701
1159|9,156.987647
1159|10,158.553773
1159|4,154.047336
1159|3,152.136981
1159|1,49.080931
1159|2,158.862114
1197|7,134.294675
1197|8,134.616345
1197|6,142.954619
1197|5,142.778534
1197|12,135.231260
1197|10,147.063057
1197|9,142.074392
1197|3,130.780559
1197|4,164.542069
1197|11,136.564514
1197|1,81.226241
1197|2,159.356665
