id,eta_f_SAEM,eta_h_SAEM,eta_L_gap_SAEM,eta_f_mode,eta_h_mode,eta_L_gap_mode,mab_virus,run_id
9|411|9|411|sample|4|274|4|274|70.0,-0.563835,0,-6.70642e-09,-0.620001,0,3.1819e-13,70.0|274,411
9|411|9|411|sample|3|274|3|274|70.0,-1.1779,0,3.36722e-09,-1.18701,0,-1.03917e-13,70.0|274,411
9|411|9|411|sample|5|274|5|274|70.0,-0.520693,0,-3.36129e-09,-0.504738,0,-8.88178e-14,70.0|274,411
9|411|9|411|sample|6|274|6|274|70.0,-0.457613,0,2.84689e-09,-0.443884,0,-1.17462e-13,70.0|274,411
9|411|9|411|sample|8|274|8|274|70.0,-0.852714,0,2.55469e-09,-0.87976,0,1.96954e-13,70.0|274,411
9|411|9|411|sample|7|274|7|274|70.0,-0.927963,0,-9.10583e-09,-0.94939,0,-1.78302e-13,70.0|274,411
9|411|9|411|sample|9|274|9|274|70.0,-0.598352,0,4.40525e-09,-0.60142,0,-5.4845e-14,70.0|274,411
9|411|9|411|sample|10|274|10|274|70.0,-0.467784,0,-4.89803e-10,-0.444341,0,8.9706e-14,70.0|274,411
9|411|9|411|sample|12|274|12|274|70.0,-0.959918,0,2.65773e-09,-0.993988,0,1.35447e-14,70.0|274,411
9|411|9|411|sample|11|274|11|274|70.0,-0.820164,0,6.01373e-09,-0.854602,0,7.34968e-14,70.0|274,411
9|411|9|411|cc|1|1|274|1|274|69.0,-0.189174,0,1.29486e-09,-1.80286e-07,0,-6.21725e-15,69.0|274,411
9|411|9|411|cc|2|1|274|1|274|69.0,-0.0311754,0,-4.71855e-09,-1.99722e-07,0,1.77636e-15,69.0|274,411
9|411|9|411|cc|3|1|274|1|274|69.0,-0.622748,0,1.74911e-09,1.32962e-07,0,9.76996e-15,69.0|274,411
9|411|9|411|cc|4|1|274|1|274|69.0,-0.0614049,0,4.46999e-09,-3.58088e-07,0,6.21725e-15,69.0|274,411
9|411|9|411|cc|5|1|274|1|274|69.0,0.424647,0,-2.82735e-09,2.74577e-07,0,1.77636e-15,69.0|274,411
9|411|9|411|cc|6|1|274|1|274|69.0,0.174124,0,-3.75722e-09,-6.77628e-07,0,8.88178e-16,69.0|274,411
9|411|9|411|cc|7|1|274|1|274|69.0,-0.00484656,0,-3.6533e-10,9.5171e-07,0,8.88178e-15,69.0|274,411
