rep,id,U_offset,L,m,e,s,alpha,k,goes_down,mab_virus,run_id
1,14|491|sample|12|99,0.0139281,833.417,0.640647,0.520831,15.7469,-10.702,316687,True,6.0|99,491
1,14|491|sample|11|99,0.0139281,833.417,0.640647,0.52083,11.0366,-10.702,316687,True,6.0|99,491
1,14|491|sample|4|99,0.0139281,834.609,0.83843,3.86922,2.74288,-10.702,316687,True,44.0|99,491
1,14|491|sample|3|99,0.0139281,834.609,0.83843,3.86922,2.77798,-10.702,316687,True,44.0|99,491
1,14|491|sample|6|99,0.0139281,834.609,0.83843,3.86921,1.93795,-10.702,316687,True,44.0|99,491
1,14|491|sample|5|99,0.0139281,834.609,0.83843,3.86921,1.9411,-10.702,316687,True,44.0|99,491
1,14|491|sample|7|99,0.0139281,831.215,0.838537,1.13489,85.695,-10.702,316687,True,63.0|99,491
1,14|491|sample|8|99,0.0139281,831.215,0.838537,1.13489,81.0943,-10.702,316687,True,63.0|99,491
1,14|491|cc|1|1|99,0.0139281,835.174,0.838579,1.54698,0.0841296,-10.702,316687,False,69.0|99,491
1,14|491|cc|2|1|99,0.0139281,835.174,0.838579,1.54698,0.179302,-10.702,316687,False,69.0|99,491
1,14|491|cc|3|1|99,0.0139281,835.174,0.838579,1.54698,1.20202,-10.702,316687,False,69.0|99,491
1,14|491|cc|4|1|99,0.0139281,835.174,0.838579,1.54698,5.99723,-10.702,316687,False,69.0|99,491
1,14|491|cc|5|1|99,0.0139281,835.174,0.838579,1.54698,0.120995,-10.702,316687,False,69.0|99,491
1,14|491|cc|6|1|99,0.0139281,835.174,0.838579,1.54698,0.971571,-10.702,316687,False,69.0|99,491
1,14|491|cc|7|1|99,0.0139281,835.174,0.838579,1.54698,39.2969,-10.702,316687,False,69.0|99,491
1,14|491|cc|8|1|99,0.0139281,835.174,0.838579,1.54697,1.90019,-10.702,316687,False,69.0|99,491
1,14|491|vc|1|2|99,0.0139281,835.174,0.838579,1.54698,2.34605,-10.702,316687,False,69.0|99,491
1,14|491|vc|2|2|99,0.0139281,835.174,0.838579,1.54699,5.544,-10.702,316687,False,69.0|99,491
1,14|491|vc|3|2|99,0.0139281,835.174,0.838579,1.54697,1.18304,-10.702,316687,False,69.0|99,491
1,14|491|vc|4|2|99,0.0139281,835.174,0.838579,1.54699,0.278258,-10.702,316687,False,69.0|99,491
1,14|491|vc|5|2|99,0.0139281,835.174,0.838579,1.54698,0.324138,-10.702,316687,False,69.0|99,491
1,14|491|vc|6|2|99,0.0139281,835.174,0.838579,1.54698,1.68253,-10.702,316687,False,69.0|99,491
1,14|491|vc|7|2|99,0.0139281,835.174,0.838579,1.54697,0.0609069,-10.702,316687,False,69.0|99,491
1,14|491|vc|8|2|99,0.0139281,835.174,0.838579,1.54698,0.231611,-10.702,316687,False,69.0|99,491
1,14|433|sample|4|99,0.0139281,833.417,0.640647,0.520832,13.544,-10.7021,316687,True,6.0|99,433
1,14|433|sample|3|99,0.0139281,833.417,0.640647,0.52083,13.7299,-10.7021,316687,True,6.0|99,433
1,14|433|sample|6|99,0.0139281,833.417,0.640647,0.520831,2.35288,-10.7021,316687,True,6.0|99,433
1,14|433|sample|5|99,0.0139281,833.417,0.640647,0.52083,2.46534,-10.7021,316687,True,6.0|99,433
1,14|433|sample|8|99,0.0139281,833.417,0.640647,0.520833,24.5115,-10.7021,316687,True,6.0|99,433
1,14|433|sample|7|99,0.0139281,833.417,0.640647,0.520832,22.8098,-10.7021,316687,True,6.0|99,433
1,14|433|sample|10|99,0.0139281,833.417,0.640647,0.520833,6.43313,-10.7021,316687,True,6.0|99,433
1,14|433|sample|9|99,0.0139281,833.417,0.640647,0.520831,5.52578,-10.7021,316687,True,6.0|99,433
1,14|433|sample|11|99,0.0139281,833.417,0.640647,0.52083,2.94988,-10.7021,316687,True,6.0|99,433
1,14|433|sample|12|99,0.0139281,833.417,0.640647,0.520833,3.5964,-10.7021,316687,True,6.0|99,433
1,14|433|cc|1|1|99,0.0139281,835.174,0.838579,1.54698,0.0344479,-10.7021,316687,False,69.0|99,433
1,14|433|cc|2|1|99,0.0139281,835.174,0.838579,1.54699,2.69021,-10.7021,316687,False,69.0|99,433
1,14|433|cc|3|1|99,0.0139281,835.174,0.838579,1.54698,0.448296,-10.7021,316687,False,69.0|99,433
1,14|433|cc|4|1|99,0.0139281,835.174,0.838579,1.54699,0.183361,-10.7021,316687,False,69.0|99,433
1,14|433|cc|5|1|99,0.0139281,835.174,0.838579,1.54698,6.96778,-10.7021,316687,False,69.0|99,433
1,14|433|cc|6|1|99,0.0139281,835.174,0.838579,1.54698,0.211574,-10.7021,316687,False,69.0|99,433
1,14|433|cc|7|1|99,0.0139281,835.174,0.838579,1.54698,0.686137,-10.7021,316687,False,69.0|99,433
1,14|433|cc|8|1|99,0.0139281,835.174,0.838579,1.54698,0.216419,-10.7021,316687,False,69.0|99,433
1,14|433|vc|1|2|99,0.0139281,835.174,0.838579,1.54698,0.151379,-10.7021,316687,False,69.0|99,433
1,14|433|vc|2|2|99,0.0139281,835.174,0.838579,1.54698,18.7904,-10.7021,316687,False,69.0|99,433
1,14|433|vc|3|2|99,0.0139281,835.174,0.838579,1.54698,0.423556,-10.7021,316687,False,69.0|99,433
1,14|433|vc|4|2|99,0.0139281,835.174,0.838579,1.54698,2.82749,-10.7021,316687,False,69.0|99,433
1,14|433|vc|5|2|99,0.0139281,835.174,0.838579,1.54698,0.185297,-10.7021,316687,False,69.0|99,433
1,14|433|vc|6|2|99,0.0139281,835.174,0.838579,1.54698,0.933562,-10.7021,316687,False,69.0|99,433
1,14|433|vc|7|2|99,0.0139281,835.174,0.838579,1.54698,0.0426045,-10.7021,316687,False,69.0|99,433
1,14|433|vc|8|2|99,0.0139281,835.174,0.838579,1.54698,0.200098,-10.7021,316687,False,69.0|99,433
1,14|297|sample|3|71,0.0139281,834.219,0.837798,1.54459,1.74262,-10.702,316687,True,6.0|71,297
1,14|297|sample|4|71,0.0139281,834.219,0.837798,1.54459,1.62857,-10.702,316687,True,6.0|71,297
1,14|297|sample|5|71,0.0139281,834.219,0.837798,1.54459,12.3959,-10.702,316687,True,6.0|71,297
1,14|297|sample|6|71,0.0139281,834.219,0.837798,1.54459,10.0996,-10.702,316687,True,6.0|71,297
1,14|297|sample|8|71,0.0139281,834.219,0.837798,1.54458,4.98228,-10.702,316687,True,6.0|71,297
1,14|297|sample|7|71,0.0139281,834.219,0.837798,1.54459,6.10153,-10.702,316687,True,6.0|71,297
