rep,id,eta_f,eta_h,eta_s,eta_L_gap,mab_virus,run_id
1,9|411|9|411|sample|4|274|4|274|70.0,0.553734,1.49032e-08,0,-1.86941e-08,70.0|274,411
1,9|411|9|411|sample|3|274|3|274|70.0,-0.0107591,4.65032e-09,0,-1.09416e-08,70.0|274,411
1,9|411|9|411|sample|5|274|5|274|70.0,0.591225,-2.51767e-08,0,-7.87021e-08,70.0|274,411
1,9|411|9|411|sample|6|274|6|274|70.0,0.730631,2.37758e-10,0,1.48889e-08,70.0|274,411
1,9|411|9|411|sample|8|274|8|274|70.0,0.369212,1.84768e-08,0,-1.77576e-09,70.0|274,411
1,9|411|9|411|sample|7|274|7|274|70.0,0.319415,2.48971e-09,0,2.68102e-08,70.0|274,411
1,9|411|9|411|sample|9|274|9|274|70.0,0.557232,2.73174e-09,0,1.62144e-08,70.0|274,411
1,9|411|9|411|sample|10|274|10|274|70.0,0.786044,-7.84527e-08,0,2.81967e-08,70.0|274,411
1,9|411|9|411|sample|12|274|12|274|70.0,0.203975,-9.61516e-09,0,1.26823e-08,70.0|274,411
1,9|411|9|411|sample|11|274|11|274|70.0,0.238424,-1.71781e-08,0,-5.02843e-08,70.0|274,411
1,9|411|9|411|cc|1|1|274|1|274|69.0,0.379528,6.49944e-08,0,-4.86909e-08,69.0|274,411
1,9|411|9|411|cc|2|1|274|1|274|69.0,-0.770649,-1.56342e-08,0,7.02654e-08,69.0|274,411
1,9|411|9|411|cc|3|1|274|1|274|69.0,-0.0308039,5.29486e-08,0,1.43651e-08,69.0|274,411
1,9|411|9|411|cc|4|1|274|1|274|69.0,-0.332024,-4.29223e-08,0,-4.64834e-08,69.0|274,411
1,9|411|9|411|cc|5|1|274|1|274|69.0,-1.03058,3.13186e-08,0,5.49746e-09,69.0|274,411
1,9|411|9|411|cc|6|1|274|1|274|69.0,-1.50151,1.58911e-08,0,-4.36489e-08,69.0|274,411
1,9|411|9|411|cc|7|1|274|1|274|69.0,-0.643244,1.31407e-08,0,2.17572e-08,69.0|274,411
1,9|411|9|411|cc|8|1|274|1|274|69.0,-0.639987,-3.71325e-09,0,3.56534e-08,69.0|274,411
1,9|411|9|411|vc|1|2|274|2|274|69.0,-1.0973,-3.56567e-09,0,-5.60879e-08,69.0|274,411
1,9|411|9|411|vc|2|2|274|2|274|69.0,-1.57793,8.04298e-09,0,3.12965e-08,69.0|274,411
1,9|411|9|411|vc|3|2|274|2|274|69.0,0.331169,3.01825e-08,0,-2.37832e-08,69.0|274,411
1,9|411|9|411|vc|4|2|274|2|274|69.0,0.354057,2.08772e-08,0,-2.26519e-08,69.0|274,411
1,9|411|9|411|vc|5|2|274|2|274|69.0,-3.35016,-3.68678e-08,0,-9.08198e-09,69.0|274,411
1,9|411|9|411|vc|6|2|274|2|274|69.0,-1.18931,-1.37625e-08,0,-8.16239e-09,69.0|274,411
