id,eta_U_SAEM,eta_L_SAEM,eta_L_gap_SAEM,eta_h_SAEM,eta_f_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_mode,eta_L_mode,eta_L_gap_mode,eta_h_mode,eta_f_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
14|783|14|783|sample|8|71|8|71|6.0,0,0,-7.50434e-09,1.01577,6.16477e-09,0,0,0,0,4.44089e-14,1.01536,5.59552e-14,0,0,True,6.0|71,783
14|783|14|783|sample|10|71|10|71|6.0,0,0,8.74805e-09,0.0836016,-3.36945e-09,0,0,0,0,1.23845e-13,0.0961023,-3.01981e-14,0,0,True,6.0|71,783
14|783|14|783|sample|9|71|9|71|6.0,0,0,-2.88246e-09,0.0774833,-1.0498e-08,0,0,0,0,-4.36318e-14,0.0902693,-3.85469e-13,0,0,True,6.0|71,783
14|783|14|783|sample|12|71|12|71|6.0,0,0,6.41414e-09,1.85609,2.31024e-09,0,0,0,0,-2.54241e-14,1.86907,-3.19744e-14,0,0,True,6.0|71,783
14|783|14|783|sample|11|71|11|71|6.0,0,0,9.38057e-09,1.8322,3.67389e-09,0,0,0,0,-1.60316e-13,1.90619,-2.79776e-14,0,0,True,6.0|71,783
14|783|14|783|cc|1|1|71|1|71|69.0,0,0,2.27534e-09,-0.124963,1.44399e-09,0,0,0,0,-1.05471e-14,3.32123e-07,2.22045e-15,0,0,False,69.0|71,783
14|783|14|783|cc|2|1|71|1|71|69.0,0,0,7.40623e-09,0.0765129,6.47659e-10,0,0,0,0,-1.5099e-14,3.30738e-07,5.27356e-16,0,0,False,69.0|71,783
14|783|14|783|cc|3|1|71|1|71|69.0,0,0,-7.34462e-09,0.0898768,-2.24316e-09,0,0,0,0,2.4647e-14,1.40771e-08,-1.60982e-15,0,0,False,69.0|71,783
14|783|14|783|cc|4|1|71|1|71|69.0,0,0,3.47547e-09,0.112558,1.4887e-09,0,0,0,0,-7.77156e-15,-2.73271e-07,7.21645e-16,0,0,False,69.0|71,783
14|783|14|783|cc|5|1|71|1|71|69.0,0,0,-8.27601e-09,0.0753659,8.0628e-10,0,0,0,0,-5.21805e-15,1.97679e-07,5.27356e-15,0,0,False,69.0|71,783
14|783|14|783|cc|6|1|71|1|71|69.0,0,0,5.2563e-09,0.0763728,-2.99666e-09,0,0,0,0,8.43769e-15,2.04555e-07,1.07692e-14,0,0,False,69.0|71,783
14|783|14|783|cc|7|1|71|1|71|69.0,0,0,-2.29428e-09,-0.0385,-3.69021e-09,0,0,0,0,-1.95399e-14,3.69608e-07,-1.34892e-14,0,0,False,69.0|71,783
14|783|14|783|cc|8|1|71|1|71|69.0,0,0,7.40999e-09,-0.0991782,4.63363e-09,0,0,0,0,3.9968e-15,-3.66768e-07,-2.22877e-14,0,0,False,69.0|71,783
14|783|14|783|vc|1|2|71|2|71|69.0,0,0,-8.21987e-09,0.0273517,9.23826e-10,0,0,0,0,-8.10463e-15,2.47986e-07,8.38218e-15,0,0,False,69.0|71,783
14|783|14|783|vc|2|2|71|2|71|69.0,0,0,-8.96465e-10,0.0338292,-2.04358e-09,0,0,0,0,-1.86517e-14,2.84603e-07,-1.4766e-14,0,0,False,69.0|71,783
14|783|14|783|vc|3|2|71|2|71|69.0,0,0,-5.86699e-09,-0.0033221,-1.69937e-09,0,0,0,0,1.66533e-15,-7.28398e-08,-9.60343e-15,0,0,False,69.0|71,783
14|783|14|783|vc|4|2|71|2|71|69.0,0,0,3.60898e-09,0.0155628,1.22139e-09,0,0,0,0,-8.77076e-15,-1.52907e-07,4.66294e-15,0,0,False,69.0|71,783
14|783|14|783|vc|5|2|71|2|71|69.0,0,0,-1.24826e-09,-0.0267061,2.7162e-10,0,0,0,0,1.76525e-14,2.03594e-07,-2.15938e-14,0,0,False,69.0|71,783
14|783|14|783|vc|6|2|71|2|71|69.0,0,0,-9.56437e-10,-0.113877,-2.09665e-09,0,0,0,0,5.10703e-15,4.06627e-07,-2.77556e-16,0,0,False,69.0|71,783
14|783|14|783|vc|7|2|71|2|71|69.0,0,0,-5.03413e-09,0.112009,-1.00861e-09,0,0,0,0,-3.70814e-14,-3.75392e-08,1.69309e-15,0,0,False,69.0|71,783
14|783|14|783|vc|8|2|71|2|71|69.0,0,0,-2.24176e-09,0.126028,-1.88217e-09,0,0,0,0,-1.22125e-15,4.18328e-07,7.82707e-15,0,0,False,69.0|71,783
14|491|14|491|sample|10|99|10|99|6.0,0,0,1.19727e-08,2.36205,5.63312e-09,0,0,0,0,3.5083e-14,2.28978,-5.32907e-14,0,0,True,6.0|99,491
14|491|14|491|sample|9|99|9|99|6.0,0,0,-2.54123e-09,2.22823,-4.53883e-10,0,0,0,0,3.4861e-14,2.15888,6.75016e-14,0,0,True,6.0|99,491
14|491|14|491|sample|12|99|12|99|6.0,0,0,9.85739e-09,1.08416,-6.51838e-09,0,0,0,0,3.75699e-13,1.08365,-1.04805e-13,0,0,True,6.0|99,491
14|491|14|491|sample|11|99|11|99|6.0,0,0,-1.70258e-09,0.990385,-6.52295e-09,0,0,0,0,-4.90719e-13,0.996102,2.6823e-13,0,0,True,6.0|99,491
14|491|14|491|sample|4|99|4|99|44.0,0,0,-7.68204e-09,1.1089,3.5584e-09,0,0,0,0,-8.17124e-14,1.11289,2.0739e-13,0,0,True,44.0|99,491
14|491|14|491|sample|3|99|3|99|44.0,0,0,5.02743e-09,1.03916,5.86556e-11,0,0,0,0,1.43441e-13,1.07849,1.9984e-14,0,0,True,44.0|99,491
14|491|14|491|sample|6|99|6|99|44.0,0,0,4.39864e-09,0.813102,7.88174e-09,0,0,0,0,2.22933e-13,0.83953,-3.16192e-13,0,0,True,44.0|99,491
14|491|14|491|sample|5|99|5|99|44.0,0,0,-5.88477e-10,0.846923,-6.29866e-09,0,0,0,0,-2.12719e-13,0.859859,3.23741e-13,0,0,True,44.0|99,491
14|491|14|491|sample|7|99|7|99|63.0,0,0,7.6846e-11,1.37039,5.0545e-09,0,0,0,0,8.9373e-15,1.36941,5.24025e-14,0,0,True,63.0|99,491
14|491|14|491|sample|8|99|8|99|63.0,0,0,-2.49302e-09,1.31951,2.73032e-09,0,0,0,0,2.56684e-13,1.36168,-8.88178e-16,0,0,True,63.0|99,491
14|491|14|491|cc|1|1|99|1|99|69.0,0,0,2.61195e-09,-0.12608,-3.75042e-09,0,0,0,0,2.77556e-14,-3.16926e-08,1.22125e-15,0,0,False,69.0|99,491
14|491|14|491|cc|2|1|99|1|99|69.0,0,0,-1.8416e-09,-0.158405,-1.50132e-09,0,0,0,0,3.59712e-14,-4.86641e-07,-5.88418e-15,0,0,False,69.0|99,491
14|491|14|491|cc|3|1|99|1|99|69.0,0,0,4.32663e-09,0.0480623,-7.27909e-10,0,0,0,0,-3.9968e-15,-1.54502e-07,8.21565e-15,0,0,False,69.0|99,491
14|491|14|491|cc|4|1|99|1|99|69.0,0,0,2.23271e-10,0.103645,2.88263e-09,0,0,0,0,5.77316e-15,2.17156e-08,5.71765e-15,0,0,False,69.0|99,491
14|491|14|491|cc|5|1|99|1|99|69.0,0,0,2.95189e-09,-0.0721578,-1.35664e-09,0,0,0,0,-3.55271e-15,-1.6577e-07,-8.10463e-15,0,0,False,69.0|99,491
14|491|14|491|cc|6|1|99|1|99|69.0,0,0,-3.3958e-09,-0.0238997,-3.42948e-09,0,0,0,0,2.44249e-15,-3.06129e-07,-2.10942e-15,0,0,False,69.0|99,491
14|491|14|491|cc|7|1|99|1|99|69.0,0,0,2.45948e-09,-0.0821092,4.98807e-11,0,0,0,0,1.46549e-14,-6.48863e-08,4.44089e-16,0,0,False,69.0|99,491
14|491|14|491|cc|8|1|99|1|99|69.0,0,0,-1.32447e-09,-0.0227292,-1.43561e-09,0,0,0,0,1.04361e-14,-2.28104e-07,-3.60822e-15,0,0,False,69.0|99,491
14|491|14|491|vc|1|2|99|2|99|69.0,0,0,-2.7528e-09,-0.0844038,1.86539e-09,0,0,0,0,-7.99361e-15,4.13689e-07,4.32987e-15,0,0,False,69.0|99,491
14|491|14|491|vc|2|2|99|2|99|69.0,0,0,-7.63058e-10,-0.0909314,5.96413e-10,0,0,0,0,-8.43769e-15,-4.48332e-07,1.69864e-14,0,0,False,69.0|99,491
14|491|14|491|vc|3|2|99|2|99|69.0,0,0,-5.66851e-09,7.29202e-05,-1.32221e-09,0,0,0,0,1.95026e-11,7.38068e-05,-2.45272e-11,0,0,False,69.0|99,491
14|491|14|491|vc|4|2|99|2|99|69.0,0,0,3.38216e-10,-0.0182415,-1.15195e-09,0,0,0,0,-6.21725e-15,-2.12223e-07,5.32907e-15,0,0,False,69.0|99,491
14|491|14|491|vc|5|2|99|2|99|69.0,0,0,-4.16262e-10,-0.0578382,6.10549e-09,0,0,0,0,-4.44089e-15,2.19848e-07,8.10463e-15,0,0,False,69.0|99,491
14|491|14|491|vc|6|2|99|2|99|69.0,0,0,4.51663e-09,0.0987609,3.19149e-09,0,0,0,0,1.59872e-14,-5.52489e-07,1.44329e-15,0,0,False,69.0|99,491
14|491|14|491|vc|7|2|99|2|99|69.0,0,0,-1.13435e-09,-0.103205,9.5173e-10,0,0,0,0,-1.15463e-14,-8.5733e-08,-3.83027e-15,0,0,False,69.0|99,491
14|491|14|491|vc|8|2|99|2|99|69.0,0,0,5.60054e-09,0.0468763,2.17569e-09,0,0,0,0,9.32587e-15,1.56331e-07,-1.88738e-15,0,0,False,69.0|99,491
14|433|14|433|sample|4|99|4|99|6.0,0,0,-1.56006e-08,1.03318,-2.79592e-09,0,0,0,0,-1.8785e-13,1.03893,2.9754e-13,0,0,True,6.0|99,433
14|433|14|433|sample|3|99|3|99|6.0,0,0,-2.45741e-09,1.11471,3.03844e-11,0,0,0,0,1.27454e-13,1.11674,4.9738e-14,0,0,True,6.0|99,433
14|433|14|433|sample|6|99|6|99|6.0,0,0,-4.47831e-09,0.292933,-8.27701e-09,0,0,0,0,-1.69198e-13,0.301816,-3.34843e-13,0,0,True,6.0|99,433
14|433|14|433|sample|5|99|5|99|6.0,0,0,-9.70977e-09,0.316993,-4.03473e-09,0,0,0,0,-1.57208e-13,0.340759,-2.34479e-13,0,0,True,6.0|99,433
14|433|14|433|sample|8|99|8|99|6.0,0,0,6.04479e-09,1.73054,1.07876e-09,0,0,0,0,-2.22045e-14,1.77402,8.52651e-14,0,0,True,6.0|99,433
14|433|14|433|sample|7|99|7|99|6.0,0,0,7.41045e-10,1.8737,1.53909e-10,0,0,0,0,-1.75415e-13,1.91302,-7.72715e-14,0,0,True,6.0|99,433
14|433|14|433|sample|10|99|10|99|6.0,0,0,1.16514e-09,0.698583,-3.03561e-09,0,0,0,0,1.54543e-13,0.718131,-2.66454e-15,0,0,True,6.0|99,433
14|433|14|433|sample|9|99|9|99|6.0,0,0,3.24486e-09,0.732012,-2.36828e-09,0,0,0,0,-2.36255e-13,0.737395,4.52971e-13,0,0,True,6.0|99,433
14|433|14|433|sample|11|99|11|99|6.0,0,0,-1.22099e-08,0.406138,4.65867e-10,0,0,0,0,-4.11671e-13,0.427858,-1.40332e-13,0,0,True,6.0|99,433
14|433|14|433|sample|12|99|12|99|6.0,0,0,-2.34476e-10,0.498293,-9.94445e-11,0,0,0,0,-7.52731e-13,0.515682,3.9968e-13,0,0,True,6.0|99,433
14|433|14|433|cc|1|1|99|1|99|69.0,0,0,-6.24902e-09,0.0265636,1.13246e-09,0,0,0,0,1.55431e-15,-5.83541e-07,9.54792e-15,0,0,False,69.0|99,433
14|433|14|433|cc|2|1|99|1|99|69.0,0,0,8.70734e-10,0.0184707,-2.87974e-09,0,0,0,0,-1.77636e-14,1.34283e-07,1.11022e-15,0,0,False,69.0|99,433
14|433|14|433|cc|3|1|99|1|99|69.0,0,0,-1.61282e-09,-0.153908,-3.40647e-09,0,0,0,0,1.57652e-14,-9.18112e-08,-8.99281e-15,0,0,False,69.0|99,433
14|433|14|433|cc|4|1|99|1|99|69.0,0,0,-9.95962e-10,-0.00321353,-2.77996e-10,0,0,0,0,2.88658e-15,2.16278e-08,1.11022e-14,0,0,False,69.0|99,433
14|433|14|433|cc|5|1|99|1|99|69.0,0,0,-9.5306e-10,0.0645764,-1.69488e-09,0,0,0,0,1.79856e-14,4.4824e-07,-3.88578e-15,0,0,False,69.0|99,433
14|433|14|433|cc|6|1|99|1|99|69.0,0,0,-2.21071e-09,0.0289873,-1.80877e-09,0,0,0,0,1.31006e-14,-1.73827e-07,-5.38458e-15,0,0,False,69.0|99,433
14|433|14|433|cc|7|1|99|1|99|69.0,0,0,2.56439e-09,0.114205,-2.88129e-09,0,0,0,0,5.77316e-15,-3.58779e-07,2.44249e-15,0,0,False,69.0|99,433
14|433|14|433|cc|8|1|99|1|99|69.0,0,0,1.09411e-09,-0.0562114,-1.30138e-10,0,0,0,0,-9.32587e-15,1.14452e-07,1.07137e-14,0,0,False,69.0|99,433
14|433|14|433|vc|1|2|99|2|99|69.0,0,0,-3.43247e-09,0.0968219,1.31961e-10,0,0,0,0,-2.13163e-14,2.51462e-07,-2.10942e-15,0,0,False,69.0|99,433
