rep,id,U_offset,L,m,e,alpha,k,goes_down,mab_virus,run_id
1,14|491|sample|5|99,2.73466,773.872,0.250866,6704.04,37614.3,13.3658,True,44.0|99,491
1,14|491|sample|7|99,0.0744105,769.701,0.250862,119578.0,37614.3,13.3658,True,63.0|99,491
1,14|491|sample|8|99,0.0744105,769.701,0.250862,119577.0,37614.3,13.3658,True,63.0|99,491
1,14|491|cc|1|1|99,5.25709,771.281,0.0697395,4.20926,37614.3,13.3658,False,69.0|99,491
1,14|491|cc|2|1|99,5.25706,771.281,0.0697395,4.20926,37614.3,13.3658,False,69.0|99,491
1,14|491|cc|3|1|99,5.25708,771.281,0.0697395,4.20924,37614.3,13.3658,False,69.0|99,491
1,14|491|cc|4|1|99,5.25705,771.281,0.0697395,4.20924,37614.3,13.3658,False,69.0|99,491
1,14|491|cc|5|1|99,5.25706,771.281,0.0697395,4.20926,37614.3,13.3658,False,69.0|99,491
1,14|491|cc|6|1|99,5.25707,771.281,0.0697395,4.20924,37614.3,13.3658,False,69.0|99,491
1,14|491|cc|7|1|99,5.25705,771.281,0.0697395,4.20927,37614.3,13.3658,False,69.0|99,491
1,14|491|cc|8|1|99,5.25706,771.281,0.0697395,4.20925,37614.3,13.3658,False,69.0|99,491
1,14|491|vc|1|2|99,5.25705,771.281,0.0697395,4.20925,37614.3,13.3658,False,69.0|99,491
1,14|491|vc|2|2|99,5.25708,771.281,0.0697395,4.2093,37614.3,13.3658,False,69.0|99,491
1,14|491|vc|3|2|99,5.25706,771.281,0.0697395,4.20927,37614.3,13.3658,False,69.0|99,491
1,14|491|vc|4|2|99,5.25708,771.281,0.0697395,4.20925,37614.3,13.3658,False,69.0|99,491
1,14|491|vc|5|2|99,5.25706,771.281,0.0697395,4.20925,37614.3,13.3658,False,69.0|99,491
1,14|491|vc|6|2|99,5.25706,771.281,0.0697395,4.20927,37614.3,13.3658,False,69.0|99,491
1,14|491|vc|7|2|99,5.25704,771.281,0.0697395,4.20926,37614.3,13.3658,False,69.0|99,491
1,14|491|vc|8|2|99,5.25706,771.281,0.0697395,4.20923,37614.3,13.3658,False,69.0|99,491
1,14|433|sample|4|99,1.63184,769.009,0.243851,7668.04,37614.3,13.3658,True,6.0|99,433
1,14|433|sample|3|99,1.63185,769.009,0.243851,7668.04,37614.3,13.3658,True,6.0|99,433
1,14|433|sample|6|99,1.63185,769.009,0.243851,7668.06,37614.3,13.3658,True,6.0|99,433
1,14|433|sample|5|99,1.63184,769.009,0.243851,7668.05,37614.3,13.3658,True,6.0|99,433
1,14|433|sample|8|99,1.63184,769.009,0.243851,7668.11,37614.3,13.3658,True,6.0|99,433
1,14|433|sample|7|99,1.63184,769.009,0.243851,7668.01,37614.3,13.3658,True,6.0|99,433
1,14|433|sample|10|99,1.63185,769.009,0.243851,7668.03,37614.3,13.3658,True,6.0|99,433
