id,eta_U_offset_SAEM,eta_L_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_U_offset_mode,eta_L_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
9|411|sample|4|274,-6.95652e-08,2.41763e-07,1.64793e-07,-1.23905,0,0,5.71809e-12,1.93268e-11,2.24858e-11,-1.28983,0,0,True,70.0|274,411
9|411|sample|3|274,-1.17776e-07,-1.41597e-07,-1.38991e-09,-0.781087,0,0,5.4452e-12,-5.22959e-12,3.36673e-11,-0.731988,0,0,True,70.0|274,411
9|411|sample|5|274,-1.92712e-07,1.498e-08,-3.30399e-07,-1.38103,0,0,2.73803e-12,-1.25056e-11,-4.61586e-12,-1.39127,0,0,True,70.0|274,411
9|411|sample|6|274,2.86318e-07,1.62123e-07,4.35675e-07,-1.42057,0,0,-5.00711e-12,-2.04636e-12,4.22951e-12,-1.41022,0,0,True,70.0|274,411
9|411|sample|8|274,4.9719e-07,2.7499e-07,-2.39894e-08,-1.02115,0,0,1.52078e-12,6.13909e-12,2.4297e-11,-1.02421,0,0,True,70.0|274,411
9|411|sample|7|274,-3.34457e-07,1.26045e-07,-7.05123e-08,-1.00313,0,0,-2.47691e-12,1.23919e-11,1.08056e-11,-0.966572,0,0,True,70.0|274,411
9|411|sample|9|274,1.56374e-07,1.05972e-07,9.41847e-08,-1.2693,0,0,1.08911e-11,-6.48015e-12,1.39682e-11,-1.2838,0,0,True,70.0|274,411
9|411|sample|10|274,8.59797e-10,-1.23776e-07,-1.09256e-07,-1.47467,0,0,1.05049e-12,-9.09495e-13,4.45177e-12,-1.44384,0,0,True,70.0|274,411
9|411|sample|12|274,-3.08055e-07,-4.05202e-08,3.29069e-08,-0.937838,0,0,-8.48543e-12,-6.9349e-12,2.40341e-12,-0.931207,0,0,True,70.0|274,411
9|411|sample|11|274,1.16881e-07,2.63581e-08,-2.55921e-07,-0.980952,0,0,-1.5159e-11,4.54747e-12,8.78475e-12,-1.00374,0,0,True,70.0|274,411
9|411|cc|1|1|274,1.35806e-07,1.87129e-07,4.38123e-08,0.0104414,0,0,-5.81535e-13,2.27374e-13,-7.54952e-14,-7.98146e-08,0,0,False,69.0|274,411
9|411|cc|2|1|274,1.7066e-08,-1.2894e-07,-9.68799e-08,0.199404,0,0,-5.27467e-13,-4.54747e-13,-2.4869e-14,-2.02691e-07,0,0,False,69.0|274,411
