rep,id,eta_U,eta_L,eta_alpha
1,411,6.61977,207.368,1.98069
2,411,-3.53653,192.098,2.45125
3,411,4.71264,167.565,1.91162
4,411,2.42166,213.608,1.69983
5,411,10.3631,211.37,1.8395
6,411,2.04581,195.553,2.22348
7,411,-3.53983,203.351,1.64449
8,411,-1.64735,171.97,2.2982
9,411,-9.77532,213.737,1.84254
10,411,15.9557,230.335,2.08638
1,152,-17.789,10.2224,0.397189
2,152,-7.95191,-26.1821,0.581348
3,152,-10.3875,-8.24783,0.530082
4,152,-15.7529,2.6121,0.41343
5,152,0.0130657,-8.06856,0.262367
6,152,-5.22481,-21.2005,0.450048
7,152,1.78274,7.95726,0.337555
8,152,-2.58569,-4.94028,0.456082
9,152,-13.433,-9.84557,0.432078
10,152,9.50563,-30.8303,-0.164524
1,1056,-1.09523,1.86056,-0.703305
2,1056,6.14112,-4.44674,-0.817111
3,1056,-3.28202,16.7463,-1.16448
4,1056,-5.33762,-1.80413,-0.940162
5,1056,-9.38517,4.3708,-0.553346
6,1056,-7.89228,-1.45135,-1.45796
7,1056,-0.0731841,13.3734,-0.769328
8,1056,2.36524,-9.84339,-0.997673
9,1056,-10.4691,-32.4706,-0.662868
10,1056,8.5009,8.99882,-0.738541
1,462,3.23399,-74.8659,-1.17349
2,462,19.1932,-56.5628,-0.765857
3,462,-8.20492,-58.7111,-0.52491
4,462,-3.10031,-53.6647,-1.70229
5,462,-11.0674,-97.1446,-0.719124
6,462,-8.30255,-66.8066,-0.902897
7,462,12.4313,-50.8809,-0.22795
8,462,-9.54014,-51.9285,-1.41896
9,462,8.55106,-73.1291,-0.943013
10,462,5.9122,-52.9764,-0.672641
1,1159,3.61129,-63.7659,-1.28726
2,1159,-19.3209,-90.9192,-1.22032
3,1159,-9.7912,-66.1705,-1.08589
4,1159,16.9215,-47.9589,-1.40337
5,1159,-6.49619,-41.0814,-0.345867
6,1159,-8.43285,-45.1812,-1.4056
7,1159,1.22027,-42.0586,-1.23997
8,1159,-13.6357,-82.3412,-1.17835
9,1159,4.993,-62.1092,-1.33013
10,1159,-1.69836,-57.6266,-0.929719
1,1197,-1.53093,-63.1441,0.265278
2,1197,-7.6003,-73.4919,0.636161
3,1197,-21.0726,-105.024,0.131159
4,1197,4.09592,-69.1462,-0.110103
5,1197,-11.5535,-40.165,0.115698
6,1197,17.0553,-77.1564,0.510567
7,1197,-0.775427,-89.3522,0.221227
8,1197,-15.9662,-75.7042,0.381003
9,1197,-7.12327,-87.5199,0.318746
10,1197,15.8637,-60.8945,0.36576
