rep,id,eta_L,eta_m,eta_e,eta_s,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,8|84|cc|1|1|162,0,1.63652e-06,0.294791,0.212598,0,0,False,69.0|162,84
1,8|84|cc|2|1|162,0,-4.85249e-06,0.375355,-0.0917772,0,0,False,69.0|162,84
1,8|84|cc|3|1|162,0,4.34634e-06,0.465957,-0.100004,0,0,False,69.0|162,84
1,8|84|cc|4|1|162,0,-5.26056e-06,0.442816,0.100672,0,0,False,69.0|162,84
1,8|84|cc|5|1|162,0,6.72219e-07,-0.746336,0.0733687,0,0,False,69.0|162,84
1,8|84|cc|6|1|162,0,1.09781e-06,-0.362617,-0.00776425,0,0,False,69.0|162,84
1,8|84|cc|7|1|162,0,-1.16494e-06,-1.0511,0.0596751,0,0,False,69.0|162,84
1,8|84|cc|8|1|162,0,-4.67958e-06,-1.18856,0.0350145,0,0,False,69.0|162,84
1,8|84|sample|10|162,0,-1.13231e-07,-0.786327,0.184443,0,0,True,32.0|162,84
1,8|84|sample|11|162,0,-4.55384e-06,0.00464253,0.100616,0,0,True,22.0|162,84
1,8|84|sample|12|162,0,-3.26046e-07,0.300346,-0.00409228,0,0,True,22.0|162,84
1,8|84|sample|3|162,0,-5.34199e-07,-0.437003,0.166493,0,0,True,55.0|162,84
1,8|84|sample|4|162,0,8.83572e-07,-0.396159,0.111811,0,0,True,55.0|162,84
1,8|84|sample|5|162,0,4.71901e-06,-2.36373,0.082941,0,0,True,55.0|162,84
1,8|84|sample|6|162,0,3.48872e-06,-2.17008,0.0255167,0,0,True,55.0|162,84
1,8|84|sample|7|162,0,-1.0549e-06,-0.983934,-0.0434199,0,0,True,32.0|162,84
1,8|84|sample|8|162,0,2.9975e-06,-1.00007,-0.0263106,0,0,True,32.0|162,84
1,8|84|sample|9|162,0,-4.41282e-06,-0.462726,-0.145191,0,0,True,32.0|162,84
1,8|84|vc|1|2|162,0,1.30165e-06,-0.0126563,-0.146208,0,0,False,69.0|162,84
1,8|84|vc|2|2|162,0,-1.42644e-06,0.542518,0.0809477,0,0,False,69.0|162,84
1,8|84|vc|3|2|162,0,-1.67781e-06,0.529753,-0.0545276,0,0,False,69.0|162,84
1,8|84|vc|4|2|162,0,2.8431e-06,-0.70699,-0.0945828,0,0,False,69.0|162,84
1,8|84|vc|5|2|162,0,-6.0459e-06,-0.534532,0.0888129,0,0,False,69.0|162,84
1,8|84|vc|6|2|162,0,-9.69179e-08,1.45606,0.0437741,0,0,False,69.0|162,84
