id,eta_f_SAEM,eta_h_SAEM,eta_L_gap_SAEM,eta_f_mode,eta_h_mode,eta_L_gap_mode,mab_virus,run_id
8|1056|8|1056|sample|11|276|11|276|28.0,-0.0833429,0,0,-0.0790268,0,0,28.0|276,1056
8|1056|8|1056|sample|10|276|10|276|28.0,0.0915811,0,0,0.0827393,0,0,28.0|276,1056
8|1056|8|1056|sample|9|276|9|276|28.0,0.125061,0,0,0.124215,0,0,28.0|276,1056
8|1056|8|1056|sample|4|276|4|276|22.0,0.0233025,0,0,0.0254548,0,0,22.0|276,1056
8|1056|8|1056|sample|3|276|3|276|22.0,-0.0097913,0,0,-0.0147007,0,0,22.0|276,1056
8|1056|8|1056|cc|1|1|276|1|276|69.0,0.00363485,0,0,-1.25143e-07,0,0,69.0|276,1056
8|1056|8|1056|cc|2|1|276|1|276|69.0,0.00113813,0,0,9.17935e-08,0,0,69.0|276,1056
8|1056|8|1056|cc|3|1|276|1|276|69.0,0.00164476,0,0,-1.08077e-07,0,0,69.0|276,1056
8|1056|8|1056|cc|4|1|276|1|276|69.0,0.00625468,0,0,-1.13343e-07,0,0,69.0|276,1056
8|1056|8|1056|cc|5|1|276|1|276|69.0,-0.00438721,0,0,8.9704e-08,0,0,69.0|276,1056
8|1056|8|1056|cc|6|1|276|1|276|69.0,-0.00264258,0,0,1.32665e-07,0,0,69.0|276,1056
8|1056|8|1056|cc|7|1|276|1|276|69.0,0.00430365,0,0,-3.4521e-08,0,0,69.0|276,1056
8|1056|8|1056|cc|8|1|276|1|276|69.0,0.0060219,0,0,2.56738e-07,0,0,69.0|276,1056
8|1056|8|1056|vc|1|2|276|2|276|69.0,0.00373671,0,0,1.88351e-07,0,0,69.0|276,1056
8|1056|8|1056|vc|2|2|276|2|276|69.0,-0.00147854,0,0,2.34611e-07,0,0,69.0|276,1056
8|1056|8|1056|vc|3|2|276|2|276|69.0,0.000529458,0,0,1.20991e-07,0,0,69.0|276,1056
8|1056|8|1056|vc|4|2|276|2|276|69.0,0.000554224,0,0,1.70249e-07,0,0,69.0|276,1056
8|1056|8|1056|vc|5|2|276|2|276|69.0,0.00927009,0,0,-1.3245e-07,0,0,69.0|276,1056
8|1056|8|1056|vc|6|2|276|2|276|69.0,0.00668033,0,0,1.31049e-07,0,0,69.0|276,1056
8|1056|8|1056|vc|7|2|276|2|276|69.0,-0.00677004,0,0,4.69952e-08,0,0,69.0|276,1056
8|1056|8|1056|vc|8|2|276|2|276|69.0,-0.00135444,0,0,-1.21363e-07,0,0,69.0|276,1056
8|462|8|462|sample|6|292|6|292|55.0,-0.00880824,0,0,-0.00380434,0,0,55.0|292,462
8|462|8|462|sample|5|292|5|292|55.0,0.0201098,0,0,0.0183608,0,0,55.0|292,462
8|462|8|462|sample|4|292|4|292|55.0,-0.0135499,0,0,-0.013338,0,0,55.0|292,462
8|462|8|462|sample|3|292|3|292|55.0,-0.022925,0,0,-0.0136127,0,0,55.0|292,462
8|462|8|462|sample|9|292|9|292|32.0,-0.0352338,0,0,-0.0359957,0,0,32.0|292,462
8|462|8|462|sample|10|292|10|292|32.0,-0.0160657,0,0,-0.0241578,0,0,32.0|292,462
8|462|8|462|sample|7|292|7|292|32.0,0.0332488,0,0,0.0290964,0,0,32.0|292,462
8|462|8|462|sample|8|292|8|292|32.0,0.0432117,0,0,0.0392974,0,0,32.0|292,462
8|462|8|462|sample|11|292|11|292|22.0,-0.0153502,0,0,-0.00916696,0,0,22.0|292,462
8|462|8|462|sample|12|292|12|292|22.0,0.00730955,0,0,0.00316296,0,0,22.0|292,462
8|462|8|462|cc|1|1|292|1|292|69.0,-0.000369591,0,0,-1.64247e-07,0,0,69.0|292,462
8|462|8|462|cc|2|1|292|1|292|69.0,0.00264758,0,0,-2.54083e-07,0,0,69.0|292,462
8|462|8|462|cc|3|1|292|1|292|69.0,-0.00199832,0,0,3.0803e-07,0,0,69.0|292,462
8|462|8|462|cc|4|1|292|1|292|69.0,0.000401462,0,0,-2.74172e-07,0,0,69.0|292,462
8|462|8|462|cc|5|1|292|1|292|69.0,-0.00973559,0,0,1.02396e-07,0,0,69.0|292,462
8|462|8|462|cc|6|1|292|1|292|69.0,0.00569367,0,0,4.79308e-07,0,0,69.0|292,462
8|462|8|462|cc|7|1|292|1|292|69.0,-0.00117799,0,0,3.8069e-07,0,0,69.0|292,462
8|462|8|462|cc|8|1|292|1|292|69.0,-3.89312e-05,0,0,-1.99712e-07,0,0,69.0|292,462
8|462|8|462|vc|1|2|292|2|292|69.0,-0.00316634,0,0,2.14685e-07,0,0,69.0|292,462
8|462|8|462|vc|2|2|292|2|292|69.0,-0.00180378,0,0,2.91746e-07,0,0,69.0|292,462
8|462|8|462|vc|3|2|292|2|292|69.0,0.00227855,0,0,-1.05821e-07,0,0,69.0|292,462
8|462|8|462|vc|4|2|292|2|292|69.0,-0.00372466,0,0,-3.06091e-07,0,0,69.0|292,462
8|462|8|462|vc|5|2|292|2|292|69.0,-0.00422935,0,0,-1.12792e-07,0,0,69.0|292,462
8|462|8|462|vc|6|2|292|2|292|69.0,0.0108255,0,0,-1.95858e-07,0,0,69.0|292,462
8|462|8|462|vc|7|2|292|2|292|69.0,-0.00551498,0,0,4.77197e-07,0,0,69.0|292,462
8|462|8|462|vc|8|2|292|2|292|69.0,-0.00385055,0,0,-2.3733e-07,0,0,69.0|292,462
8|1159|8|1159|sample|8|292|8|292|65.0,-0.00695633,0,0,-0.0124515,0,0,65.0|292,1159
8|1159|8|1159|sample|7|292|7|292|65.0,0.0365741,0,0,0.0258398,0,0,65.0|292,1159
8|1159|8|1159|sample|5|292|5|292|65.0,-0.000235335,0,0,0.00381087,0,0,65.0|292,1159
8|1159|8|1159|sample|6|292|6|292|65.0,-0.00330655,0,0,0.00309025,0,0,65.0|292,1159
8|1159|8|1159|sample|11|292|11|292|28.0,-0.100567,0,0,-0.105081,0,0,28.0|292,1159
8|1159|8|1159|sample|12|292|12|292|28.0,-0.123536,0,0,-0.133962,0,0,28.0|292,1159
8|1159|8|1159|sample|9|292|9|292|28.0,0.121681,0,0,0.117253,0,0,28.0|292,1159
8|1159|8|1159|sample|10|292|10|292|28.0,0.0988715,0,0,0.100001,0,0,28.0|292,1159
8|1159|8|1159|sample|4|292|4|292|22.0,0.0232082,0,0,0.0244946,0,0,22.0|292,1159
8|1159|8|1159|sample|3|292|3|292|22.0,-0.00262967,0,0,-0.00249278,0,0,22.0|292,1159
8|1159|8|1159|cc|1|1|292|1|292|69.0,-0.0010712,0,0,2.26247e-07,0,0,69.0|292,1159
8|1159|8|1159|cc|2|1|292|1|292|69.0,0.000476329,0,0,-1.306e-07,0,0,69.0|292,1159
8|1159|8|1159|cc|3|1|292|1|292|69.0,-0.0137203,0,0,3.51773e-07,0,0,69.0|292,1159
8|1159|8|1159|cc|4|1|292|1|292|69.0,0.00625547,0,0,-1.05661e-07,0,0,69.0|292,1159
8|1159|8|1159|cc|5|1|292|1|292|69.0,-0.00564635,0,0,-4.39656e-07,0,0,69.0|292,1159
8|1159|8|1159|cc|6|1|292|1|292|69.0,-0.0121929,0,0,-2.84346e-07,0,0,69.0|292,1159
8|1159|8|1159|cc|7|1|292|1|292|69.0,4.99983e-05,0,0,2.47823e-07,0,0,69.0|292,1159
8|1159|8|1159|cc|8|1|292|1|292|69.0,-0.00279152,0,0,-2.56753e-08,0,0,69.0|292,1159
8|1159|8|1159|vc|1|2|292|2|292|69.0,0.00276581,0,0,-3.56922e-07,0,0,69.0|292,1159
8|1159|8|1159|vc|2|2|292|2|292|69.0,-0.000648151,0,0,-1.58242e-07,0,0,69.0|292,1159
8|1159|8|1159|vc|3|2|292|2|292|69.0,-0.000450206,0,0,3.57678e-07,0,0,69.0|292,1159
8|1159|8|1159|vc|4|2|292|2|292|69.0,0.00119731,0,0,-8.27755e-08,0,0,69.0|292,1159
8|1159|8|1159|vc|5|2|292|2|292|69.0,0.00375053,0,0,3.34189e-07,0,0,69.0|292,1159
8|1159|8|1159|vc|6|2|292|2|292|69.0,-0.000684299,0,0,4.282e-07,0,0,69.0|292,1159
8|1159|8|1159|vc|7|2|292|2|292|69.0,0.00665641,0,0,4.94026e-08,0,0,69.0|292,1159
8|1159|8|1159|vc|8|2|292|2|292|69.0,-0.00241153,0,0,7.09505e-08,0,0,69.0|292,1159
8|1197|8|1197|sample|7|103|7|103|65.0,0.00430009,0,0,-1.70883e-05,0,0,65.0|103,1197
